municipality,group,variable,month,Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,viviendas evaluadas,2021-01-01,224,224
ANZALDO,chagas viviendas,viviendas evaluadas,2021-01-01,237,237
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2021-01-01,154,154
ARANI,chagas viviendas,viviendas evaluadas,2021-01-01,150,150
ARBIETO,chagas viviendas,viviendas evaluadas,2021-01-01,193,193
ARQUE,chagas viviendas,viviendas evaluadas,2021-01-01,21,21
CAPINOTA,chagas viviendas,viviendas evaluadas,2021-01-01,303,303
CLIZA,chagas viviendas,viviendas evaluadas,2021-01-01,266,266
COCHABAMBA,chagas viviendas,viviendas evaluadas,2021-01-01,10,10
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2021-01-01,182,182
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2021-01-01,105,105
HUACARETA,chagas viviendas,viviendas evaluadas,2021-01-01,79,79
ICLA,chagas viviendas,viviendas evaluadas,2021-01-01,97,97
MECAPACA,chagas viviendas,viviendas evaluadas,2021-01-01,9,9
MIZQUE,chagas viviendas,viviendas evaluadas,2021-01-01,643,643
PADCAYA,chagas viviendas,viviendas evaluadas,2021-01-01,36,36
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2021-01-01,69,69
POCONA,chagas viviendas,viviendas evaluadas,2021-01-01,44,44
POJO (CBBA),chagas viviendas,viviendas evaluadas,2021-01-01,107,107
PUNATA,chagas viviendas,viviendas evaluadas,2021-01-01,208,208
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2021-01-01,143,143
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2021-01-01,3,3
SUCRE,chagas viviendas,viviendas evaluadas,2021-01-01,115,115
TACACHI,chagas viviendas,viviendas evaluadas,2021-01-01,184,184
TACOBAMBA,chagas viviendas,viviendas evaluadas,2021-01-01,80,80
TAPACARI,chagas viviendas,viviendas evaluadas,2021-01-01,54,54
TOCO,chagas viviendas,viviendas evaluadas,2021-01-01,240,240
TORO TORO,chagas viviendas,viviendas evaluadas,2021-01-01,82,82
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2021-01-01,82,82
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2021-01-01,90,90
VINTO,chagas viviendas,viviendas evaluadas,2021-01-01,344,344
VITICHI,chagas viviendas,viviendas evaluadas,2021-01-01,265,265
AIQUILE,chagas viviendas,viviendas evaluadas,2021-02-01,827,827
ANZALDO,chagas viviendas,viviendas evaluadas,2021-02-01,119,119
ARANI,chagas viviendas,viviendas evaluadas,2021-02-01,170,170
ARBIETO,chagas viviendas,viviendas evaluadas,2021-02-01,180,180
ARQUE,chagas viviendas,viviendas evaluadas,2021-02-01,35,35
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2021-02-01,544,544
BOYUIBE,chagas viviendas,viviendas evaluadas,2021-02-01,21,21
CAPINOTA,chagas viviendas,viviendas evaluadas,2021-02-01,359,359
CARAPARI,chagas viviendas,viviendas evaluadas,2021-02-01,133,133
CLIZA,chagas viviendas,viviendas evaluadas,2021-02-01,139,139
COCHABAMBA,chagas viviendas,viviendas evaluadas,2021-02-01,461,461
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2021-02-01,210,210
COTAGAITA,chagas viviendas,viviendas evaluadas,2021-02-01,636,636
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2021-02-01,135,135
ICLA,chagas viviendas,viviendas evaluadas,2021-02-01,56,56
MIZQUE,chagas viviendas,viviendas evaluadas,2021-02-01,712,712
OCURI,chagas viviendas,viviendas evaluadas,2021-02-01,109,109
PADCAYA,chagas viviendas,viviendas evaluadas,2021-02-01,67,67
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2021-02-01,42,42
POCONA,chagas viviendas,viviendas evaluadas,2021-02-01,33,33
POJO (CBBA),chagas viviendas,viviendas evaluadas,2021-02-01,100,100
PUNATA,chagas viviendas,viviendas evaluadas,2021-02-01,336,336
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2021-02-01,268,268
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2021-02-01,9,9
SAN BENITO,chagas viviendas,viviendas evaluadas,2021-02-01,246,246
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2021-02-01,123,123
SIPE SIPE,chagas viviendas,viviendas evaluadas,2021-02-01,309,309
TACACHI,chagas viviendas,viviendas evaluadas,2021-02-01,128,128
TACOBAMBA,chagas viviendas,viviendas evaluadas,2021-02-01,54,54
TACOPAYA,chagas viviendas,viviendas evaluadas,2021-02-01,225,225
TAPACARI,chagas viviendas,viviendas evaluadas,2021-02-01,59,59
TARATA,chagas viviendas,viviendas evaluadas,2021-02-01,114,114
TOCO,chagas viviendas,viviendas evaluadas,2021-02-01,196,196
TOMINA,chagas viviendas,viviendas evaluadas,2021-02-01,23,23
TORO TORO,chagas viviendas,viviendas evaluadas,2021-02-01,120,120
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2021-02-01,117,117
TUPIZA,chagas viviendas,viviendas evaluadas,2021-02-01,1170,1170
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2021-02-01,260,260
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2021-02-01,119,119
ACACIO,chagas viviendas,viviendas evaluadas,2021-03-01,100,100
AIQUILE,chagas viviendas,viviendas evaluadas,2021-03-01,1068,1068
ANZALDO,chagas viviendas,viviendas evaluadas,2021-03-01,476,476
ARANI,chagas viviendas,viviendas evaluadas,2021-03-01,235,235
ARBIETO,chagas viviendas,viviendas evaluadas,2021-03-01,594,594
ARQUE,chagas viviendas,viviendas evaluadas,2021-03-01,89,89
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2021-03-01,541,541
BETANZOS,chagas viviendas,viviendas evaluadas,2021-03-01,189,189
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2021-03-01,238,238
CAPINOTA,chagas viviendas,viviendas evaluadas,2021-03-01,443,443
CARAPARI,chagas viviendas,viviendas evaluadas,2021-03-01,407,407
CLIZA,chagas viviendas,viviendas evaluadas,2021-03-01,285,285
COCHABAMBA,chagas viviendas,viviendas evaluadas,2021-03-01,405,405
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2021-03-01,238,238
COTAGAITA,chagas viviendas,viviendas evaluadas,2021-03-01,373,373
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2021-03-01,193,193
EL TORNO,chagas viviendas,viviendas evaluadas,2021-03-01,11,11
HUACARETA,chagas viviendas,viviendas evaluadas,2021-03-01,520,520
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2021-03-01,64,64
ICLA,chagas viviendas,viviendas evaluadas,2021-03-01,120,120
INCAHUASI,chagas viviendas,viviendas evaluadas,2021-03-01,212,212
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2021-03-01,34,34
LURIBAY,chagas viviendas,viviendas evaluadas,2021-03-01,91,91
OCURI,chagas viviendas,viviendas evaluadas,2021-03-01,162,162
OMEREQUE,chagas viviendas,viviendas evaluadas,2021-03-01,281,281
PADCAYA,chagas viviendas,viviendas evaluadas,2021-03-01,61,61
PAMPA GRANDE,chagas viviendas,viviendas evaluadas,2021-03-01,18,18
PASORAPA,chagas viviendas,viviendas evaluadas,2021-03-01,72,72
POCONA,chagas viviendas,viviendas evaluadas,2021-03-01,142,142
POJO (CBBA),chagas viviendas,viviendas evaluadas,2021-03-01,50,50
POROMA,chagas viviendas,viviendas evaluadas,2021-03-01,421,421
PUNATA,chagas viviendas,viviendas evaluadas,2021-03-01,419,419
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2021-03-01,376,376
RAVELO,chagas viviendas,viviendas evaluadas,2021-03-01,223,223
SACABA,chagas viviendas,viviendas evaluadas,2021-03-01,534,534
SAN BENITO,chagas viviendas,viviendas evaluadas,2021-03-01,476,476
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2021-03-01,31,31
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2021-03-01,297,297
SIPE SIPE,chagas viviendas,viviendas evaluadas,2021-03-01,345,345
TACACHI,chagas viviendas,viviendas evaluadas,2021-03-01,173,173
TACOBAMBA,chagas viviendas,viviendas evaluadas,2021-03-01,99,99
TACOPAYA,chagas viviendas,viviendas evaluadas,2021-03-01,315,315
TAPACARI,chagas viviendas,viviendas evaluadas,2021-03-01,138,138
TARATA,chagas viviendas,viviendas evaluadas,2021-03-01,246,246
TOCO,chagas viviendas,viviendas evaluadas,2021-03-01,326,326
TOMAVE,chagas viviendas,viviendas evaluadas,2021-03-01,280,280
TORO TORO,chagas viviendas,viviendas evaluadas,2021-03-01,112,112
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2021-03-01,299,299
TUPIZA,chagas viviendas,viviendas evaluadas,2021-03-01,718,718
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2021-03-01,148,148
VILLA MONTES,chagas viviendas,viviendas evaluadas,2021-03-01,253,253
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2021-03-01,261,261
VITICHI,chagas viviendas,viviendas evaluadas,2021-03-01,470,470
YAMPARAEZ,chagas viviendas,viviendas evaluadas,2021-03-01,410,410
YOTALA,chagas viviendas,viviendas evaluadas,2021-03-01,133,133
YUNCHARA,chagas viviendas,viviendas evaluadas,2021-03-01,65,65
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2021-03-01,286,286
