municipality,group,variable,month,Viviendas Roceadas,TOTAL
ARAMPAMPA,chagas viviendas,viviendas roceadas,2021-01-01,1,1
ARANI,chagas viviendas,viviendas roceadas,2021-01-01,2,2
ARBIETO,chagas viviendas,viviendas roceadas,2021-01-01,6,6
ARQUE,chagas viviendas,viviendas roceadas,2021-01-01,5,5
CAPINOTA,chagas viviendas,viviendas roceadas,2021-01-01,3,3
COCHABAMBA,chagas viviendas,viviendas roceadas,2021-01-01,16,16
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2021-01-01,3,3
ENTRE RIOS TRJ,chagas viviendas,viviendas roceadas,2021-01-01,1,1
HUACARETA,chagas viviendas,viviendas roceadas,2021-01-01,79,79
ICLA,chagas viviendas,viviendas roceadas,2021-01-01,15,15
MECAPACA,chagas viviendas,viviendas roceadas,2021-01-01,9,9
MIZQUE,chagas viviendas,viviendas roceadas,2021-01-01,20,20
POJO (CBBA),chagas viviendas,viviendas roceadas,2021-01-01,3,3
SACABA,chagas viviendas,viviendas roceadas,2021-01-01,4,4
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2021-01-01,6,6
SIPE SIPE,chagas viviendas,viviendas roceadas,2021-01-01,10,10
SUCRE,chagas viviendas,viviendas roceadas,2021-01-01,18,18
TARIJA,chagas viviendas,viviendas roceadas,2021-01-01,8,8
TOCO,chagas viviendas,viviendas roceadas,2021-01-01,2,2
TORO TORO,chagas viviendas,viviendas roceadas,2021-01-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2021-01-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2021-01-01,9,9
YOTALA,chagas viviendas,viviendas roceadas,2021-01-01,2,2
ARANI,chagas viviendas,viviendas roceadas,2021-02-01,3,3
ARBIETO,chagas viviendas,viviendas roceadas,2021-02-01,8,8
ARQUE,chagas viviendas,viviendas roceadas,2021-02-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2021-02-01,3,3
BOYUIBE,chagas viviendas,viviendas roceadas,2021-02-01,21,21
CAPINOTA,chagas viviendas,viviendas roceadas,2021-02-01,19,19
COCHABAMBA,chagas viviendas,viviendas roceadas,2021-02-01,24,24
COTAGAITA,chagas viviendas,viviendas roceadas,2021-02-01,3,3
ICLA,chagas viviendas,viviendas roceadas,2021-02-01,6,6
MIZQUE,chagas viviendas,viviendas roceadas,2021-02-01,37,37
OMEREQUE,chagas viviendas,viviendas roceadas,2021-02-01,9,9
POJO (CBBA),chagas viviendas,viviendas roceadas,2021-02-01,1,1
PUNATA,chagas viviendas,viviendas roceadas,2021-02-01,7,7
QUILLACOLLO,chagas viviendas,viviendas roceadas,2021-02-01,4,4
SAN BENITO,chagas viviendas,viviendas roceadas,2021-02-01,4,4
SANTIVAÑES,chagas viviendas,viviendas roceadas,2021-02-01,10,10
SIPE SIPE,chagas viviendas,viviendas roceadas,2021-02-01,17,17
TAPACARI,chagas viviendas,viviendas roceadas,2021-02-01,10,10
TARIJA,chagas viviendas,viviendas roceadas,2021-02-01,11,11
TOMINA,chagas viviendas,viviendas roceadas,2021-02-01,23,23
TORO TORO,chagas viviendas,viviendas roceadas,2021-02-01,1,1
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2021-02-01,4,4
TUPIZA,chagas viviendas,viviendas roceadas,2021-02-01,10,10
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2021-02-01,3,3
VILLA RIVERO,chagas viviendas,viviendas roceadas,2021-02-01,6,6
AIQUILE,chagas viviendas,viviendas roceadas,2021-03-01,29,29
ARANI,chagas viviendas,viviendas roceadas,2021-03-01,3,3
