municipality,group,variable,month,Días camas disponibles maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
ACHACACHI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
ACHOCALLA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
AIQUILE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,341,341
ALALAY,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
ALCALA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
ALTO BENI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
ANCORAIMES,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,121,121
ANTEQUERA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
APOLO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
ARAMPAMPA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
ARANI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
ARBIETO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
ARQUE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,341,341
ATOCHA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,433,433
AYATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
AYO AYO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,682,682
AZURDUY,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,1,1
BATALLAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
BAURES,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
BERMEJO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,417,417
BETANZOS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,248,248
BOLIVAR,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,155,155
BOYUIBE,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
BUENA VISTA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,276,276
CABEZAS,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
CAIROMA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,186,186
"CAIZA ""D""",internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
CAJUATA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,124,124
CALAMARCA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
CAMARGO,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,651,651
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles maternidad,2011-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,620,620
CAPINOTA,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,279,279
CAQUIAVIRI,internaciones dias camas,dias camas disponibles maternidad,2011-01-01,31,31
