municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,124,124
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,310,310
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1302,1302
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,186,186
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
ANCORAIMES,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,30,30
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,186,186
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,124,124
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,868,868
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,866,866
AYATA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,93,93
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1271,1271
BATALLAS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,186,186
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
BELEN DE ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,31,31
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1181,1181
BETANZOS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,248,248
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,93,93
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,492,492
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,248,248
CAIROMA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,186,186
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,31,31
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1581,1581
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,2480,2480
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,434,434
CARACOLLO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,186,186
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1085,1085
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,85,85
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,281,281
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,558,558
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,31,31
CHARAGUA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,862,862
CHARAÑA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,31,31
CHAYANTA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,124,124
CHIMORE,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,153,153
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,806,806
CKOCHAS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
CLIZA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,279,279
COBIJA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1705,1705
COCAPATA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,278,278
COCHABAMBA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,50970,50970
COLCAPIRHUA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1333,1333
"COLCHA ""K""",internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
COLOMI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,217,217
COLPA BELGICA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
COLQUECHACA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,182,182
COLQUIRI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,337,337
COMARAPA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,743,743
COPACABANA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,248,248
CORIPATA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,93,93
CORO CORO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,186,186
COROICO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,992,992
CORQUE,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
COTAGAITA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,279,279
COTOCA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,496,496
CUATRO CAÑADAS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,604,604
CUCHUMUELA (V. G. VILLARROEL),internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
CUEVO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,186,186
CULPINA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,465,465
CURAHUARA DE CARANGAS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,279,279
DESAGUADERO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,120,120
EL ALTO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,11187,11187
EL PUENTE(STC),internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
EL TORNO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1984,1984
EL VILLAR,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,248,248
ENTRE RIOS TRJ,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,416,416
ENTRE RIOS CBBA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
ESCOMA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,527,527
EUCALIPTUS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
EXALTACION,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
FERNANDEZ ALONSO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,434,434
GENERAL SAAVEDRA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,248,248
GUANAY,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,186,186
GUAYARAMERIN,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1106,1106
GUTIERREZ,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,651,651
HUACARETA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,553,553
HUACAYA (VILLA DE HUACAYA),internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,183,183
HUACHACALLA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
HUANUNI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,408,408
HUARACAJE,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
HUAYLLAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
HUMANATA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
ICLA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,182,182
INCAHUASI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,277,277
IRUPANA (VILLA DE LANZA),internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,402,402
IXIAMAS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,180,180
JESUS DE MACHACA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,341,341
LA ASUNTA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,341,341
LA GUARDIA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,861,861
LA PAZ,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,68591,68591
LAGUNILLAS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,124,124
LAS CARRERAS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,93,93
LLALLAGUA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1023,1023
LLICA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,60,60
LURIBAY,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
MACHACAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
MACHARETI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,357,357
MAGDALENA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,248,248
MAIRANA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,93,93
MALLA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
MAPIRI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
MINEROS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,279,279
MIZQUE,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,744,744
MOJOCOYA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,242,242
MONTEAGUDO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1550,1550
MONTERO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,2418,2418
MORO MORO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,93,93
MOROCHATA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,310,310
NAZACARA DE PACAJES,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,30,30
OCURI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,120,120
OKINAWA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,124,124
OMEREQUE,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
ORURO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,14356,14356
PADILLA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,465,465
PAILON,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,341,341
PALCA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,31,31
PALOS BLANCOS,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,465,465
PASORAPA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,90,90
PATACAMAYA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,403,403
PAZÑA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
POCOATA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,30,30
POCONA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,248,248
POJO (CBBA),internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,155,155
POOPO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
PORCO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,60,60
POROMA,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,775,775
PORONGO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,277,277
PORTACHUELO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,1023,1023
PORVENIR,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,93,93
POSTRER VALLE,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,62,62
POTOSI,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,9116,9116
PRESTO,internaciones dias camas,dias camas disponibles otros servicios,2011-01-01,310,310
