municipality,group,variable,month,Días camas ocupadas maternidad,TOTAL
ACACIO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
ACHACACHI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,42,42
ACHOCALLA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,11,11
AIQUILE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,59,59
ALCALA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,24,24
ALTO BENI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,8,8
ANCORAIMES,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,40,40
ANZALDO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
APOLO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,26,26
ARANI,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,17,17
ARBIETO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,18,18
ARQUE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,6,6
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,155,155
ATOCHA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,35,35
AYATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,7,7
AYO AYO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,42,42
AZURDUY,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
BATALLAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,5,5
BAURES,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,25,25
BELEN DE ANDAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,1,1
BERMEJO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,148,148
BETANZOS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,41,41
BOYUIBE,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,15,15
BUENA VISTA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,30,30
CABEZAS,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,10,10
CAIROMA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,14,14
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,8,8
CAJUATA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,21,21
CALAMARCA,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,2,2
CAMARGO,internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,247,247
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas maternidad,2011-01-01,10,10
