municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,76,76
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,127,127
ANCORAIMES,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,4,4
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,7,7
ARQUE,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,1,1
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,294,294
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,111,111
AYATA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,32,32
BATALLAS,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,6,6
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,54,54
BELEN DE ANDAMARCA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,1,1
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,603,603
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,38,38
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,55,55
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,98,98
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,34,34
"CAIZA ""D""",internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,2,2
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,665,665
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,8,8
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,1066,1066
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,150,150
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,22,22
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,327,327
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,8,8
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,30,30
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,124,124
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,350,350
CHARAÑA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,1,1
CHAYANTA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,7,7
CHIMORE,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,33,33
CHULUMANI (V. DE LA LIBERTAD),internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,231,231
CLIZA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,29,29
COBIJA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,992,992
COCAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,4,4
COCHABAMBA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,32308,32308
COLCAPIRHUA,internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,292,292
"COLCHA ""K""",internaciones dias camas,dias camas ocupadas otros servicios,2011-01-01,3,3
