,group,variable,month,13. 2 INGRESOS ESPONTÁNEOS CANTIDAD,13. 2 INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
CHUMA,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
CKOCHAS,internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
CLIZA,internaciones,2      ingresos espontaneos,2014-01-01,5,52,5,52,57
COBIJA,internaciones,2      ingresos espontaneos,2014-01-01,107,24,107,24,131
COCAPATA,internaciones,2      ingresos espontaneos,2014-01-01,0,5,0,5,5
COCHABAMBA,internaciones,2      ingresos espontaneos,2014-01-01,3078,5188,3078,5188,8266
COIPASA,internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
COLCAPIRHUA,internaciones,2      ingresos espontaneos,2014-01-01,52,99,52,99,151
"COLCHA ""K""",internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
COLOMI,internaciones,2      ingresos espontaneos,2014-01-01,1,18,1,18,19
COLPA BELGICA,internaciones,2      ingresos espontaneos,2014-01-01,13,16,13,16,29
COLQUECHACA,internaciones,2      ingresos espontaneos,2014-01-01,0,11,0,11,11
COLQUENCHA,internaciones,2      ingresos espontaneos,2014-01-01,0,6,0,6,6
COLQUIRI,internaciones,2      ingresos espontaneos,2014-01-01,9,8,9,8,17
COMARAPA,internaciones,2      ingresos espontaneos,2014-01-01,8,52,8,52,60
COMBAYA,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
CONCEPCION,internaciones,2      ingresos espontaneos,2014-01-01,25,55,25,55,80
COPACABANA,internaciones,2      ingresos espontaneos,2014-01-01,0,15,0,15,15
CORIPATA,internaciones,2      ingresos espontaneos,2014-01-01,0,5,0,5,5
CORO CORO,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
COROICO,internaciones,2      ingresos espontaneos,2014-01-01,27,54,27,54,81
COTAGAITA,internaciones,2      ingresos espontaneos,2014-01-01,0,13,0,13,13
COTOCA,internaciones,2      ingresos espontaneos,2014-01-01,7,110,7,110,117
CUATRO CAÑADAS,internaciones,2      ingresos espontaneos,2014-01-01,2,0,2,0,2
CUEVO,internaciones,2      ingresos espontaneos,2014-01-01,1,9,1,9,10
CULPINA,internaciones,2      ingresos espontaneos,2014-01-01,8,31,8,31,39
CURAHUARA DE CARANGAS,internaciones,2      ingresos espontaneos,2014-01-01,0,4,0,4,4
EL ALTO,internaciones,2      ingresos espontaneos,2014-01-01,810,2573,810,2573,3383
EL CHORO,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
EL PUENTE(STC),internaciones,2      ingresos espontaneos,2014-01-01,6,23,6,23,29
EL PUENTE(TJA),internaciones,2      ingresos espontaneos,2014-01-01,0,10,0,10,10
EL TORNO,internaciones,2      ingresos espontaneos,2014-01-01,218,373,218,373,591
EL VILLAR,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
ENTRE RIOS TRJ,internaciones,2      ingresos espontaneos,2014-01-01,2,23,2,23,25
ENTRE RIOS CBBA,internaciones,2      ingresos espontaneos,2014-01-01,4,29,4,29,33
ESCOMA,internaciones,2      ingresos espontaneos,2014-01-01,0,20,0,20,20
EUCALIPTUS,internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
EXALTACION,internaciones,2      ingresos espontaneos,2014-01-01,1,6,1,6,7
FERNANDEZ ALONSO,internaciones,2      ingresos espontaneos,2014-01-01,16,25,16,25,41
FILADELFIA,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
GENERAL SAAVEDRA,internaciones,2      ingresos espontaneos,2014-01-01,0,55,0,55,55
GRAL. J.J. PEREZ (CHARAZANI),internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
GUANAY,internaciones,2      ingresos espontaneos,2014-01-01,0,16,0,16,16
GUAQUI,internaciones,2      ingresos espontaneos,2014-01-01,1,7,1,7,8
GUAYARAMERIN,internaciones,2      ingresos espontaneos,2014-01-01,185,382,185,382,567
GUTIERREZ,internaciones,2      ingresos espontaneos,2014-01-01,11,26,11,26,37
HUACARETA,internaciones,2      ingresos espontaneos,2014-01-01,8,21,8,21,29
HUACAYA (VILLA DE HUACAYA),internaciones,2      ingresos espontaneos,2014-01-01,0,4,0,4,4
HUANUNI,internaciones,2      ingresos espontaneos,2014-01-01,32,74,32,74,106
HUARACAJE,internaciones,2      ingresos espontaneos,2014-01-01,3,13,3,13,16
HUAYLLAMARCA,internaciones,2      ingresos espontaneos,2014-01-01,5,7,5,7,12
HUMANATA,internaciones,2      ingresos espontaneos,2014-01-01,1,1,1,1,2
ICLA,internaciones,2      ingresos espontaneos,2014-01-01,0,6,0,6,6
INCAHUASI,internaciones,2      ingresos espontaneos,2014-01-01,1,11,1,11,12
INQUISIVI,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
IRUPANA (VILLA DE LANZA),internaciones,2      ingresos espontaneos,2014-01-01,7,21,7,21,28
IXIAMAS,internaciones,2      ingresos espontaneos,2014-01-01,2,12,2,12,14
JESUS DE MACHACA,internaciones,2      ingresos espontaneos,2014-01-01,4,13,4,13,17
LA ASUNTA,internaciones,2      ingresos espontaneos,2014-01-01,2,64,2,64,66
LA GUARDIA,internaciones,2      ingresos espontaneos,2014-01-01,56,121,56,121,177
LA PAZ,internaciones,2      ingresos espontaneos,2014-01-01,2743,5350,2743,5350,8093
LAJA,internaciones,2      ingresos espontaneos,2014-01-01,0,5,0,5,5
LICOMA PAMPA,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
LLALLAGUA,internaciones,2      ingresos espontaneos,2014-01-01,43,123,43,123,166
LLICA,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
LORETO,internaciones,2      ingresos espontaneos,2014-01-01,1,3,1,3,4
LURIBAY,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
MACHACAMARCA,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
MACHARETI,internaciones,2      ingresos espontaneos,2014-01-01,1,5,1,5,6
MAGDALENA,internaciones,2      ingresos espontaneos,2014-01-01,39,58,39,58,97
MAIRANA,internaciones,2      ingresos espontaneos,2014-01-01,8,52,8,52,60
MAPIRI,internaciones,2      ingresos espontaneos,2014-01-01,10,29,10,29,39
MECAPACA,internaciones,2      ingresos espontaneos,2014-01-01,0,4,0,4,4
MINEROS,internaciones,2      ingresos espontaneos,2014-01-01,5,12,5,12,17
MIZQUE,internaciones,2      ingresos espontaneos,2014-01-01,19,56,19,56,75
MOCOMOCO,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
MOJOCOYA,internaciones,2      ingresos espontaneos,2014-01-01,1,12,1,12,13
MONTEAGUDO,internaciones,2      ingresos espontaneos,2014-01-01,64,136,64,136,200
MONTERO,internaciones,2      ingresos espontaneos,2014-01-01,265,554,265,554,819
MORO MORO,internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
MOROCHATA,internaciones,2      ingresos espontaneos,2014-01-01,1,8,1,8,9
OCURI,internaciones,2      ingresos espontaneos,2014-01-01,2,8,2,8,10
OKINAWA,internaciones,2      ingresos espontaneos,2014-01-01,7,28,7,28,35
OMEREQUE,internaciones,2      ingresos espontaneos,2014-01-01,5,10,5,10,15
ORURO,internaciones,2      ingresos espontaneos,2014-01-01,909,2007,909,2007,2916
PADILLA,internaciones,2      ingresos espontaneos,2014-01-01,20,56,20,56,76
PAILON,internaciones,2      ingresos espontaneos,2014-01-01,11,68,11,68,79
PALCA,internaciones,2      ingresos espontaneos,2014-01-01,0,8,0,8,8
PALOS BLANCOS,internaciones,2      ingresos espontaneos,2014-01-01,3,41,3,41,44
PAMPA AULLAGAS,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
PAMPA GRANDE,internaciones,2      ingresos espontaneos,2014-01-01,2,17,2,17,19
PASORAPA,internaciones,2      ingresos espontaneos,2014-01-01,4,4,4,4,8
PATACAMAYA,internaciones,2      ingresos espontaneos,2014-01-01,0,37,0,37,37
PAZÑA,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
POCOATA,internaciones,2      ingresos espontaneos,2014-01-01,0,7,0,7,7
POCONA,internaciones,2      ingresos espontaneos,2014-01-01,1,13,1,13,14
POJO (CBBA),internaciones,2      ingresos espontaneos,2014-01-01,3,12,3,12,15
POROMA,internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
PORONGO,internaciones,2      ingresos espontaneos,2014-01-01,0,5,0,5,5
PORTACHUELO,internaciones,2      ingresos espontaneos,2014-01-01,79,128,79,128,207
PORVENIR,internaciones,2      ingresos espontaneos,2014-01-01,6,3,6,3,9
POSTRER VALLE,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
POTOSI,internaciones,2      ingresos espontaneos,2014-01-01,724,1355,724,1355,2079
PRESTO,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
PUCARA,internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
PUCARANI,internaciones,2      ingresos espontaneos,2014-01-01,1,12,1,12,13
PUERTO ACOSTA,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
PUERTO CARABUCO,internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
PUERTO GONZALO MORENO,internaciones,2      ingresos espontaneos,2014-01-01,7,4,7,4,11
PUERTO QUIJARRO,internaciones,2      ingresos espontaneos,2014-01-01,11,22,11,22,33
PUERTO RICO,internaciones,2      ingresos espontaneos,2014-01-01,13,29,13,29,42
PUERTO SUAREZ,internaciones,2      ingresos espontaneos,2014-01-01,46,96,46,96,142
PUERTO VILLARROEL,internaciones,2      ingresos espontaneos,2014-01-01,48,174,48,174,222
PUNA,internaciones,2      ingresos espontaneos,2014-01-01,1,10,1,10,11
PUNATA,internaciones,2      ingresos espontaneos,2014-01-01,82,142,82,142,224
QUILLACOLLO,internaciones,2      ingresos espontaneos,2014-01-01,30,244,30,244,274
QUIME,internaciones,2      ingresos espontaneos,2014-01-01,1,4,1,4,5
QUIRUSILLAS,internaciones,2      ingresos espontaneos,2014-01-01,2,2,2,2,4
REYES,internaciones,2      ingresos espontaneos,2014-01-01,1,19,1,19,20
RIBERALTA,internaciones,2      ingresos espontaneos,2014-01-01,265,546,265,546,811
ROBORE,internaciones,2      ingresos espontaneos,2014-01-01,31,68,31,68,99
RURRENABAQUE,internaciones,2      ingresos espontaneos,2014-01-01,27,77,27,77,104
SABAYA,internaciones,2      ingresos espontaneos,2014-01-01,4,3,4,3,7
SACABA,internaciones,2      ingresos espontaneos,2014-01-01,107,368,107,368,475
SACABAMBA,internaciones,2      ingresos espontaneos,2014-01-01,1,10,1,10,11
SACACA,internaciones,2      ingresos espontaneos,2014-01-01,4,12,4,12,16
SAIPINA,internaciones,2      ingresos espontaneos,2014-01-01,6,8,6,8,14
SALINAS DE GARCI MENDOZA,internaciones,2      ingresos espontaneos,2014-01-01,0,12,0,12,12
SAMAIPATA,internaciones,2      ingresos espontaneos,2014-01-01,7,27,7,27,34
SAN ANDRES,internaciones,2      ingresos espontaneos,2014-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,internaciones,2      ingresos espontaneos,2014-01-01,4,5,4,5,9
SAN BENITO,internaciones,2      ingresos espontaneos,2014-01-01,0,5,0,5,5
SAN BORJA,internaciones,2      ingresos espontaneos,2014-01-01,44,131,44,131,175
SAN BUENA VENTURA,internaciones,2      ingresos espontaneos,2014-01-01,10,36,10,36,46
SAN CARLOS,internaciones,2      ingresos espontaneos,2014-01-01,32,72,32,72,104
SAN IGNACIO,internaciones,2      ingresos espontaneos,2014-01-01,27,59,27,59,86
SAN IGNACIO DE VELASCO,internaciones,2      ingresos espontaneos,2014-01-01,64,219,64,219,283
SAN JAVIER(BNI),internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
SAN JAVIER(STC),internaciones,2      ingresos espontaneos,2014-01-01,8,43,8,43,51
SAN JOAQUIN,internaciones,2      ingresos espontaneos,2014-01-01,9,18,9,18,27
SAN JOSE DE CHIQUITOS,internaciones,2      ingresos espontaneos,2014-01-01,43,125,43,125,168
SAN JUAN DE YAPACANI,internaciones,2      ingresos espontaneos,2014-01-01,1,62,1,62,63
SAN JULIAN,internaciones,2      ingresos espontaneos,2014-01-01,32,73,32,73,105
SAN LORENZO(TJA),internaciones,2      ingresos espontaneos,2014-01-01,0,9,0,9,9
SAN LUCAS,internaciones,2      ingresos espontaneos,2014-01-01,10,34,10,34,44
SAN MATIAS,internaciones,2      ingresos espontaneos,2014-01-01,23,69,23,69,92
SAN MIGUEL DE VELASCO,internaciones,2      ingresos espontaneos,2014-01-01,5,27,5,27,32
SAN PEDRO,internaciones,2      ingresos espontaneos,2014-01-01,6,20,6,20,26
SAN PEDRO DE BUENA VISTA,internaciones,2      ingresos espontaneos,2014-01-01,1,5,1,5,6
SAN PEDRO DE CURAHUARA,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
SAN RAFAEL,internaciones,2      ingresos espontaneos,2014-01-01,5,15,5,15,20
SAN RAMON BENI,internaciones,2      ingresos espontaneos,2014-01-01,4,21,4,21,25
SAN RAMON SCZ,internaciones,2      ingresos espontaneos,2014-01-01,6,37,6,37,43
SANTA ANA,internaciones,2      ingresos espontaneos,2014-01-01,35,86,35,86,121
SANTA CRUZ DE LA SIERRA,internaciones,2      ingresos espontaneos,2014-01-01,5989,6025,5989,6025,12014
SANTA ROSA,internaciones,2      ingresos espontaneos,2014-01-01,3,31,3,31,34
SANTA ROSA DEL SARA,internaciones,2      ingresos espontaneos,2014-01-01,3,19,3,19,22
SANTIAGO DE CALLAPA,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
SANTIAGO DE HUARI,internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
SANTIAGO DE HUATA,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
SANTIAGO DE MACHACA,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
SANTIVAÑES,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
SANTUARIO DE QUILLACAS,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
SAPAHAQUI,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
SENA,internaciones,2      ingresos espontaneos,2014-01-01,5,33,5,33,38
SHINAOTA,internaciones,2      ingresos espontaneos,2014-01-01,21,81,21,81,102
SICA SICA (VILLA AROMA),internaciones,2      ingresos espontaneos,2014-01-01,0,12,0,12,12
SIPE SIPE,internaciones,2      ingresos espontaneos,2014-01-01,0,38,0,38,38
SOPACHUY,internaciones,2      ingresos espontaneos,2014-01-01,9,10,9,10,19
SORATA,internaciones,2      ingresos espontaneos,2014-01-01,3,9,3,9,12
SUCRE,internaciones,2      ingresos espontaneos,2014-01-01,1352,2729,1352,2729,4081
TACACOMA,internaciones,2      ingresos espontaneos,2014-01-01,1,4,1,4,5
TACOPAYA,internaciones,2      ingresos espontaneos,2014-01-01,1,6,1,6,7
TAPACARI,internaciones,2      ingresos espontaneos,2014-01-01,1,3,1,3,4
TARABUCO,internaciones,2      ingresos espontaneos,2014-01-01,16,38,16,38,54
TARACO,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
TARATA,internaciones,2      ingresos espontaneos,2014-01-01,0,12,0,12,12
TARIJA,internaciones,2      ingresos espontaneos,2014-01-01,708,1092,708,1092,1800
TARVITA,internaciones,2      ingresos espontaneos,2014-01-01,3,28,3,28,31
TEOPONTE,internaciones,2      ingresos espontaneos,2014-01-01,0,14,0,14,14
TIAWANACU,internaciones,2      ingresos espontaneos,2014-01-01,0,9,0,9,9
TIPUANI,internaciones,2      ingresos espontaneos,2014-01-01,16,36,16,36,52
TIQUIPAYA,internaciones,2      ingresos espontaneos,2014-01-01,13,147,13,147,160
TIRAQUE (CBBA),internaciones,2      ingresos espontaneos,2014-01-01,0,20,0,20,20
TOCO,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
TOLATA,internaciones,2      ingresos espontaneos,2014-01-01,4,0,4,0,4
TOMINA,internaciones,2      ingresos espontaneos,2014-01-01,5,26,5,26,31
TORO TORO,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
TOTORA(CBBA),internaciones,2      ingresos espontaneos,2014-01-01,8,55,8,55,63
TOTORA(ORR),internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
TRIGAL,internaciones,2      ingresos espontaneos,2014-01-01,7,11,7,11,18
TRINIDAD,internaciones,2      ingresos espontaneos,2014-01-01,337,920,337,920,1257
TUPIZA,internaciones,2      ingresos espontaneos,2014-01-01,404,490,404,490,894
UMALA,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
UNCIA,internaciones,2      ingresos espontaneos,2014-01-01,18,40,18,40,58
URUBICHA,internaciones,2      ingresos espontaneos,2014-01-01,11,19,11,19,30
UYUNI,internaciones,2      ingresos espontaneos,2014-01-01,51,129,51,129,180
VACAS,internaciones,2      ingresos espontaneos,2014-01-01,0,8,0,8,8
VALLEGRANDE,internaciones,2      ingresos espontaneos,2014-01-01,51,94,51,94,145
VIACHA,internaciones,2      ingresos espontaneos,2014-01-01,48,112,48,112,160
VILA VILA,internaciones,2      ingresos espontaneos,2014-01-01,0,3,0,3,3
VILLA CHARCAS,internaciones,2      ingresos espontaneos,2014-01-01,0,8,0,8,8
VILLA MONTES,internaciones,2      ingresos espontaneos,2014-01-01,61,207,61,207,268
VILLA RIVERO,internaciones,2      ingresos espontaneos,2014-01-01,3,9,3,9,12
VILLA TUNARI,internaciones,2      ingresos espontaneos,2014-01-01,114,267,114,267,381
VILLA VACA GUZMAN (MUYUPAMPA),internaciones,2      ingresos espontaneos,2014-01-01,5,12,5,12,17
VILLAZON,internaciones,2      ingresos espontaneos,2014-01-01,54,172,54,172,226
VINTO,internaciones,2      ingresos espontaneos,2014-01-01,29,88,29,88,117
WARNES,internaciones,2      ingresos espontaneos,2014-01-01,42,101,42,101,143
YACO,internaciones,2      ingresos espontaneos,2014-01-01,0,1,0,1,1
YACUIBA,internaciones,2      ingresos espontaneos,2014-01-01,370,651,370,651,1021
YAMPARAEZ,internaciones,2      ingresos espontaneos,2014-01-01,1,3,1,3,4
YANACACHI,internaciones,2      ingresos espontaneos,2014-01-01,0,2,0,2,2
YAPACANI,internaciones,2      ingresos espontaneos,2014-01-01,47,82,47,82,129
YOTALA,internaciones,2      ingresos espontaneos,2014-01-01,8,23,8,23,31
ZUDAÑEZ,internaciones,2      ingresos espontaneos,2014-01-01,3,19,3,19,22
ACACIO,internaciones,2      ingresos espontaneos,2014-02-01,0,2,0,2,2
ACHACACHI,internaciones,2      ingresos espontaneos,2014-02-01,16,48,16,48,64
ACHOCALLA,internaciones,2      ingresos espontaneos,2014-02-01,0,6,0,6,6
AIQUILE,internaciones,2      ingresos espontaneos,2014-02-01,42,71,42,71,113
ALALAY,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
ALCALA,internaciones,2      ingresos espontaneos,2014-02-01,0,2,0,2,2
ALTO BENI,internaciones,2      ingresos espontaneos,2014-02-01,0,10,0,10,10
ANCORAIMES,internaciones,2      ingresos espontaneos,2014-02-01,0,5,0,5,5
ANTEQUERA,internaciones,2      ingresos espontaneos,2014-02-01,0,4,0,4,4
ANZALDO,internaciones,2      ingresos espontaneos,2014-02-01,9,13,9,13,22
APOLO,internaciones,2      ingresos espontaneos,2014-02-01,0,19,0,19,19
ARAMPAMPA,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
ARANI,internaciones,2      ingresos espontaneos,2014-02-01,0,11,0,11,11
ARBIETO,internaciones,2      ingresos espontaneos,2014-02-01,0,9,0,9,9
ASCENCION DE GUARAYOS,internaciones,2      ingresos espontaneos,2014-02-01,45,116,45,116,161
ATOCHA,internaciones,2      ingresos espontaneos,2014-02-01,101,130,101,130,231
AYATA,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
AYO AYO,internaciones,2      ingresos espontaneos,2014-02-01,1,4,1,4,5
AYOPAYA (V. DE INDEPENDENCIA),internaciones,2      ingresos espontaneos,2014-02-01,11,32,11,32,43
AZURDUY,internaciones,2      ingresos espontaneos,2014-02-01,9,13,9,13,22
BAURES,internaciones,2      ingresos espontaneos,2014-02-01,12,12,12,12,24
BERMEJO,internaciones,2      ingresos espontaneos,2014-02-01,75,167,75,167,242
BETANZOS,internaciones,2      ingresos espontaneos,2014-02-01,5,43,5,43,48
BOLIVAR,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
BOYUIBE,internaciones,2      ingresos espontaneos,2014-02-01,13,24,13,24,37
BUENA VISTA,internaciones,2      ingresos espontaneos,2014-02-01,12,22,12,22,34
CABEZAS,internaciones,2      ingresos espontaneos,2014-02-01,7,0,7,0,7
CAIROMA,internaciones,2      ingresos espontaneos,2014-02-01,2,14,2,14,16
CAJUATA,internaciones,2      ingresos espontaneos,2014-02-01,0,5,0,5,5
CALACOTO,internaciones,2      ingresos espontaneos,2014-02-01,2,3,2,3,5
CALAMARCA,internaciones,2      ingresos espontaneos,2014-02-01,0,4,0,4,4
CAMARGO,internaciones,2      ingresos espontaneos,2014-02-01,21,47,21,47,68
CAMATAQUI (C. VILLA ABECIA),internaciones,2      ingresos espontaneos,2014-02-01,1,5,1,5,6
CAMIRI,internaciones,2      ingresos espontaneos,2014-02-01,137,281,137,281,418
CAPINOTA,internaciones,2      ingresos espontaneos,2014-02-01,4,28,4,28,32
CAQUIAVIRI,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
CARACOLLO,internaciones,2      ingresos espontaneos,2014-02-01,0,11,0,11,11
CARANAVI,internaciones,2      ingresos espontaneos,2014-02-01,34,125,34,125,159
CARAPARI,internaciones,2      ingresos espontaneos,2014-02-01,9,11,9,11,20
CARIPUYO,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
CARMEN RIVERO TORREZ,internaciones,2      ingresos espontaneos,2014-02-01,10,15,10,15,25
CHALLAPATA,internaciones,2      ingresos espontaneos,2014-02-01,11,95,11,95,106
CHAQUI,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
CHARAGUA,internaciones,2      ingresos espontaneos,2014-02-01,32,87,32,87,119
CHAYANTA,internaciones,2      ingresos espontaneos,2014-02-01,0,9,0,9,9
CHIMORE,internaciones,2      ingresos espontaneos,2014-02-01,0,13,0,13,13
CHIPAYA,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,2      ingresos espontaneos,2014-02-01,41,74,41,74,115
CHUMA,internaciones,2      ingresos espontaneos,2014-02-01,0,3,0,3,3
CKOCHAS,internaciones,2      ingresos espontaneos,2014-02-01,0,2,0,2,2
CLIZA,internaciones,2      ingresos espontaneos,2014-02-01,9,40,9,40,49
COBIJA,internaciones,2      ingresos espontaneos,2014-02-01,124,130,124,130,254
COCAPATA,internaciones,2      ingresos espontaneos,2014-02-01,0,2,0,2,2
COCHABAMBA,internaciones,2      ingresos espontaneos,2014-02-01,2853,4754,2853,4754,7607
COIPASA,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
COLCAPIRHUA,internaciones,2      ingresos espontaneos,2014-02-01,47,84,47,84,131
COLLANA,internaciones,2      ingresos espontaneos,2014-02-01,0,1,0,1,1
