,group,variable,month,13. 4 FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,13. 4 FALLECIDOS ANTES DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-01-01,13,9,13,9,22
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-01-01,7,4,7,4,11
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-01-01,0,1,0,1,1
VALLEGRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-01-01,1,1,1,1,2
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-01-01,0,2,0,2,2
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-01-01,1,0,1,0,1
VINTO,internaciones,4      fallecidos antes de las 48 horas,2014-01-01,0,1,0,1,1
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-01-01,6,0,6,0,6
ASCENCION DE GUARAYOS,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,1,1,1,2
AZURDUY,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
CARANAVI,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,4      fallecidos antes de las 48 horas,2014-02-01,0,1,0,1,1
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,3,2,3,2,5
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,25,19,25,19,44
COROICO,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,11,4,11,4,15
EL PUENTE(STC),internaciones,4      fallecidos antes de las 48 horas,2014-02-01,3,2,3,2,5
EL TORNO,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,4,1,4,5
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,1,1,1,2
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,30,29,30,29,59
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
MAGDALENA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
MONTEAGUDO,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,4,0,4,0,4
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,0,1,0,1,1
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,7,12,7,12,19
PADILLA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,0,1,0,1,1
PATACAMAYA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,0,32,0,32,32
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,4,2,4,2,6
PUERTO SUAREZ,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
PUNATA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,6,3,6,3,9
RURRENABAQUE,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,3,0,3,0,3
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,2,3,2,3,5
SAN BUENA VENTURA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,0,1,0,1,1
SAN IGNACIO,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
SAN LUCAS,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,0,2,0,2,2
SANTA ANA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,42,41,42,41,83
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,11,4,11,4,15
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,10,5,10,5,15
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,14,6,14,6,20
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,2,2,2,2,4
VALLEGRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,2,0,2,0,2
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,2,1,2,1,3
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,3,0,3,0,3
YAPACANI,internaciones,4      fallecidos antes de las 48 horas,2014-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,0,1,0,1
AYO AYO,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,0,4,0,4,4
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,0,1,0,1,1
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,3,2,3,2,5
CARANAVI,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,2,2,2,2,4
CHALLAPATA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,0,1,0,1,1
CHARAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,2,0,2,0,2
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,3,2,3,2,5
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,37,23,37,23,60
CONCEPCION,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,0,1,0,1
COROICO,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,4,0,4,0,4
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,14,10,14,10,24
EL TORNO,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,2,1,2,3
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,3,2,3,2,5
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,32,37,32,37,69
LAGUNILLAS,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,0,1,0,1
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,2,1,2,3
MAGDALENA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,1,1,1,2
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,6,2,6,2,8
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,14,12,14,12,26
PADILLA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,0,1,0,1,1
POCOATA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,0,1,0,1
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,12,17,12,17,29
PUERTO SUAREZ,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,1,1,1,2
PUNATA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,2,1,2,3
REYES,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,0,1,0,1
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,5,5,5,5,10
ROBORE,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,2,5,2,5,7
RURRENABAQUE,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,0,1,0,1
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,0,1,0,1,1
SAN CARLOS,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,0,1,0,1
SAN IGNACIO,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,49,38,49,38,87
SORATA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,0,1,0,1,1
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,9,8,9,8,17
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,13,7,13,7,20
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,13,6,13,6,19
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,0,1,0,1
VALLEGRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,0,1,0,1,1
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,1,2,1,2,3
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,2,0,2,0,2
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-03-01,6,3,6,3,9
ASCENCION DE GUARAYOS,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,0,1,0,1,1
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,2,2,2,2,4
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,0,2,0,2,2
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,4,3,4,3,7
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,32,24,32,24,56
COMARAPA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,0,1,0,1
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,18,13,18,13,31
EL TORNO,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,2,1,2,1,3
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,0,1,0,1
LA ASUNTA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,0,1,0,1
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,41,40,41,40,81
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,0,1,0,1,1
MONTEAGUDO,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,0,1,0,1
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,6,4,6,4,10
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,9,12,9,12,21
PADILLA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,2,0,2,0,2
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,10,1,10,1,11
PUERTO VILLARROEL,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,1,1,1,2
PUNATA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,2,1,2,3
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,3,5,3,5,8
SACABA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,0,1,0,1,1
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,3,0,3,0,3
SAN BUENA VENTURA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,0,1,0,1,1
SAN IGNACIO,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,0,1,0,1
SAN JOAQUIN,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,0,1,0,1
SAN JULIAN,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,0,1,0,1
SANTA ANA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,50,81,50,81,131
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,10,2,10,2,12
TARABUCO,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,1,1,1,2
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,12,3,12,3,15
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,8,6,8,6,14
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,1,1,1,2
UYUNI,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,0,1,0,1,1
VALLEGRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,1,1,1,2
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,4,1,4,1,5
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,2,0,2,0,2
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,1,0,1,0,1
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-04-01,2,6,2,6,8
ACHACACHI,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
CABEZAS,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,1,1,1,2
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,2,2,2,2,4
CARANAVI,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,4      fallecidos antes de las 48 horas,2014-05-01,2,1,2,1,3
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,2,0,2,0,2
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,32,21,32,21,53
COROICO,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,14,10,14,10,24
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,1,1,1,2
GUTIERREZ,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,0,1,0,1,1
HUARACAJE,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,0,1,0,1,1
ICLA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
IXIAMAS,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,2,0,2,0,2
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,46,45,46,45,91
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,3,2,3,2,5
MAGDALENA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,0,1,0,1,1
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,2,11,2,11,13
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,7,13,7,13,20
PADILLA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,10,4,10,4,14
PUERTO SUAREZ,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,0,1,0,1,1
REYES,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,6,4,6,4,10
RURRENABAQUE,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
SACABA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
SAN LUCAS,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,0,1,0,1,1
SAN RAFAEL,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
SANTA ANA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,44,35,44,35,79
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,16,5,16,5,21
TARABUCO,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,1,1,1,2
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,9,7,9,7,16
TIPUANI,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,0,1,0,1,1
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,5,11,5,11,16
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,1,1,1,2
VALLEGRANDE,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,0,1,0,1
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,0,1,0,1,1
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,0,2,0,2,2
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,1,2,1,2,3
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-05-01,4,1,4,1,5
ASCENCION DE GUARAYOS,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,0,1,0,1,1
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,3,1,3,1,4
CAMIRI,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,0,1,0,1
CARANAVI,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,0,1,0,1
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,1,1,1,2
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,28,31,28,31,59
CULPINA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,0,1,0,1,1
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,10,11,10,11,21
EL TORNO,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,1,1,1,2
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,2,2,2,2,4
LA ASUNTA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,0,1,0,1
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,30,37,30,37,67
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,2,1,2,3
MAGDALENA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,1,1,1,2
MONTEAGUDO,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,3,0,3,0,3
MONTERO,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,3,1,3,1,4
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,11,20,11,20,31
PALOS BLANCOS,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,1,1,1,2
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,11,12,11,12,23
PUERTO SUAREZ,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,1,1,1,2
PUNATA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,2,3,2,3,5
RIBERALTA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,8,1,8,1,9
RURRENABAQUE,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,0,1,0,1
SACABA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,0,1,0,1,1
SAMAIPATA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,0,1,0,1
SAN BORJA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,5,0,5,0,5
SAN BUENA VENTURA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,2,4,2,4,6
SAN JOSE DE CHIQUITOS,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,2,0,2,0,2
SANTA ANA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,27,20,27,20,47
SANTA ROSA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,0,1,0,1
SORATA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,0,1,0,1
SUCRE,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,12,9,12,9,21
TARABUCO,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,0,1,0,1
TARIJA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,15,7,15,7,22
TRINIDAD,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,3,5,3,5,8
TUPIZA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,3,1,3,4
UYUNI,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,2,0,2,0,2
VILLA MONTES,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,1,1,1,2
VILLA TUNARI,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,3,0,3,0,3
VILLAZON,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,0,2,0,2,2
WARNES,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,1,0,1,0,1
YACUIBA,internaciones,4      fallecidos antes de las 48 horas,2014-06-01,4,3,4,3,7
ASCENCION DE GUARAYOS,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,0,1,0,1,1
BERMEJO,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,2,1,2,3
CARANAVI,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,1,1,1,2
CARMEN RIVERO TORREZ,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
CHARAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,0,1,0,1,1
COBIJA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,5,0,5,0,5
COCHABAMBA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,38,24,38,24,62
COMARAPA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
CONCEPCION,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,2,0,2,0,2
COROICO,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
EL ALTO,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,12,6,12,6,18
EL PUENTE(STC),internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
GUAYARAMERIN,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,2,1,2,3
HUACARETA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,0,1,0,1,1
LA PAZ,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,36,21,36,21,57
LLALLAGUA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,0,1,0,1,1
MAGDALENA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,0,1,0,1,1
ORURO,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,10,12,10,12,22
PADILLA,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
PORTACHUELO,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
POTOSI,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,14,8,14,8,22
PUERTO QUIJARRO,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,0,1,0,1
PUERTO VILLARROEL,internaciones,4      fallecidos antes de las 48 horas,2014-07-01,1,1,1,1,2
