,group,variable,month,13. 5 FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,13. 5 FALLECIDOS A PARTIR DE LAS 48 HORAS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,2,1,2,3
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,0,1,0,1,1
CARANAVI,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,0,1,0,1,1
CHARAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,1,1,1,2
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,3,0,3,0,3
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,44,36,44,36,80
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,11,7,11,7,18
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,0,1,0,1
LA PAZ,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,56,62,56,62,118
LLALLAGUA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,0,1,0,1,1
MONTEAGUDO,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,0,1,0,1
MONTERO,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,1,1,1,2
ORURO,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,8,30,8,30,38
POTOSI,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,15,14,15,14,29
PUNATA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,2,0,2,0,2
RIBERALTA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,2,5,2,5,7
SAN BORJA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,0,1,0,1
SAN CARLOS,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,0,1,0,1
SAN JAVIER(STC),internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,62,76,62,76,138
SUCRE,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,26,25,26,25,51
TARIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,16,7,16,7,23
TRINIDAD,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,10,6,10,6,16
TUPIZA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,0,1,0,1,1
UYUNI,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,0,1,0,1
VALLEGRANDE,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,0,1,0,1
VILLA MONTES,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,2,1,2,3
VILLAZON,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,1,2,1,2,3
YACUIBA,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,4,1,4,1,5
YAPACANI,internaciones,5      fallecidos a partir de las 48 horas,2014-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,0,1,0,1
BERMEJO,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,0,3,0,3,3
CAMIRI,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,1,1,1,2
CARANAVI,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,0,1,0,1,1
COBIJA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,2,1,2,1,3
COCHABAMBA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,62,45,62,45,107
COROICO,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,1,1,1,2
CULPINA,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,1,0,1,0,1
EL ALTO,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,12,14,12,14,26
GUAYARAMERIN,internaciones,5      fallecidos a partir de las 48 horas,2014-02-01,3,5,3,5,8
