,group,variable,month,13. 6 RETORNADOS CANTIDAD,13. 6 RETORNADOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ASCENCION DE GUARAYOS,internaciones,6      retornados,2014-01-01,1,2,1,2,3
BERMEJO,internaciones,6      retornados,2014-01-01,7,5,7,5,12
CAMARGO,internaciones,6      retornados,2014-01-01,0,1,0,1,1
COBIJA,internaciones,6      retornados,2014-01-01,7,0,7,0,7
EL ALTO,internaciones,6      retornados,2014-01-01,6,60,6,60,66
EL VILLAR,internaciones,6      retornados,2014-01-01,0,2,0,2,2
HUAYLLAMARCA,internaciones,6      retornados,2014-01-01,1,0,1,0,1
ICLA,internaciones,6      retornados,2014-01-01,1,0,1,0,1
LA PAZ,internaciones,6      retornados,2014-01-01,4,10,4,10,14
MONTERO,internaciones,6      retornados,2014-01-01,5,254,5,254,259
ORURO,internaciones,6      retornados,2014-01-01,3,0,3,0,3
PORVENIR,internaciones,6      retornados,2014-01-01,0,2,0,2,2
POTOSI,internaciones,6      retornados,2014-01-01,1,3,1,3,4
PUERTO SUAREZ,internaciones,6      retornados,2014-01-01,0,13,0,13,13
QUILLACOLLO,internaciones,6      retornados,2014-01-01,1,0,1,0,1
RIBERALTA,internaciones,6      retornados,2014-01-01,6,80,6,80,86
SAMAIPATA,internaciones,6      retornados,2014-01-01,0,1,0,1,1
SAN BORJA,internaciones,6      retornados,2014-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,6      retornados,2014-01-01,0,3,0,3,3
SAN JOSE DE CHIQUITOS,internaciones,6      retornados,2014-01-01,0,1,0,1,1
SAN JULIAN,internaciones,6      retornados,2014-01-01,5,9,5,9,14
SAN LUCAS,internaciones,6      retornados,2014-01-01,4,9,4,9,13
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-01-01,25,7,25,7,32
SUCRE,internaciones,6      retornados,2014-01-01,6,102,6,102,108
TARABUCO,internaciones,6      retornados,2014-01-01,2,8,2,8,10
TARIJA,internaciones,6      retornados,2014-01-01,1,0,1,0,1
TRINIDAD,internaciones,6      retornados,2014-01-01,2,0,2,0,2
WARNES,internaciones,6      retornados,2014-01-01,0,1,0,1,1
YACUIBA,internaciones,6      retornados,2014-01-01,1,10,1,10,11
YAPACANI,internaciones,6      retornados,2014-01-01,2,3,2,3,5
ZUDAÑEZ,internaciones,6      retornados,2014-01-01,0,1,0,1,1
BERMEJO,internaciones,6      retornados,2014-02-01,5,4,5,4,9
CAJUATA,internaciones,6      retornados,2014-02-01,0,2,0,2,2
COBIJA,internaciones,6      retornados,2014-02-01,6,153,6,153,159
EL ALTO,internaciones,6      retornados,2014-02-01,9,86,9,86,95
HUACAYA (VILLA DE HUACAYA),internaciones,6      retornados,2014-02-01,0,2,0,2,2
LA PAZ,internaciones,6      retornados,2014-02-01,4,6,4,6,10
MONTEAGUDO,internaciones,6      retornados,2014-02-01,0,1,0,1,1
MONTERO,internaciones,6      retornados,2014-02-01,4,211,4,211,215
ORURO,internaciones,6      retornados,2014-02-01,5,9,5,9,14
PADILLA,internaciones,6      retornados,2014-02-01,12,24,12,24,36
POJO (CBBA),internaciones,6      retornados,2014-02-01,0,7,0,7,7
PORVENIR,internaciones,6      retornados,2014-02-01,0,1,0,1,1
POTOSI,internaciones,6      retornados,2014-02-01,1,1,1,1,2
PUERTO RICO,internaciones,6      retornados,2014-02-01,4,0,4,0,4
PUERTO SUAREZ,internaciones,6      retornados,2014-02-01,1,16,1,16,17
SAN BORJA,internaciones,6      retornados,2014-02-01,1,1,1,1,2
SAN LUCAS,internaciones,6      retornados,2014-02-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,internaciones,6      retornados,2014-02-01,0,1,0,1,1
SAN RAFAEL,internaciones,6      retornados,2014-02-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,6      retornados,2014-02-01,1,4,1,4,5
SUCRE,internaciones,6      retornados,2014-02-01,8,12,8,12,20
TARABUCO,internaciones,6      retornados,2014-02-01,1,8,1,8,9
TARIJA,internaciones,6      retornados,2014-02-01,1,1,1,1,2
TOMINA,internaciones,6      retornados,2014-02-01,0,1,0,1,1
