,group,variable,month,13. 3 EGRESOS CANTIDAD,13. 3 EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,3      egresos,2014-01-01,0,2,0,2,2
ACHACACHI,internaciones,3      egresos,2014-01-01,12,49,12,49,61
ACHOCALLA,internaciones,3      egresos,2014-01-01,0,7,0,7,7
AIQUILE,internaciones,3      egresos,2014-01-01,50,146,50,146,196
ALALAY,internaciones,3      egresos,2014-01-01,0,1,0,1,1
ALCALA,internaciones,3      egresos,2014-01-01,0,3,0,3,3
ALTO BENI,internaciones,3      egresos,2014-01-01,0,14,0,14,14
ANCORAIMES,internaciones,3      egresos,2014-01-01,0,6,0,6,6
ANZALDO,internaciones,3      egresos,2014-01-01,6,20,6,20,26
APOLO,internaciones,3      egresos,2014-01-01,0,23,0,23,23
ARANI,internaciones,3      egresos,2014-01-01,0,11,0,11,11
ARBIETO,internaciones,3      egresos,2014-01-01,0,12,0,12,12
ASCENCION DE GUARAYOS,internaciones,3      egresos,2014-01-01,60,156,60,156,216
ATOCHA,internaciones,3      egresos,2014-01-01,55,70,55,70,125
AYATA,internaciones,3      egresos,2014-01-01,0,3,0,3,3
AYO AYO,internaciones,3      egresos,2014-01-01,0,3,0,3,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,3      egresos,2014-01-01,9,35,9,35,44
AZURDUY,internaciones,3      egresos,2014-01-01,8,4,8,4,12
BAURES,internaciones,3      egresos,2014-01-01,6,14,6,14,20
BELLA FLOR,internaciones,3      egresos,2014-01-01,3,3,3,3,6
BERMEJO,internaciones,3      egresos,2014-01-01,39,93,39,93,132
BETANZOS,internaciones,3      egresos,2014-01-01,3,41,3,41,44
BOYUIBE,internaciones,3      egresos,2014-01-01,16,26,16,26,42
BUENA VISTA,internaciones,3      egresos,2014-01-01,9,10,9,10,19
CABEZAS,internaciones,3      egresos,2014-01-01,8,19,8,19,27
CAIROMA,internaciones,3      egresos,2014-01-01,4,9,4,9,13
"CAIZA ""D""",internaciones,3      egresos,2014-01-01,0,3,0,3,3
CAJUATA,internaciones,3      egresos,2014-01-01,0,18,0,18,18
CALACOTO,internaciones,3      egresos,2014-01-01,2,2,2,2,4
CALAMARCA,internaciones,3      egresos,2014-01-01,0,12,0,12,12
CAMARGO,internaciones,3      egresos,2014-01-01,3,3,3,3,6
CAMATAQUI (C. VILLA ABECIA),internaciones,3      egresos,2014-01-01,0,3,0,3,3
CAMIRI,internaciones,3      egresos,2014-01-01,153,301,153,301,454
CAPINOTA,internaciones,3      egresos,2014-01-01,2,30,2,30,32
CAQUIAVIRI,internaciones,3      egresos,2014-01-01,0,2,0,2,2
CARACOLLO,internaciones,3      egresos,2014-01-01,0,19,0,19,19
CARANAVI,internaciones,3      egresos,2014-01-01,37,180,37,180,217
CARAPARI,internaciones,3      egresos,2014-01-01,2,7,2,7,9
CARMEN RIVERO TORREZ,internaciones,3      egresos,2014-01-01,6,9,6,9,15
CHALLAPATA,internaciones,3      egresos,2014-01-01,15,104,15,104,119
CHAQUI,internaciones,3      egresos,2014-01-01,0,3,0,3,3
CHARAGUA,internaciones,3      egresos,2014-01-01,50,140,50,140,190
CHAYANTA,internaciones,3      egresos,2014-01-01,7,10,7,10,17
CHIMORE,internaciones,3      egresos,2014-01-01,0,13,0,13,13
CHIPAYA,internaciones,3      egresos,2014-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,3      egresos,2014-01-01,31,1,31,1,32
CHUMA,internaciones,3      egresos,2014-01-01,0,3,0,3,3
CKOCHAS,internaciones,3      egresos,2014-01-01,0,2,0,2,2
CLIZA,internaciones,3      egresos,2014-01-01,6,58,6,58,64
COBIJA,internaciones,3      egresos,2014-01-01,153,97,153,97,250
COCAPATA,internaciones,3      egresos,2014-01-01,0,4,0,4,4
COCHABAMBA,internaciones,3      egresos,2014-01-01,2996,5446,2996,5446,8442
COIPASA,internaciones,3      egresos,2014-01-01,0,2,0,2,2
COLCAPIRHUA,internaciones,3      egresos,2014-01-01,53,100,53,100,153
"COLCHA ""K""",internaciones,3      egresos,2014-01-01,0,2,0,2,2
