municipality,group,variable,month,Cesáreas,TOTAL
ACHACACHI,atencion de partos en servicio,cesareas,2008-01-01,1,1
AIQUILE,atencion de partos en servicio,cesareas,2008-01-01,9,9
ASCENCION DE GUARAYOS,atencion de partos en servicio,cesareas,2008-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,cesareas,2008-01-01,2,2
BERMEJO,atencion de partos en servicio,cesareas,2008-01-01,17,17
BETANZOS,atencion de partos en servicio,cesareas,2008-01-01,4,4
CAMARGO,atencion de partos en servicio,cesareas,2008-01-01,10,10
CAMIRI,atencion de partos en servicio,cesareas,2008-01-01,34,34
CARANAVI,atencion de partos en servicio,cesareas,2008-01-01,16,16
CHARAGUA,atencion de partos en servicio,cesareas,2008-01-01,2,2
COBIJA,atencion de partos en servicio,cesareas,2008-01-01,35,35
COCHABAMBA,atencion de partos en servicio,cesareas,2008-01-01,578,578
COLCAPIRHUA,atencion de partos en servicio,cesareas,2008-01-01,13,13
COMARAPA,atencion de partos en servicio,cesareas,2008-01-01,6,6
CONCEPCION,atencion de partos en servicio,cesareas,2008-01-01,5,5
COPACABANA,atencion de partos en servicio,cesareas,2008-01-01,1,1
COROICO,atencion de partos en servicio,cesareas,2008-01-01,11,11
COTOCA,atencion de partos en servicio,cesareas,2008-01-01,6,6
EL ALTO,atencion de partos en servicio,cesareas,2008-01-01,254,254
EL TORNO,atencion de partos en servicio,cesareas,2008-01-01,14,14
GUAYARAMERIN,atencion de partos en servicio,cesareas,2008-01-01,17,17
HUANUNI,atencion de partos en servicio,cesareas,2008-01-01,1,1
LA PAZ,atencion de partos en servicio,cesareas,2008-01-01,530,530
LLALLAGUA,atencion de partos en servicio,cesareas,2008-01-01,13,13
MAGDALENA,atencion de partos en servicio,cesareas,2008-01-01,8,8
MAIRANA,atencion de partos en servicio,cesareas,2008-01-01,2,2
MONTEAGUDO,atencion de partos en servicio,cesareas,2008-01-01,7,7
MONTERO,atencion de partos en servicio,cesareas,2008-01-01,72,72
OCURI,atencion de partos en servicio,cesareas,2008-01-01,1,1
ORURO,atencion de partos en servicio,cesareas,2008-01-01,198,198
PADILLA,atencion de partos en servicio,cesareas,2008-01-01,1,1
PATACAMAYA,atencion de partos en servicio,cesareas,2008-01-01,3,3
PORTACHUELO,atencion de partos en servicio,cesareas,2008-01-01,12,12
POTOSI,atencion de partos en servicio,cesareas,2008-01-01,51,51
PUERTO ACOSTA,atencion de partos en servicio,cesareas,2008-01-01,2,2
PUERTO QUIJARRO,atencion de partos en servicio,cesareas,2008-01-01,3,3
PUERTO SUAREZ,atencion de partos en servicio,cesareas,2008-01-01,10,10
PUERTO VILLARROEL,atencion de partos en servicio,cesareas,2008-01-01,9,9
PUNATA,atencion de partos en servicio,cesareas,2008-01-01,16,16
QUILLACOLLO,atencion de partos en servicio,cesareas,2008-01-01,56,56
REYES,atencion de partos en servicio,cesareas,2008-01-01,4,4
RIBERALTA,atencion de partos en servicio,cesareas,2008-01-01,54,54
ROBORE,atencion de partos en servicio,cesareas,2008-01-01,12,12
RURRENABAQUE,atencion de partos en servicio,cesareas,2008-01-01,10,10
SACABA,atencion de partos en servicio,cesareas,2008-01-01,29,29
SAMAIPATA,atencion de partos en servicio,cesareas,2008-01-01,5,5
SAN BORJA,atencion de partos en servicio,cesareas,2008-01-01,11,11
SAN BUENA VENTURA,atencion de partos en servicio,cesareas,2008-01-01,2,2
SAN CARLOS,atencion de partos en servicio,cesareas,2008-01-01,13,13
SAN IGNACIO,atencion de partos en servicio,cesareas,2008-01-01,5,5
SAN IGNACIO DE VELASCO,atencion de partos en servicio,cesareas,2008-01-01,20,20
SAN JAVIER(STC),atencion de partos en servicio,cesareas,2008-01-01,6,6
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,cesareas,2008-01-01,5,5
SAN JUAN DE YAPACANI,atencion de partos en servicio,cesareas,2008-01-01,3,3
SAN JULIAN,atencion de partos en servicio,cesareas,2008-01-01,9,9
SAN LUCAS,atencion de partos en servicio,cesareas,2008-01-01,5,5
SAN MATIAS,atencion de partos en servicio,cesareas,2008-01-01,3,3
SAN RAMON,atencion de partos en servicio,cesareas,2008-01-01,8,8
SAN RAMON,atencion de partos en servicio,cesareas,2008-01-01,2,2
SANTA ANA,atencion de partos en servicio,cesareas,2008-01-01,11,11
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,cesareas,2008-01-01,1176,1176
SANTA ROSA,atencion de partos en servicio,cesareas,2008-01-01,1,1
SIPE SIPE,atencion de partos en servicio,cesareas,2008-01-01,1,1
SUCRE,atencion de partos en servicio,cesareas,2008-01-01,138,138
TARABUCO,atencion de partos en servicio,cesareas,2008-01-01,1,1
TARIJA,atencion de partos en servicio,cesareas,2008-01-01,110,110
TIRAQUE (CBBA),atencion de partos en servicio,cesareas,2008-01-01,18,18
TRINIDAD,atencion de partos en servicio,cesareas,2008-01-01,83,83
TUPIZA,atencion de partos en servicio,cesareas,2008-01-01,7,7
UYUNI,atencion de partos en servicio,cesareas,2008-01-01,6,6
VALLEGRANDE,atencion de partos en servicio,cesareas,2008-01-01,21,21
VILLA MONTES,atencion de partos en servicio,cesareas,2008-01-01,17,17
VILLA TUNARI,atencion de partos en servicio,cesareas,2008-01-01,22,22
VILLAZON,atencion de partos en servicio,cesareas,2008-01-01,6,6
VINTO,atencion de partos en servicio,cesareas,2008-01-01,3,3
WARNES,atencion de partos en servicio,cesareas,2008-01-01,18,18
YACUIBA,atencion de partos en servicio,cesareas,2008-01-01,49,49
YAPACANI,atencion de partos en servicio,cesareas,2008-01-01,3,3
AIQUILE,atencion de partos en servicio,cesareas,2008-02-01,8,8
ATOCHA,atencion de partos en servicio,cesareas,2008-02-01,3,3
AZURDUY,atencion de partos en servicio,cesareas,2008-02-01,2,2
BERMEJO,atencion de partos en servicio,cesareas,2008-02-01,15,15
BETANZOS,atencion de partos en servicio,cesareas,2008-02-01,1,1
CAMARGO,atencion de partos en servicio,cesareas,2008-02-01,7,7
CAMIRI,atencion de partos en servicio,cesareas,2008-02-01,28,28
CARANAVI,atencion de partos en servicio,cesareas,2008-02-01,18,18
CHALLAPATA,atencion de partos en servicio,cesareas,2008-02-01,1,1
CHARAGUA,atencion de partos en servicio,cesareas,2008-02-01,10,10
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,cesareas,2008-02-01,1,1
COBIJA,atencion de partos en servicio,cesareas,2008-02-01,31,31
COCHABAMBA,atencion de partos en servicio,cesareas,2008-02-01,574,574
COLCAPIRHUA,atencion de partos en servicio,cesareas,2008-02-01,13,13
COMARAPA,atencion de partos en servicio,cesareas,2008-02-01,6,6
CONCEPCION,atencion de partos en servicio,cesareas,2008-02-01,5,5
COROICO,atencion de partos en servicio,cesareas,2008-02-01,5,5
COTOCA,atencion de partos en servicio,cesareas,2008-02-01,10,10
EL ALTO,atencion de partos en servicio,cesareas,2008-02-01,207,207
EL TORNO,atencion de partos en servicio,cesareas,2008-02-01,5,5
GUAYARAMERIN,atencion de partos en servicio,cesareas,2008-02-01,32,32
HUANUNI,atencion de partos en servicio,cesareas,2008-02-01,4,4
LA PAZ,atencion de partos en servicio,cesareas,2008-02-01,453,453
LLALLAGUA,atencion de partos en servicio,cesareas,2008-02-01,11,11
MAGDALENA,atencion de partos en servicio,cesareas,2008-02-01,4,4
MAIRANA,atencion de partos en servicio,cesareas,2008-02-01,6,6
MONTEAGUDO,atencion de partos en servicio,cesareas,2008-02-01,7,7
MONTERO,atencion de partos en servicio,cesareas,2008-02-01,77,77
ORURO,atencion de partos en servicio,cesareas,2008-02-01,161,161
PADILLA,atencion de partos en servicio,cesareas,2008-02-01,4,4
PATACAMAYA,atencion de partos en servicio,cesareas,2008-02-01,1,1
PORTACHUELO,atencion de partos en servicio,cesareas,2008-02-01,15,15
POTOSI,atencion de partos en servicio,cesareas,2008-02-01,57,57
PUERTO QUIJARRO,atencion de partos en servicio,cesareas,2008-02-01,1,1
PUERTO SUAREZ,atencion de partos en servicio,cesareas,2008-02-01,13,13
PUERTO VILLARROEL,atencion de partos en servicio,cesareas,2008-02-01,11,11
PUNATA,atencion de partos en servicio,cesareas,2008-02-01,14,14
