municipality,group,variable,month,Nacidos vivos,TOTAL
ACACIO,atencion de partos en servicio,nacidos vivos,2008-01-01,2,2
ACHACACHI,atencion de partos en servicio,nacidos vivos,2008-01-01,20,20
ACHOCALLA,atencion de partos en servicio,nacidos vivos,2008-01-01,5,5
AIQUILE,atencion de partos en servicio,nacidos vivos,2008-01-01,30,30
ALALAY,atencion de partos en servicio,nacidos vivos,2008-01-01,4,4
ALCALA,atencion de partos en servicio,nacidos vivos,2008-01-01,2,2
ANCORAIMES,atencion de partos en servicio,nacidos vivos,2008-01-01,1,1
ANDAMARCA,atencion de partos en servicio,nacidos vivos,2008-01-01,2,2
ANTEQUERA,atencion de partos en servicio,nacidos vivos,2008-01-01,2,2
ANZALDO,atencion de partos en servicio,nacidos vivos,2008-01-01,3,3
APOLO,atencion de partos en servicio,nacidos vivos,2008-01-01,11,11
ARAMPAMPA,atencion de partos en servicio,nacidos vivos,2008-01-01,2,2
ARANI,atencion de partos en servicio,nacidos vivos,2008-01-01,2,2
ARBIETO,atencion de partos en servicio,nacidos vivos,2008-01-01,5,5
ARQUE,atencion de partos en servicio,nacidos vivos,2008-01-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos,2008-01-01,47,47
ATOCHA,atencion de partos en servicio,nacidos vivos,2008-01-01,11,11
AYATA,atencion de partos en servicio,nacidos vivos,2008-01-01,2,2
AYO AYO,atencion de partos en servicio,nacidos vivos,2008-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos,2008-01-01,26,26
AZURDUY,atencion de partos en servicio,nacidos vivos,2008-01-01,3,3
BATALLAS,atencion de partos en servicio,nacidos vivos,2008-01-01,5,5
BAURES,atencion de partos en servicio,nacidos vivos,2008-01-01,3,3
BERMEJO,atencion de partos en servicio,nacidos vivos,2008-01-01,48,48
BETANZOS,atencion de partos en servicio,nacidos vivos,2008-01-01,29,29
BOLIVAR,atencion de partos en servicio,nacidos vivos,2008-01-01,1,1
BOLPEBRA,atencion de partos en servicio,nacidos vivos,2008-01-01,1,1
BOYUIBE,atencion de partos en servicio,nacidos vivos,2008-01-01,5,5
BUENA VISTA,atencion de partos en servicio,nacidos vivos,2008-01-01,19,19
CABEZAS,atencion de partos en servicio,nacidos vivos,2008-01-01,12,12
CAIROMA,atencion de partos en servicio,nacidos vivos,2008-01-01,3,3
"CAIZA ""D""",atencion de partos en servicio,nacidos vivos,2008-01-01,2,2
CAJUATA,atencion de partos en servicio,nacidos vivos,2008-01-01,6,6
CALAMARCA,atencion de partos en servicio,nacidos vivos,2008-01-01,2,2
CAMARGO,atencion de partos en servicio,nacidos vivos,2008-01-01,29,29
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,nacidos vivos,2008-01-01,4,4
CAMIRI,atencion de partos en servicio,nacidos vivos,2008-01-01,85,85
CAPINOTA,atencion de partos en servicio,nacidos vivos,2008-01-01,21,21
CAQUIAVIRI,atencion de partos en servicio,nacidos vivos,2008-01-01,1,1
CARACOLLO,atencion de partos en servicio,nacidos vivos,2008-01-01,16,16
CARANAVI,atencion de partos en servicio,nacidos vivos,2008-01-01,66,66
CARAPARI,atencion de partos en servicio,nacidos vivos,2008-01-01,8,8
CARIPUYO,atencion de partos en servicio,nacidos vivos,2008-01-01,3,3
