municipality,group,variable,month,Mujeres con primer control post parto,TOTAL
ACACIO,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,5,5
ACHACACHI,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,22,22
ACHOCALLA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,9,9
AIQUILE,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,25,25
ALALAY,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,3,3
ALCALA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,3,3
ANCORAIMES,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,13,13
ANDAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,5,5
ANTEQUERA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,2,2
ANZALDO,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,6,6
APOLO,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,16,16
ARAMPAMPA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,7,7
ARANI,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,2,2
ARBIETO,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,5,5
ARQUE,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,24,24
ASCENCION DE GUARAYOS,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,58,58
ATOCHA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,7,7
AUCAPATA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,1,1
AYATA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,12,12
AYO AYO,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,8,8
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,28,28
AZURDUY,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,19,19
BATALLAS,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,8,8
BAURES,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,4,4
BELLA FLOR,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,1,1
BERMEJO,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,34,34
BETANZOS,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,32,32
BOLIVAR,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,9,9
BOLPEBRA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,3,3
BOYUIBE,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,1,1
BUENA VISTA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,20,20
CABEZAS,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,19,19
CAIROMA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,15,15
"CAIZA ""D""",atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,6,6
CAJUATA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,11,11
CALACOTO,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,4,4
CALAMARCA,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,13,13
CAMARGO,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,32,32
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,5,5
CAMIRI,atencion de partos en servicio,mujeres con primer control post parto,2008-01-01,51,51
