municipality,group,variable,month,Nacidos muertos,TOTAL
BERMEJO,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
CAMARGO,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
CAMIRI,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
CARANAVI,atencion de partos en servicio,nacidos muertos,2008-01-01,5,5
CARAPARI,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos,2008-01-01,21,21
COLCAPIRHUA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos,2008-01-01,32,32
HUARACAJE,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
INCAHUASI,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
LA ASUNTA,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
LA PAZ,atencion de partos en servicio,nacidos muertos,2008-01-01,33,33
LLALLAGUA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
MAGDALENA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
MAIRANA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
MAPIRI,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
MIZQUE,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
MOJOCOYA,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
MONTEAGUDO,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos,2008-01-01,5,5
ORURO,atencion de partos en servicio,nacidos muertos,2008-01-01,13,13
PADILLA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
PAILON,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
POJO (CBBA),atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
POROMA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos,2008-01-01,9,9
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
PUNATA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
RIBERALTA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en servicio,nacidos muertos,2008-01-01,5,5
SAN BUENA VENTURA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
SAN CARLOS,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
SAN JULIAN,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
SAN LUCAS,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
SAN PEDRO,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos,2008-01-01,24,24
SENA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
SUCRE,atencion de partos en servicio,nacidos muertos,2008-01-01,5,5
TARABUCO,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos,2008-01-01,4,4
TARVITA,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
TIPUANI,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos,2008-01-01,3,3
TUPIZA,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
VILLA TUNARI,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
VILLAZON,atencion de partos en servicio,nacidos muertos,2008-01-01,2,2
YAPACANI,atencion de partos en servicio,nacidos muertos,2008-01-01,1,1
ATOCHA,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
AZURDUY,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
BERMEJO,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
BETANZOS,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
CAPINOTA,atencion de partos en servicio,nacidos muertos,2008-02-01,3,3
CARANAVI,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos,2008-02-01,22,22
COLCAPIRHUA,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos,2008-02-01,41,41
ENTRE RIOS,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
EXALTACION,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
IXIAMAS,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
LA PAZ,atencion de partos en servicio,nacidos muertos,2008-02-01,22,22
MIZQUE,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
MOJOCOYA,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
MONTERO,atencion de partos en servicio,nacidos muertos,2008-02-01,3,3
ORURO,atencion de partos en servicio,nacidos muertos,2008-02-01,9,9
PADILLA,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
PAILON,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
PATACAMAYA,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
PORTACHUELO,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos,2008-02-01,5,5
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
PUNATA,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
QUILLACOLLO,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
RIBERALTA,atencion de partos en servicio,nacidos muertos,2008-02-01,5,5
RURRENABAQUE,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
SACABA,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
SAN CARLOS,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
SAN IGNACIO,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
SAN JULIAN,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
SAN RAMON,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
SANTA ANA,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos,2008-02-01,19,19
SUCRE,atencion de partos en servicio,nacidos muertos,2008-02-01,6,6
TACOPAYA,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
TARABUCO,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
TARIJA,atencion de partos en servicio,nacidos muertos,2008-02-01,3,3
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
TORO TORO,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
TOTORA(CBBA),atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos muertos,2008-02-01,3,3
TUPIZA,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
UYUNI,atencion de partos en servicio,nacidos muertos,2008-02-01,1,1
VILLA TUNARI,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
VILLAZON,atencion de partos en servicio,nacidos muertos,2008-02-01,5,5
YACUIBA,atencion de partos en servicio,nacidos muertos,2008-02-01,2,2
APOLO,atencion de partos en servicio,nacidos muertos,2008-03-01,2,2
BETANZOS,atencion de partos en servicio,nacidos muertos,2008-03-01,1,1
CAMARGO,atencion de partos en servicio,nacidos muertos,2008-03-01,2,2
CAMIRI,atencion de partos en servicio,nacidos muertos,2008-03-01,1,1
CARACOLLO,atencion de partos en servicio,nacidos muertos,2008-03-01,1,1
CARANAVI,atencion de partos en servicio,nacidos muertos,2008-03-01,1,1
COBIJA,atencion de partos en servicio,nacidos muertos,2008-03-01,2,2
COCHABAMBA,atencion de partos en servicio,nacidos muertos,2008-03-01,36,36
COLOMI,atencion de partos en servicio,nacidos muertos,2008-03-01,2,2
COROICO,atencion de partos en servicio,nacidos muertos,2008-03-01,1,1
COTOCA,atencion de partos en servicio,nacidos muertos,2008-03-01,1,1
EL ALTO,atencion de partos en servicio,nacidos muertos,2008-03-01,26,26
EL TORNO,atencion de partos en servicio,nacidos muertos,2008-03-01,2,2
GUAYARAMERIN,atencion de partos en servicio,nacidos muertos,2008-03-01,1,1
GUTIERREZ,atencion de partos en servicio,nacidos muertos,2008-03-01,1,1
