municipality,group,variable,month,Viviendas Roceadas,TOTAL
ARANI,chagas viviendas,viviendas roceadas,2013-01-01,1,1
ARBIETO,chagas viviendas,viviendas roceadas,2013-01-01,23,23
ARQUE,chagas viviendas,viviendas roceadas,2013-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2013-01-01,1,1
CLIZA,chagas viviendas,viviendas roceadas,2013-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas roceadas,2013-01-01,3,3
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2013-01-01,4,4
EL TORNO,chagas viviendas,viviendas roceadas,2013-01-01,15,15
ENTRE RIOS TRJ,chagas viviendas,viviendas roceadas,2013-01-01,1,1
OMEREQUE,chagas viviendas,viviendas roceadas,2013-01-01,5,5
PADCAYA,chagas viviendas,viviendas roceadas,2013-01-01,4,4
POJO (CBBA),chagas viviendas,viviendas roceadas,2013-01-01,2,2
QUILLACOLLO,chagas viviendas,viviendas roceadas,2013-01-01,5,5
SACABA,chagas viviendas,viviendas roceadas,2013-01-01,10,10
SICAYA,chagas viviendas,viviendas roceadas,2013-01-01,5,5
SIPE SIPE,chagas viviendas,viviendas roceadas,2013-01-01,19,19
SOPACHUY,chagas viviendas,viviendas roceadas,2013-01-01,4,4
TAPACARI,chagas viviendas,viviendas roceadas,2013-01-01,11,11
TARATA,chagas viviendas,viviendas roceadas,2013-01-01,10,10
TARIJA,chagas viviendas,viviendas roceadas,2013-01-01,124,124
TIQUIPAYA,chagas viviendas,viviendas roceadas,2013-01-01,5,5
TORO TORO,chagas viviendas,viviendas roceadas,2013-01-01,47,47
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2013-01-01,5,5
TUPIZA,chagas viviendas,viviendas roceadas,2013-01-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2013-01-01,33,33
YOTALA,chagas viviendas,viviendas roceadas,2013-01-01,19,19
ARBIETO,chagas viviendas,viviendas roceadas,2013-02-01,3,3
ARQUE,chagas viviendas,viviendas roceadas,2013-02-01,7,7
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2013-02-01,2,2
CAPINOTA,chagas viviendas,viviendas roceadas,2013-02-01,22,22
CLIZA,chagas viviendas,viviendas roceadas,2013-02-01,2,2
COTAGAITA,chagas viviendas,viviendas roceadas,2013-02-01,4,4
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2013-02-01,32,32
MAIRANA,chagas viviendas,viviendas roceadas,2013-02-01,51,51
PADCAYA,chagas viviendas,viviendas roceadas,2013-02-01,7,7
POCONA,chagas viviendas,viviendas roceadas,2013-02-01,6,6
POJO (CBBA),chagas viviendas,viviendas roceadas,2013-02-01,4,4
POSTRER VALLE,chagas viviendas,viviendas roceadas,2013-02-01,1,1
SACABA,chagas viviendas,viviendas roceadas,2013-02-01,5,5
SACABAMBA,chagas viviendas,viviendas roceadas,2013-02-01,1,1
SAIPINA,chagas viviendas,viviendas roceadas,2013-02-01,10,10
SAN JULIAN,chagas viviendas,viviendas roceadas,2013-02-01,145,145
SICAYA,chagas viviendas,viviendas roceadas,2013-02-01,10,10
SIPE SIPE,chagas viviendas,viviendas roceadas,2013-02-01,6,6
SOPACHUY,chagas viviendas,viviendas roceadas,2013-02-01,3,3
SUCRE,chagas viviendas,viviendas roceadas,2013-02-01,2,2
TAPACARI,chagas viviendas,viviendas roceadas,2013-02-01,1,1
TARATA,chagas viviendas,viviendas roceadas,2013-02-01,3,3
TARIJA,chagas viviendas,viviendas roceadas,2013-02-01,15,15
TORO TORO,chagas viviendas,viviendas roceadas,2013-02-01,1,1
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2013-02-01,3,3
VALLEGRANDE,chagas viviendas,viviendas roceadas,2013-02-01,7,7
VINTO,chagas viviendas,viviendas roceadas,2013-02-01,6,6
AIQUILE,chagas viviendas,viviendas roceadas,2013-03-01,15,15
ALCALA,chagas viviendas,viviendas roceadas,2013-03-01,4,4
ANZALDO,chagas viviendas,viviendas roceadas,2013-03-01,6,6
ARAMPAMPA,chagas viviendas,viviendas roceadas,2013-03-01,8,8
ARANI,chagas viviendas,viviendas roceadas,2013-03-01,27,27
ARBIETO,chagas viviendas,viviendas roceadas,2013-03-01,27,27
ARQUE,chagas viviendas,viviendas roceadas,2013-03-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2013-03-01,4,4
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2013-03-01,5,5
CAPINOTA,chagas viviendas,viviendas roceadas,2013-03-01,38,38
CKOCHAS,chagas viviendas,viviendas roceadas,2013-03-01,23,23
CLIZA,chagas viviendas,viviendas roceadas,2013-03-01,1,1
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2013-03-01,6,6
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2013-03-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2013-03-01,18,18
EL TORNO,chagas viviendas,viviendas roceadas,2013-03-01,2,2
GUTIERREZ,chagas viviendas,viviendas roceadas,2013-03-01,557,557
ICLA,chagas viviendas,viviendas roceadas,2013-03-01,15,15
MOJOCOYA,chagas viviendas,viviendas roceadas,2013-03-01,3,3
OMEREQUE,chagas viviendas,viviendas roceadas,2013-03-01,7,7
POCONA,chagas viviendas,viviendas roceadas,2013-03-01,6,6
POJO (CBBA),chagas viviendas,viviendas roceadas,2013-03-01,10,10
SACABA,chagas viviendas,viviendas roceadas,2013-03-01,28,28
SAN LORENZO(TJA),chagas viviendas,viviendas roceadas,2013-03-01,18,18
SANTIVAÑES,chagas viviendas,viviendas roceadas,2013-03-01,3,3
SICAYA,chagas viviendas,viviendas roceadas,2013-03-01,2,2
SIPE SIPE,chagas viviendas,viviendas roceadas,2013-03-01,11,11
SOPACHUY,chagas viviendas,viviendas roceadas,2013-03-01,32,32
SUCRE,chagas viviendas,viviendas roceadas,2013-03-01,2,2
TAPACARI,chagas viviendas,viviendas roceadas,2013-03-01,1,1
TARATA,chagas viviendas,viviendas roceadas,2013-03-01,1,1
TARIJA,chagas viviendas,viviendas roceadas,2013-03-01,35,35
TIQUIPAYA,chagas viviendas,viviendas roceadas,2013-03-01,8,8
TOMAVE,chagas viviendas,viviendas roceadas,2013-03-01,3,3
TORO TORO,chagas viviendas,viviendas roceadas,2013-03-01,1,1
TUPIZA,chagas viviendas,viviendas roceadas,2013-03-01,4,4
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2013-03-01,1,1
VALLEGRANDE,chagas viviendas,viviendas roceadas,2013-03-01,4,4
VILLA RIVERO,chagas viviendas,viviendas roceadas,2013-03-01,2,2
VINTO,chagas viviendas,viviendas roceadas,2013-03-01,6,6
YUNCHARA,chagas viviendas,viviendas roceadas,2013-03-01,5,5
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2013-03-01,1,1
AIQUILE,chagas viviendas,viviendas roceadas,2013-04-01,37,37
ALCALA,chagas viviendas,viviendas roceadas,2013-04-01,13,13
ANZALDO,chagas viviendas,viviendas roceadas,2013-04-01,20,20
ARANI,chagas viviendas,viviendas roceadas,2013-04-01,12,12
ARBIETO,chagas viviendas,viviendas roceadas,2013-04-01,37,37
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2013-04-01,5,5
CAMARGO,chagas viviendas,viviendas roceadas,2013-04-01,54,54
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2013-04-01,2,2
CAPINOTA,chagas viviendas,viviendas roceadas,2013-04-01,49,49
CARAPARI,chagas viviendas,viviendas roceadas,2013-04-01,37,37
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas roceadas,2013-04-01,16,16
CKOCHAS,chagas viviendas,viviendas roceadas,2013-04-01,60,60
CLIZA,chagas viviendas,viviendas roceadas,2013-04-01,3,3
COCHABAMBA,chagas viviendas,viviendas roceadas,2013-04-01,16,16
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2013-04-01,4,4
COTAGAITA,chagas viviendas,viviendas roceadas,2013-04-01,11,11
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2013-04-01,3,3
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2013-04-01,23,23
EL TORNO,chagas viviendas,viviendas roceadas,2013-04-01,58,58
ENTRE RIOS TRJ,chagas viviendas,viviendas roceadas,2013-04-01,11,11
GUTIERREZ,chagas viviendas,viviendas roceadas,2013-04-01,52,52
ICLA,chagas viviendas,viviendas roceadas,2013-04-01,13,13
IRUPANA (VILLA DE LANZA),chagas viviendas,viviendas roceadas,2013-04-01,1,1
LA GUARDIA,chagas viviendas,viviendas roceadas,2013-04-01,15,15
LAS CARRERAS,chagas viviendas,viviendas roceadas,2013-04-01,5,5
MAIRANA,chagas viviendas,viviendas roceadas,2013-04-01,41,41
MECAPACA,chagas viviendas,viviendas roceadas,2013-04-01,12,12
MOJOCOYA,chagas viviendas,viviendas roceadas,2013-04-01,7,7
PADCAYA,chagas viviendas,viviendas roceadas,2013-04-01,5,5
PADILLA,chagas viviendas,viviendas roceadas,2013-04-01,126,126
PAILON,chagas viviendas,viviendas roceadas,2013-04-01,17,17
POCONA,chagas viviendas,viviendas roceadas,2013-04-01,5,5
