municipality,group,variable,month,Viviendas Positivas,TOTAL
ARANI,chagas viviendas,viviendas positivas,2013-01-01,1,1
ARBIETO,chagas viviendas,viviendas positivas,2013-01-01,23,23
ARQUE,chagas viviendas,viviendas positivas,2013-01-01,2,2
CAMARGO,chagas viviendas,viviendas positivas,2013-01-01,1,1
CLIZA,chagas viviendas,viviendas positivas,2013-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2013-01-01,3,3
COLCAPIRHUA,chagas viviendas,viviendas positivas,2013-01-01,1,1
EL TORNO,chagas viviendas,viviendas positivas,2013-01-01,5,5
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2013-01-01,1,1
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2013-01-01,8,8
LAS CARRERAS,chagas viviendas,viviendas positivas,2013-01-01,2,2
OMEREQUE,chagas viviendas,viviendas positivas,2013-01-01,3,3
POJO (CBBA),chagas viviendas,viviendas positivas,2013-01-01,2,2
SACABA,chagas viviendas,viviendas positivas,2013-01-01,3,3
SAIPINA,chagas viviendas,viviendas positivas,2013-01-01,4,4
SAN BENITO,chagas viviendas,viviendas positivas,2013-01-01,1,1
SIPE SIPE,chagas viviendas,viviendas positivas,2013-01-01,17,17
TARATA,chagas viviendas,viviendas positivas,2013-01-01,10,10
TARIJA,chagas viviendas,viviendas positivas,2013-01-01,8,8
TIQUIPAYA,chagas viviendas,viviendas positivas,2013-01-01,1,1
TOMAVE,chagas viviendas,viviendas positivas,2013-01-01,4,4
TORO TORO,chagas viviendas,viviendas positivas,2013-01-01,6,6
TOTORA(CBBA),chagas viviendas,viviendas positivas,2013-01-01,4,4
TUPIZA,chagas viviendas,viviendas positivas,2013-01-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2013-01-01,1,1
YOTALA,chagas viviendas,viviendas positivas,2013-01-01,10,10
ARANI,chagas viviendas,viviendas positivas,2013-02-01,2,2
ARBIETO,chagas viviendas,viviendas positivas,2013-02-01,8,8
CAMARGO,chagas viviendas,viviendas positivas,2013-02-01,5,5
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2013-02-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2013-02-01,11,11
CARAPARI,chagas viviendas,viviendas positivas,2013-02-01,28,28
CLIZA,chagas viviendas,viviendas positivas,2013-02-01,2,2
COTAGAITA,chagas viviendas,viviendas positivas,2013-02-01,3,3
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2013-02-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2013-02-01,2,2
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2013-02-01,10,10
ICLA,chagas viviendas,viviendas positivas,2013-02-01,4,4
OMEREQUE,chagas viviendas,viviendas positivas,2013-02-01,1,1
