municipality,group,variable,month,Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,viviendas evaluadas,2013-01-01,156,156
ARANI,chagas viviendas,viviendas evaluadas,2013-01-01,207,207
ARBIETO,chagas viviendas,viviendas evaluadas,2013-01-01,108,108
ARQUE,chagas viviendas,viviendas evaluadas,2013-01-01,40,40
CLIZA,chagas viviendas,viviendas evaluadas,2013-01-01,420,420
COCHABAMBA,chagas viviendas,viviendas evaluadas,2013-01-01,6,6
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2013-01-01,195,195
COTAGAITA,chagas viviendas,viviendas evaluadas,2013-01-01,928,928
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2013-01-01,42,42
EL TORNO,chagas viviendas,viviendas evaluadas,2013-01-01,17,17
ENTRE RIOS TRJ,chagas viviendas,viviendas evaluadas,2013-01-01,32,32
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2013-01-01,30,30
ICLA,chagas viviendas,viviendas evaluadas,2013-01-01,42,42
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2013-01-01,2,2
MONTEAGUDO,chagas viviendas,viviendas evaluadas,2013-01-01,1,1
MONTERO,chagas viviendas,viviendas evaluadas,2013-01-01,6,6
OMEREQUE,chagas viviendas,viviendas evaluadas,2013-01-01,109,109
POJO (CBBA),chagas viviendas,viviendas evaluadas,2013-01-01,192,192
SACABA,chagas viviendas,viviendas evaluadas,2013-01-01,153,153
SACABAMBA,chagas viviendas,viviendas evaluadas,2013-01-01,120,120
SAIPINA,chagas viviendas,viviendas evaluadas,2013-01-01,50,50
SAN BENITO,chagas viviendas,viviendas evaluadas,2013-01-01,168,168
SICAYA,chagas viviendas,viviendas evaluadas,2013-01-01,115,115
SIPE SIPE,chagas viviendas,viviendas evaluadas,2013-01-01,209,209
SUCRE,chagas viviendas,viviendas evaluadas,2013-01-01,156,156
TAPACARI,chagas viviendas,viviendas evaluadas,2013-01-01,20,20
TARATA,chagas viviendas,viviendas evaluadas,2013-01-01,270,270
TARIJA,chagas viviendas,viviendas evaluadas,2013-01-01,98,98
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2013-01-01,315,315
TOMAVE,chagas viviendas,viviendas evaluadas,2013-01-01,235,235
TORO TORO,chagas viviendas,viviendas evaluadas,2013-01-01,155,155
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2013-01-01,283,283
TUPIZA,chagas viviendas,viviendas evaluadas,2013-01-01,1,1
VINTO,chagas viviendas,viviendas evaluadas,2013-01-01,262,262
VITICHI,chagas viviendas,viviendas evaluadas,2013-01-01,15,15
YOTALA,chagas viviendas,viviendas evaluadas,2013-01-01,335,335
YUNCHARA,chagas viviendas,viviendas evaluadas,2013-01-01,48,48
ACACIO,chagas viviendas,viviendas evaluadas,2013-02-01,189,189
ANZALDO,chagas viviendas,viviendas evaluadas,2013-02-01,218,218
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2013-02-01,195,195
ARANI,chagas viviendas,viviendas evaluadas,2013-02-01,30,30
ARBIETO,chagas viviendas,viviendas evaluadas,2013-02-01,148,148
ARQUE,chagas viviendas,viviendas evaluadas,2013-02-01,41,41
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2013-02-01,289,289
CAMARGO,chagas viviendas,viviendas evaluadas,2013-02-01,145,145
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2013-02-01,367,367
CAPINOTA,chagas viviendas,viviendas evaluadas,2013-02-01,60,60
CARAPARI,chagas viviendas,viviendas evaluadas,2013-02-01,72,72
CLIZA,chagas viviendas,viviendas evaluadas,2013-02-01,360,360
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2013-02-01,119,119
COTAGAITA,chagas viviendas,viviendas evaluadas,2013-02-01,565,565
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2013-02-01,52,52
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2013-02-01,197,197
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2013-02-01,50,50
ICLA,chagas viviendas,viviendas evaluadas,2013-02-01,32,32
MAIRANA,chagas viviendas,viviendas evaluadas,2013-02-01,51,51
MECAPACA,chagas viviendas,viviendas evaluadas,2013-02-01,475,475
MONTERO,chagas viviendas,viviendas evaluadas,2013-02-01,5,5
OCURI,chagas viviendas,viviendas evaluadas,2013-02-01,239,239
OMEREQUE,chagas viviendas,viviendas evaluadas,2013-02-01,120,120
PADILLA,chagas viviendas,viviendas evaluadas,2013-02-01,966,966
POCONA,chagas viviendas,viviendas evaluadas,2013-02-01,74,74
POJO (CBBA),chagas viviendas,viviendas evaluadas,2013-02-01,135,135
POSTRER VALLE,chagas viviendas,viviendas evaluadas,2013-02-01,28,28
PUCARA,chagas viviendas,viviendas evaluadas,2013-02-01,16,16
SACABA,chagas viviendas,viviendas evaluadas,2013-02-01,439,439
SACABAMBA,chagas viviendas,viviendas evaluadas,2013-02-01,165,165
SAIPINA,chagas viviendas,viviendas evaluadas,2013-02-01,105,105
SAN ANTONIO DE LOMERIO,chagas viviendas,viviendas evaluadas,2013-02-01,25,25
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2013-02-01,235,235
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas evaluadas,2013-02-01,29,29
SICAYA,chagas viviendas,viviendas evaluadas,2013-02-01,85,85
SIPE SIPE,chagas viviendas,viviendas evaluadas,2013-02-01,203,203
SOPACHUY,chagas viviendas,viviendas evaluadas,2013-02-01,354,354
SUCRE,chagas viviendas,viviendas evaluadas,2013-02-01,2,2
TAPACARI,chagas viviendas,viviendas evaluadas,2013-02-01,154,154
TARATA,chagas viviendas,viviendas evaluadas,2013-02-01,165,165
TARIJA,chagas viviendas,viviendas evaluadas,2013-02-01,123,123
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2013-02-01,233,233
TOLATA,chagas viviendas,viviendas evaluadas,2013-02-01,184,184
TOMAVE,chagas viviendas,viviendas evaluadas,2013-02-01,180,180
TORO TORO,chagas viviendas,viviendas evaluadas,2013-02-01,254,254
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2013-02-01,305,305
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2013-02-01,162,162
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2013-02-01,40,40
VILLA MONTES,chagas viviendas,viviendas evaluadas,2013-02-01,157,157
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2013-02-01,193,193
VINTO,chagas viviendas,viviendas evaluadas,2013-02-01,216,216
VITICHI,chagas viviendas,viviendas evaluadas,2013-02-01,205,205
YUNCHARA,chagas viviendas,viviendas evaluadas,2013-02-01,61,61
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2013-02-01,67,67
ACACIO,chagas viviendas,viviendas evaluadas,2013-03-01,293,293
AIQUILE,chagas viviendas,viviendas evaluadas,2013-03-01,391,391
ALCALA,chagas viviendas,viviendas evaluadas,2013-03-01,80,80
ANZALDO,chagas viviendas,viviendas evaluadas,2013-03-01,336,336
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2013-03-01,218,218
ARANI,chagas viviendas,viviendas evaluadas,2013-03-01,153,153
ARBIETO,chagas viviendas,viviendas evaluadas,2013-03-01,223,223
ARQUE,chagas viviendas,viviendas evaluadas,2013-03-01,106,106
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2013-03-01,209,209
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2013-03-01,22,22
CAMARGO,chagas viviendas,viviendas evaluadas,2013-03-01,1417,1417
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2013-03-01,214,214
CAPINOTA,chagas viviendas,viviendas evaluadas,2013-03-01,55,55
CKOCHAS,chagas viviendas,viviendas evaluadas,2013-03-01,251,251
CLIZA,chagas viviendas,viviendas evaluadas,2013-03-01,365,365
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2013-03-01,196,196
COTAGAITA,chagas viviendas,viviendas evaluadas,2013-03-01,274,274
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2013-03-01,80,80
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2013-03-01,565,565
EL TORNO,chagas viviendas,viviendas evaluadas,2013-03-01,258,258
GUTIERREZ,chagas viviendas,viviendas evaluadas,2013-03-01,136,136
HUACARETA,chagas viviendas,viviendas evaluadas,2013-03-01,66,66
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2013-03-01,108,108
ICLA,chagas viviendas,viviendas evaluadas,2013-03-01,136,136
MECAPACA,chagas viviendas,viviendas evaluadas,2013-03-01,647,647
MOJOCOYA,chagas viviendas,viviendas evaluadas,2013-03-01,88,88
MONTERO,chagas viviendas,viviendas evaluadas,2013-03-01,2,2
OCURI,chagas viviendas,viviendas evaluadas,2013-03-01,424,424
OMEREQUE,chagas viviendas,viviendas evaluadas,2013-03-01,117,117
PADCAYA,chagas viviendas,viviendas evaluadas,2013-03-01,173,173
PADILLA,chagas viviendas,viviendas evaluadas,2013-03-01,87,87
POCONA,chagas viviendas,viviendas evaluadas,2013-03-01,133,133
POJO (CBBA),chagas viviendas,viviendas evaluadas,2013-03-01,168,168
POSTRER VALLE,chagas viviendas,viviendas evaluadas,2013-03-01,19,19
PUCARA,chagas viviendas,viviendas evaluadas,2013-03-01,40,40
SACABA,chagas viviendas,viviendas evaluadas,2013-03-01,374,374
SACABAMBA,chagas viviendas,viviendas evaluadas,2013-03-01,190,190
SAIPINA,chagas viviendas,viviendas evaluadas,2013-03-01,127,127
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2013-03-01,136,136
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2013-03-01,1235,1235
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas evaluadas,2013-03-01,15,15
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2013-03-01,212,212
SICAYA,chagas viviendas,viviendas evaluadas,2013-03-01,2,2
SIPE SIPE,chagas viviendas,viviendas evaluadas,2013-03-01,236,236
SOPACHUY,chagas viviendas,viviendas evaluadas,2013-03-01,284,284
SUCRE,chagas viviendas,viviendas evaluadas,2013-03-01,2,2
TAPACARI,chagas viviendas,viviendas evaluadas,2013-03-01,225,225
TARATA,chagas viviendas,viviendas evaluadas,2013-03-01,225,225
TARIJA,chagas viviendas,viviendas evaluadas,2013-03-01,92,92
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2013-03-01,334,334
TOCO,chagas viviendas,viviendas evaluadas,2013-03-01,39,39
TOLATA,chagas viviendas,viviendas evaluadas,2013-03-01,251,251
TOMAVE,chagas viviendas,viviendas evaluadas,2013-03-01,161,161
TORO TORO,chagas viviendas,viviendas evaluadas,2013-03-01,33,33
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2013-03-01,236,236
TUPIZA,chagas viviendas,viviendas evaluadas,2013-03-01,799,799
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2013-03-01,277,277
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2013-03-01,12,12
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2013-03-01,198,198
VILLAZON,chagas viviendas,viviendas evaluadas,2013-03-01,101,101
VINTO,chagas viviendas,viviendas evaluadas,2013-03-01,206,206
VITICHI,chagas viviendas,viviendas evaluadas,2013-03-01,580,580
YUNCHARA,chagas viviendas,viviendas evaluadas,2013-03-01,100,100
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2013-03-01,84,84
ACACIO,chagas viviendas,viviendas evaluadas,2013-04-01,387,387
AIQUILE,chagas viviendas,viviendas evaluadas,2013-04-01,793,793
ALCALA,chagas viviendas,viviendas evaluadas,2013-04-01,262,262
ANZALDO,chagas viviendas,viviendas evaluadas,2013-04-01,343,343
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2013-04-01,189,189
ARANI,chagas viviendas,viviendas evaluadas,2013-04-01,231,231
ARBIETO,chagas viviendas,viviendas evaluadas,2013-04-01,221,221
ARQUE,chagas viviendas,viviendas evaluadas,2013-04-01,105,105
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2013-04-01,262,262
BETANZOS,chagas viviendas,viviendas evaluadas,2013-04-01,207,207
CAMARGO,chagas viviendas,viviendas evaluadas,2013-04-01,547,547
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2013-04-01,331,331
CAPINOTA,chagas viviendas,viviendas evaluadas,2013-04-01,118,118
