municipality,group,variable,month,Días camas ocupadas otros servicios,TOTAL
ACHACACHI,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,105,105
AIQUILE,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,75,75
ALTO BENI,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,2,2
ANCORAIMES,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,1,1
ANTEQUERA,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,2,2
ANZALDO,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,96,96
APOLO,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,20,20
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,334,334
ATOCHA,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,85,85
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,67,67
AZURDUY,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,52,52
BATALLAS,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,3,3
BAURES,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,32,32
BERMEJO,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,1009,1009
BETANZOS,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,6,6
BOYUIBE,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,57,57
BUENA VISTA,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,339,339
CABEZAS,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,60,60
CAMARGO,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,398,398
CAMIRI,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,1016,1016
CAPINOTA,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,53,53
CARACOLLO,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,40,40
CARANAVI,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,446,446
CARAPARI,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,10,10
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,34,34
CHALLAPATA,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,215,215
CHARAGUA,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,204,204
CHAYANTA,internaciones dias camas,dias camas ocupadas otros servicios,2017-01-01,3,3
