municipality,group,variable,month,Días camas disponibles otros servicios,TOTAL
ACACIO,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,62,62
ACHACACHI,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,465,465
AIQUILE,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,899,899
ALALAY,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,31,31
ALCALA,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,93,93
ALTO BENI,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,31,31
ANCORAIMES,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,31,31
ANDAMARCA,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,93,93
ANTEQUERA,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,31,31
ANZALDO,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,496,496
APOLO,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,279,279
ARAMPAMPA,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,155,155
ARANI,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,89,89
ARBIETO,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,90,90
ARQUE,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,31,31
ASCENCION DE GUARAYOS,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,1581,1581
ATOCHA,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,738,738
AYOPAYA (V. DE INDEPENDENCIA),internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,728,728
AZURDUY,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,407,407
BATALLAS,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,62,62
BAURES,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,62,62
BERMEJO,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,2554,2554
BOLIVAR,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,217,217
BOYUIBE,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,341,341
BUENA VISTA,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,279,279
CABEZAS,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,310,310
"CAIZA ""D""",internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,90,90
CALACOTO,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,2,2
CAMARGO,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,1085,1085
CAMATAQUI (C. VILLA ABECIA),internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,93,93
CAMIRI,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,3431,3431
CAPINOTA,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,372,372
CARANAVI,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,930,930
CARAPARI,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,72,72
CARIPUYO,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,31,31
CARMEN RIVERO TORREZ,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,368,368
CHALLAPATA,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,713,713
CHAQUI,internaciones dias camas,dias camas disponibles otros servicios,2017-01-01,123,123
