municipality,group,variable,month,Nº de actividades realizadas con participación,TOTAL
ACACIO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
ACHACACHI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,74,74
ACHOCALLA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,27,27
AIQUILE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
ALALAY,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
ALCALA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
ANCORAIMES,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
ANDAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,18,18
ANTEQUERA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
ANZALDO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
APOLO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,12,12
ARAMPAMPA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,28,28
ARBIETO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
ARQUE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
ASCENCION DE GUARAYOS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
ATOCHA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,32,32
AUCAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
AYATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
AYO AYO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,38,38
AZURDUY,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,38,38
BATALLAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
BAURES,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
BERMEJO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,21,21
BETANZOS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,53,53
BOLIVAR,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,15,15
BOLPEBRA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
BUENA VISTA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,9,9
CABEZAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
CAIROMA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,14,14
"CAIZA ""D""",actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,21,21
CAJUATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,14,14
CALACOTO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
CALAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,14,14
CAMARGO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,30,30
CAMATAQUI (C. VILLA ABECIA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,16,16
CAMIRI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
CAPINOTA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
CARACOLLO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,18,18
CARANAVI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,12,12
CARAPARI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,28,28
CARIPUYO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,16,16
CARMEN RIVERO TORREZ,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
CATACORA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
CHACARILLA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
CHALLAPATA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,27,27
CHAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,8,8
CHARAGUA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,26,26
CHAYANTA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
CHIMORE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,7,7
CHUMA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,20,20
CLIZA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
COBIJA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
COCHABAMBA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,89,89
"COLCHA ""K""",actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
COLOMI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
COLPA BELGICA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
COLQUECHACA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
COLQUIRI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,33,33
COPACABANA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,33,33
COROICO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,6,6
CORQUE,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,3,3
COTAGAITA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,89,89
COTOCA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
CUATRO CAÑADAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
CUEVO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,14,14
CULPINA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,62,62
CURAHUARA DE CARANGAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
CURVA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
DESAGUADERO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,15,15
EL ALTO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,634,634
EL CHORO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
EL PUENTE(STC),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
EL PUENTE(TJA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,25,25
EL TORNO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
EL VILLAR,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,16,16
ENTRE RIOS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,54,54
ENTRE RIOS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,15,15
EXALTACION,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
FERNANDEZ ALONSO,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,1,1
GENERAL SAAVEDRA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,16,16
GRAL. J.J. PEREZ (CHARAZANI),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,11,11
GUANAY,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,22,22
GUAQUI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
GUAYARAMERIN,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,4,4
GUTIERREZ,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,9,9
HUACARETA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,56,56
HUACAYA (VILLA DE HUACAYA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,23,23
HUACHACALLA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,5,5
HUANUNI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,23,23
HUAYLLAMARCA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,11,11
ICHOCA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,73,73
ICLA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,33,33
INCAHUASI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,53,53
INQUISIVI,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,47,47
IRUPANA (VILLA DE LANZA),actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,11,11
IXIAMAS,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,2,2
JESUS DE MACHACA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
LA ASUNTA,actividades con la comunidad,no de actividades realizadas con participacion,2007-01-01,10,10
