municipality,group,variable,month,Nº de comunidades que participaron en el CAI d,TOTAL
ACHACACHI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,34,34
ACHOCALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,1,1
AIQUILE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,3,3
ANCORAIMES,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,23,23
ANTEQUERA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,3,3
ASCENCION DE GUARAYOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,66,66
AYO AYO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,11,11
BATALLAS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,14,14
BETANZOS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,75,75
CAIROMA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,1,1
"CAIZA ""D""",actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,20,20
CALACOTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,6,6
CALAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,9,9
CAMIRI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
CARANAVI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,6,6
CHALLAPATA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,25,25
CHARAGUA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,12,12
COCHABAMBA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,6,6
COLLANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,4,4
COLOMI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,1,1
COLPA BELGICA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,1,1
COLQUENCHA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,21,21
COMARAPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,7,7
COMBAYA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
CORO CORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,12,12
CORQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,1,1
COTAGAITA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
COTOCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,8,8
CUCHUMUELA (V. G. VILLARROEL),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
CURVA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
DESAGUADERO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,6,6
EL ALTO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,49,49
EL CHORO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
EL PUENTE(STC),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
EL PUENTE(TJA),actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,16,16
FERNANDEZ ALONSO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
GENERAL SAAVEDRA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,3,3
GUANAY,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,3,3
GUAQUI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
GUAYARAMERIN,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,3,3
GUTIERREZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,48,48
HUACARETA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,13,13
HUACHACALLA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,1,1
HUANUNI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
JESUS DE MACHACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,31,31
LA PAZ,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,26,26
LAJA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,15,15
LICOMA PAMPA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
MACHACAMARCA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
MACHARETI,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,5,5
MAIRANA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
MECAPACA,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,2,2
MINEROS,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,4,4
MIZQUE,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,10,10
MOCOMOCO,actividades con la comunidad,no de comunidades que participaron en el cai d,2007-01-01,1,1
