municipality,group,variable,month,Niños de 2 años a menores de 5 años con dosis comp,TOTAL
ACHOCALLA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
AIQUILE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,33,33
ALCALA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,98,98
ANDAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
ANZALDO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,4,4
APOLO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,5,5
ARBIETO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
ARQUE,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,16,16
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,1,1
AUCAPATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
AYATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,30,30
AYO AYO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,47,47
BATALLAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,108,108
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,2,2
BELLA FLOR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,7,7
BERMEJO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,15,15
BETANZOS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,70,70
BOLIVAR,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,13,13
BOLPEBRA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,8,8
BUENA VISTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,255,255
CABEZAS,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,5,5
CAIROMA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,59,59
CAJUATA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,76,76
CALACOTO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,14,14
CALAMARCA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,15,15
CAMIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,32,32
CAPINOTA,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,56,56
CAQUIAVIRI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,39,39
CARACOLLO,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,5,5
CARANAVI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,31,31
CARAPARI,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,38,38
CARMEN RIVERO TORREZ,nutricion y micronutrientes,ninos de 2 anos a menores de 5 anos con dosis comp,2007-01-01,21,21
