municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas de hi,TOTAL
TORO TORO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,18,18
TOTORA(CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,26,26
TOTORA(ORR),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,8,8
TRIGAL,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,2,2
TRINIDAD,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,199,199
TUPIZA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,16,16
TURCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,3,3
UMALA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,6,6
UNCIA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,33,33
URIONDO (A. CONCEPCION),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,8,8
URUBICHA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,7,7
UYUNI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,10,10
VACAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,26,26
VALLEGRANDE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,17,17
VIACHA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,36,36
VILA VILA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,1,1
VILLA MONTES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,71,71
VILLA NUEVA (LOMA ALTA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,3,3
VILLA RIVERO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,8,8
VILLA SERRANO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,8,8
VILLA TUNARI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,24,24
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,10,10
VILLAZON,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,14,14
VINTO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,10,10
VITICHI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,15,15
WALDO BALLIVIAN,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,2,2
WARNES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,18,18
YACO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,7,7
YACUIBA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,112,112
YAMPARAEZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,16,16
YANACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,2,2
YAPACANI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,50,50
YOCALLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,5,5
YOTALA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,10,10
YUNCHARA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,9,9
ZUDAÑEZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-02-01,9,9
ACACIO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,15,15
ACHACACHI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,59,59
ACHOCALLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,5,5
AIQUILE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,60,60
ALALAY,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
ALCALA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
ANCORAIMES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,22,22
ANDAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
ANTEQUERA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,1,1
ANZALDO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,15,15
APOLO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,34,34
ARAMPAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,11,11
ARANI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,6,6
ARBIETO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
ARQUE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,15,15
ASCENCION DE GUARAYOS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
ATOCHA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
AUCAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
AYATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,16,16
AYO AYO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,44,44
AZURDUY,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,20,20
BATALLAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,15,15
BAURES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,5,5
BELLA FLOR,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
BERMEJO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,42,42
BETANZOS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,37,37
BOLIVAR,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,19,19
BOLPEBRA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
BOYUIBE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
BUENA VISTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,26,26
CABEZAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,12,12
CAIROMA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,22,22
"CAIZA ""D""",nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
CAJUATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,5,5
CALACOTO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
CALAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,10,10
CAMARGO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,27,27
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,90,90
CAMIRI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,27,27
CAPINOTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,26,26
CAQUIAVIRI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
CARACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,34,34
CARANAVI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,48,48
CARAPARI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,17,17
CARIPUYO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
CARMEN RIVERO TORREZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,5,5
CATACORA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,1,1
CHACARILLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
CHALLAPATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,42,42
CHAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
CHARAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,51,51
CHARAÑA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,5,5
CHAYANTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,27,27
CHIMORE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,36,36
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,30,30
CHUMA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,13,13
CLIZA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,26,26
COBIJA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,102,102
COCHABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,207,207
COLCAPIRHUA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,43,43
"COLCHA ""K""",nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
COLLANA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
COLOMI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,32,32
COLPA BELGICA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
COLQUECHACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,66,66
COLQUENCHA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
COLQUIRI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,28,28
COMANCHE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
COMARAPA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,37,37
COMBAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
CONCEPCION,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
COPACABANA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,16,16
CORIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,24,24
CORO CORO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
COROICO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,10,10
CORQUE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,6,6
COTAGAITA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,42,42
COTOCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
CUATRO CAÑADAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,21,21
CUCHUMUELA (V. G. VILLARROEL),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
CUEVO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
CULPINA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,39,39
CURAHUARA DE CARANGAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
CURVA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,5,5
DESAGUADERO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,6,6
EL ALTO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,955,955
EL CHORO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
EL PUENTE(STC),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
EL PUENTE(TJA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
EL TORNO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,29,29
EL VILLAR,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,28,28
ENTRE RIOS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,34,34
EUCALIPTUS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
EUREKA (SANTOS MERCADO),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
EXALTACION,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
FERNANDEZ ALONSO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,20,20
FILADELFIA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
GENERAL SAAVEDRA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,14,14
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,13,13
GUANAY,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,27,27
GUAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
GUAYARAMERIN,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,74,74
GUTIERREZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,6,6
HUACARETA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,21,21
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
HUACHACALLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,1,1
HUANUNI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,25,25
HUARACAJE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,6,6
HUAYLLAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
ICHOCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
ICLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,19,19
INCAHUASI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,37,37
INGAVI (HUMAITA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
INQUISIVI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,16,16
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,17,17
IXIAMAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,10,10
JESUS DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,17,17
LA ASUNTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,68,68
LA GUARDIA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,20,20
LA PAZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,740,740
LAGUNILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,12,12
LAJA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,16,16
LAS CARRERAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,5,5
LICOMA PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
LLALLAGUA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,30,30
LLICA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,6,6
LORETO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
LURIBAY,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,16,16
MACHACAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
MACHARETI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
MAGDALENA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,10,10
MAIRANA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,11,11
MALLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
MAPIRI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,25,25
MECAPACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
MINEROS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,16,16
MIZQUE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,40,40
MOCOMOCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,12,12
MOJINETE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,1,1
MOJOCOYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,18,18
MONTEAGUDO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,27,27
MONTERO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,63,63
MORO MORO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,1,1
MOROCHATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,13,13
NACEBE (SANTA ROSA DEL ABUNA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
OCURI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,24,24
OKINAWA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,18,18
OMEREQUE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,6,6
ORURO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,151,151
PADCAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,18,18
PADILLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,24,24
PAILON,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
PALCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,18,18
PALOS BLANCOS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,46,46
PAMPA AULLAGAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,1,1
PAMPA GRANDE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
PAPEL PAMPA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
PASORAPA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
PATACAMAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,13,13
PAZÑA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,1,1
PELECHUCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,6,6
POCOATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,32,32
POCONA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
POJO (CBBA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,33,33
POOPO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
PORCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
POROMA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,28,28
PORONGO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
PORVENIR,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
POTOSI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,306,306
PRESTO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,18,18
PUCARA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
PUCARANI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,28,28
PUERTO ACOSTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,21,21
PUERTO CARABUCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,18,18
PUERTO GONZALO MORENO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,16,16
PUERTO PEREZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
PUERTO QUIJARRO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,8,8
PUERTO RICO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,14,14
PUERTO SILES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,1,1
PUERTO VILLARROEL,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,33,33
PUNA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,55,55
PUNATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,21,21
QUIABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
QUILLACOLLO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,146,146
QUIME,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,6,6
QUIRUSILLAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,1,1
RAVELO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,33,33
REYES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,31,31
RIBERALTA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,175,175
ROBORE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,33,33
RURRENABAQUE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
SABAYA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
SACABA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,131,131
SACABAMBA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
SACACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,46,46
SAIPINA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,9,9
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,13,13
SAMAIPATA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,15,15
SAN AGUSTIN,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,2,2
SAN ANDRES,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,25,25
SAN ANDRES DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
SAN ANTONIO DE ESMORUCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
SAN ANTONIO DE LOMERIO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
SAN BENITO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,7,7
SAN BORJA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,34,34
SAN BUENA VENTURA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,25,25
SAN CARLOS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,67,67
SAN IGNACIO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,35,35
SAN IGNACIO DE VELASCO,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,133,133
SAN JAVIER(BNI),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,3,3
SAN JAVIER(STC),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-03-01,4,4
