municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas de hi,TOTAL
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,9,9
GUANAY,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,14,14
GUAQUI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,10,10
GUAYARAMERIN,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,68,68
GUTIERREZ,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,10,10
HUACARETA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,15,15
HUACAYA (VILLA DE HUACAYA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,4,4
HUACHACALLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,2,2
HUANUNI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,31,31
HUARACAJE,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,1,1
HUAYLLAMARCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,8,8
ICHOCA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,12,12
ICLA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,26,26
INCAHUASI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,37,37
INQUISIVI,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,20,20
IRUPANA (VILLA DE LANZA),nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,16,16
IXIAMAS,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,12,12
JESUS DE MACHACA,nutricion y micronutrientes,mujeres puerperas que recibieron 90 tabletas de hi,2007-01-01,11,11
