municipality,group,variable,month,Nacidos muertos atendidos por partera capacit,TOTAL
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
ARQUE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,2,2
EL PUENTE(TJA),atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
HUACHACALLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
ICHOCA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
IXIAMAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
PADILLA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
PUERTO SUAREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
ROBORE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,2,2
TUPIZA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,1,1
UNCIA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-01-01,2,2
CAMIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
CARANAVI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
PRESTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
ROBORE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
YACUIBA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-02-01,1,1
ACHACACHI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
APOLO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
CALACOTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
TOLEDO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
TRINIDAD,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
YAPACANI,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
YUNCHARA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
EL VILLAR,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,2,2
LLALLAGUA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
POSTRER VALLE,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera capacit,2007-04-01,1,1
