municipality,group,variable,month,Niños 1 a 4 años con 2da dosis de vitamina A,TOTAL
ACHACACHI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,27,27
ACHOCALLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,5,5
APOLO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,15,15
ASCENCION DE GUARAYOS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,1,1
AUCAPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,2,2
AYATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,10,10
AYO AYO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,13,13
BATALLAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,9,9
BAURES,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,17,17
BERMEJO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,23,23
BOYUIBE,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,1,1
CABEZAS,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,43,43
"CAIZA ""D""",micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,1,1
CAJUATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,21,21
CALAMARCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,6,6
CAMIRI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,157,157
CARANAVI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,197,197
CARAPARI,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,12,12
CARMEN RIVERO TORREZ,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,80,80
CHACARILLA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,3,3
CHARAGUA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,37,37
CHAYANTA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,10,10
CHUMA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,4,4
COCHABAMBA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,395,395
COLLANA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,5,5
COLQUECHACA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,6,6
CORIPATA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,32,32
CORO CORO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,13,13
COROICO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,19,19
COTOCA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,5,5
CUEVO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,7,7
CURVA,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,5,5
DESAGUADERO,micronutrientes,ninos 1 a 4 anos con 2da dosis de vitamina a,2005-01-01,10,10
