municipality,group,variable,month,Mujeres puérperas que recibieron dosis única d,TOTAL
ACACIO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,13,13
ACHACACHI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,63,63
ACHOCALLA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
AIQUILE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,49,49
ALALAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,14,14
ALCALA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
ANCORAIMES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,20,20
ANDAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
ANTEQUERA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
ANZALDO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
APOLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,21,21
ARAMPAMPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
ARANI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,5,5
ARBIETO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
ARQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,38,38
ATOCHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,20,20
AUCAPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
AYATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
AYO AYO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,32,32
AZURDUY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,34,34
BATALLAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
BAURES,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
BELEN DE URMIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
BELLA FLOR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
BERMEJO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,33,33
BETANZOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,56,56
BOLIVAR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,23,23
BOLPEBRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
BOYUIBE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
BUENA VISTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,24,24
CABEZAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,22,22
CAIROMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
"CAIZA ""D""",micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
CAJUATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,10,10
CALACOTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
CALAMARCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,16,16
CAMARGO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,39,39
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
CAMIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,75,75
CAPINOTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,39,39
CAQUIAVIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
CARACOLLO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,20,20
CARANAVI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,73,73
CARAPARI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,12,12
CARIPUYO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,21,21
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
CATACORA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
CHALLAPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,37,37
CHAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,5,5
CHARAGUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,66,66
CHARAÑA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
CHAYANTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,31,31
CHIMORE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
CHIPAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
CHOQUE COTA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,32,32
CHUMA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,13,13
CLIZA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,19,19
COBIJA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,79,79
COCHABAMBA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,410,410
COIPASA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
COLCAPIRHUA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,30,30
"COLCHA ""K""",micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
COLLANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
COLOMI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,28,28
COLPA BELGICA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
COLQUECHACA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,54,54
COLQUENCHA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,10,10
COLQUIRI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,19,19
COMANCHE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
COMARAPA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,12,12
COMBAYA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
CONCEPCION,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
COPACABANA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,17,17
CORIPATA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,22,22
CORO CORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
COROICO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
CORQUE,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
COTAGAITA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,31,31
COTOCA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,85,85
CUATRO CAÑADAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,12,12
CUEVO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
CULPINA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,29,29
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
CURVA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,4,4
DESAGUADERO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
EL ALTO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,653,653
EL CHORO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,1,1
EL PUENTE(STC),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,9,9
EL PUENTE(TJA),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
EL TORNO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,23,23
EL VILLAR,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,6,6
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,26,26
ENTRE RIOS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,25,25
EUCALIPTUS,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,11,11
EXALTACION,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,2,2
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,15,15
FILADELFIA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,3,3
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,29,29
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,18,18
GUANAY,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,22,22
GUAQUI,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,7,7
GUAYARAMERIN,micronutrientes,mujeres puerperas que recibieron dosis unica d,2005-01-01,54,54
