municipality,group,variable,month,Niños de 1 a 4 años con 1ra dosis vitamina A,TOTAL
ACACIO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,186,186
ACHACACHI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,898,898
ACHOCALLA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,14,14
AIQUILE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,23,23
ALALAY,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,66,66
ALCALA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,9,9
ANCORAIMES,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,386,386
ANDAMARCA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,68,68
ANTEQUERA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,13,13
ANZALDO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,29,29
APOLO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,112,112
ARAMPAMPA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,98,98
ARANI,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,50,50
ARBIETO,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,33,33
ARQUE,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,153,153
ASCENCION DE GUARAYOS,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,9,9
ATOCHA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,77,77
AUCAPATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,15,15
AYATA,micronutrientes,ninos de 1 a 4 anos con 1ra dosis vitamina a,2005-01-01,16,16
