municipality,group,variable,month,Mujeres puérperas que recibieron 90 tabletas d,TOTAL
ACACIO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,11,11
ACHACACHI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,62,62
ACHOCALLA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,8,8
AIQUILE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,10,10
ALALAY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
ANCORAIMES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,20,20
ANDAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
ANTEQUERA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
ANZALDO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
APOLO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,21,21
ARAMPAMPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
ARANI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
ARBIETO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
ARQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,18,18
ASCENCION DE GUARAYOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
ATOCHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
AUCAPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
AYATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,14,14
AYO AYO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,12,12
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,26,26
AZURDUY,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,32,32
BATALLAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,16,16
BAURES,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
BELEN DE URMIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
BELLA FLOR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,43,43
BETANZOS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,46,46
BOLIVAR,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,17,17
BOLPEBRA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
BUENA VISTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,12,12
CABEZAS,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
CAIROMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
"CAIZA ""D""",micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,15,15
CAJUATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
CALACOTO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,3,3
CALAMARCA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,16,16
CAMARGO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,38,38
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
CAMIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
CAPINOTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,22,22
CAQUIAVIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
CARACOLLO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,20,20
CARANAVI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,18,18
CARAPARI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
CARIPUYO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,12,12
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
CATACORA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
CHALLAPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,31,31
CHAQUI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
CHARAGUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,54,54
CHARAÑA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,4,4
CHAYANTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
CHIPAYA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
CHOQUE COTA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,30,30
CHUMA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,13,13
CLIZA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
COBIJA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,111,111
COCHABAMBA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,30,30
COIPASA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
COLCAPIRHUA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,17,17
"COLCHA ""K""",micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
COLLANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
COLOMI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,14,14
COLPA BELGICA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
COLQUECHACA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,56,56
COLQUENCHA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,7,7
COLQUIRI,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,19,19
COMANCHE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,2,2
COMARAPA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,5,5
CONCEPCION,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,1,1
COPACABANA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,17,17
CORIPATA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
CORO CORO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,6,6
COROICO,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,11,11
CORQUE,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,9,9
COTAGAITA,micronutrientes,mujeres puerperas que recibieron 90 tabletas d,2005-01-01,24,24
