municipality,group,variable,month,Mujeres embarazadas que recibieron 90 tabletas,TOTAL
ACACIO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,9,9
ACHACACHI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,120,120
ACHOCALLA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,10,10
AIQUILE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,40,40
ALALAY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
ALCALA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
ANCORAIMES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,22,22
ANDAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,12,12
ANTEQUERA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
ANZALDO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
APOLO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,25,25
ARAMPAMPA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,15,15
ARANI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
ARBIETO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,6,6
ARQUE,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,12,12
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,20,20
ATOCHA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
AUCAPATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
AYATA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,2,2
AYO AYO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,16,16
AZURDUY,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,25,25
BATALLAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,19,19
BAURES,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,5,5
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
BELEN DE URMIRI,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,1,1
BELLA FLOR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,3,3
BERMEJO,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,76,76
BETANZOS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,30,30
BOLIVAR,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,8,8
BUENA VISTA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,30,30
CABEZAS,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,17,17
CAIROMA,micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,7,7
"CAIZA ""D""",micronutrientes,mujeres embarazadas que recibieron 90 tabletas,2005-01-01,10,10
