municipality,group,variable,month,Niños (as) de 6 m. a menores de 2 años que reciben alimento complementario Nutribebé,TOTAL
ACACIO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,93,93
ALALAY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,32,32
ALCALA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,54,54
ANCORAIMES,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,23,23
ANDAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,80,80
ANTEQUERA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,30,30
ANZALDO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,70,70
APOLO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,126,126
ARANI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,154,154
ARQUE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,139,139
ATOCHA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,122,122
AYATA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,152,152
AYO AYO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,139,139
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,84,84
AZURDUY,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,77,77
BATALLAS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,128,128
BELEN DE ANDAMARCA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,15,15
BELEN DE URMIRI,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,27,27
BELLA FLOR,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,13,13
BERMEJO,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,680,680
BETANZOS,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,464,464
BOLIVAR,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,120,120
BOLPEBRA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,29,29
BOYUIBE,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,51,51
BUENA VISTA,micronutrientes,ninos (as) de 6 m. a menores de 2 anos que reciben alimento complementario nutribebe,2010-01-01,2,2
