municipality,group,variable,month,Mujeres puérperas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,9,9
ACHACACHI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,58,58
ACHOCALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,6,6
AIQUILE,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,36,36
ALALAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,1,1
ALCALA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,1,1
ALTO BENI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,9,9
ANCORAIMES,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,14,14
ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
ANTEQUERA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
ANZALDO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,4,4
APOLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,23,23
ARANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,19,19
ARBIETO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,11,11
ARQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,22,22
ATOCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,4,4
AUCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,1,1
AYATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,13,13
AYO AYO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,37,37
AZURDUY,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,12,12
BATALLAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,17,17
BAURES,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,4,4
BELEN DE ANDAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
BERMEJO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,47,47
BETANZOS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,41,41
BOLIVAR,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,7,7
BOLPEBRA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
BOYUIBE,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
BUENA VISTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,10,10
CABEZAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,18,18
CAIROMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,7,7
"CAIZA ""D""",micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,7,7
CAJUATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,10,10
CALACOTO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
CALAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,24,24
CAMARGO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,39,39
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,4,4
CAMIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,69,69
CAPINOTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,45,45
CAQUIAVIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
CARACOLLO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,21,21
CARANAVI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,75,75
CARAPARI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,16,16
CARMEN RIVERO TORREZ,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,4,4
CHALLAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,54,54
CHAQUI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
CHARAGUA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,60,60
CHARAÑA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
CHAYANTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,22,22
CHIMORE,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,21,21
CHIPAYA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,20,20
CHUMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,15,15
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,9,9
CKOCHAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,22,22
CLIZA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,15,15
COBIJA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,128,128
COCAPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,36,36
COCHABAMBA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,218,218
COIPASA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,1,1
COLCAPIRHUA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,20,20
"COLCHA ""K""",micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,10,10
COLLANA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,4,4
COLOMI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,29,29
COLPA BELGICA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,10,10
COLQUECHACA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,64,64
COLQUENCHA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,9,9
COLQUIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,28,28
COMANCHE,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
COMARAPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,36,36
COMBAYA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,4,4
CONCEPCION,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,16,16
COPACABANA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,22,22
CORIPATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,14,14
CORO CORO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,5,5
COROICO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,24,24
COTAGAITA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,25,25
COTOCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,23,23
CUATRO CAÑADAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,19,19
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
CUEVO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
CULPINA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,32,32
CURAHUARA DE CARANGAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,9,9
CURVA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
DESAGUADERO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,8,8
EL ALTO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,1087,1087
EL CHORO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
EL PUENTE(STC),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,8,8
EL PUENTE(TJA),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,27,27
EL TORNO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,68,68
EL VILLAR,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
ENTRE RIOS TRJ,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,23,23
ENTRE RIOS CBBA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,22,22
ESCOMA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,9,9
ESMERALDA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,1,1
EUCALIPTUS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,6,6
EXALTACION,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
FERNANDEZ ALONSO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,12,12
FILADELFIA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
GENERAL SAAVEDRA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,10,10
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,8,8
GUANAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,10,10
GUAQUI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,12,12
GUAYARAMERIN,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,107,107
GUTIERREZ,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,10,10
HUACARETA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,9,9
HUACAYA (VILLA DE HUACAYA),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
HUACHACALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
HUANUNI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,15,15
HUARACAJE,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,5,5
HUARINA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,4,4
HUAYLLAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,6,6
HUMANATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,8,8
ICHOCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,10,10
ICLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,16,16
INCAHUASI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,18,18
INGAVI (HUMAITA),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
INQUISIVI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,4,4
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,13,13
IXIAMAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,12,12
JESUS DE MACHACA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,14,14
LA ASUNTA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,71,71
LA GUARDIA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,19,19
LA PAZ,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,787,787
LA RIVERA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,1,1
LAGUNILLAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,12,12
LAJA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,21,21
LAS CARRERAS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
LICOMA PAMPA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
LLALLAGUA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,66,66
LLICA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,6,6
LORETO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,5,5
LURIBAY,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
MACHACAMARCA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,3,3
MACHARETI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
MAGDALENA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,16,16
MAIRANA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,13,13
MALLA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,5,5
MAPIRI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,21,21
MECAPACA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,8,8
MINEROS,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,5,5
MIZQUE,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,41,41
MOCOMOCO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,16,16
MOJINETE,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,1,1
MOJOCOYA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,13,13
MONTEAGUDO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,59,59
MONTERO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,91,91
MORO MORO,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,1,1
MOROCHATA,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,21,21
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,2,2
OCURI,micronutrientes,mujeres puerperas con dosis completa de hierro,2010-01-01,23,23
