municipality,group,variable,month,Mujeres embarazadas con dosis completa de hierro,TOTAL
ACACIO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,13,13
ACHACACHI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,118,118
ACHOCALLA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,17,17
AIQUILE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,41,41
ALALAY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,1,1
ALCALA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,6,6
ALTO BENI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,18,18
ANCORAIMES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,16,16
ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,6,6
ANTEQUERA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,4,4
ANZALDO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,18,18
APOLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,29,29
ARAMPAMPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,1,1
ARANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,23,23
ARBIETO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,21,21
ARQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,10,10
ASCENCION DE GUARAYOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,9,9
ATOCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,22,22
AUCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,1,1
AYATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,18,18
AYO AYO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,5,5
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,39,39
AZURDUY,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,16,16
BATALLAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,34,34
BAURES,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,15,15
BELEN DE ANDAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,3,3
BELEN DE URMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,1,1
BELLA FLOR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,8,8
BERMEJO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,51,51
BETANZOS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,57,57
BOLIVAR,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,7,7
BOLPEBRA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,6,6
BOYUIBE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,5,5
BUENA VISTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,16,16
CABEZAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,50,50
CAIROMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,21,21
"CAIZA ""D""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,1,1
CAJUATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,13,13
CALACOTO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,6,6
CALAMARCA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,22,22
CAMARGO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,57,57
CAMATAQUI (C. VILLA ABECIA),micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,6,6
CAMIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,74,74
CAPINOTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,35,35
CAQUIAVIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,3,3
CARACOLLO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,73,73
CARANAVI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,119,119
CARAPARI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,17,17
CARMEN RIVERO TORREZ,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,10,10
CATACORA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,3,3
CHALLAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,82,82
CHAQUI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,12,12
CHARAGUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,85,85
CHARAÑA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,2,2
CHAYANTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,31,31
CHIMORE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,45,45
CHOQUE COTA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,33,33
CHUMA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,14,14
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,14,14
CKOCHAS,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,42,42
CLIZA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,48,48
COBIJA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,130,130
COCAPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,45,45
COCHABAMBA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,1433,1433
COIPASA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,2,2
COLCAPIRHUA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,47,47
"COLCHA ""K""",micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,4,4
COLLANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,6,6
COLOMI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,48,48
COLPA BELGICA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,5,5
COLQUECHACA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,52,52
COLQUENCHA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,16,16
COLQUIRI,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,33,33
COMANCHE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,8,8
COMARAPA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,30,30
COMBAYA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,3,3
CONCEPCION,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,31,31
COPACABANA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,27,27
CORIPATA,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,20,20
CORO CORO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,8,8
COROICO,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,37,37
CORQUE,micronutrientes,mujeres embarazadas con dosis completa de hierro,2010-01-01,5,5
