municipality,group,variable,month,Niños (as) de 1 año a menores de 5 años con 1ra dosis vitamina A,TOTAL
CLIZA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,79,79
COBIJA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,194,194
COCAPATA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,98,98
COCHABAMBA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,1168,1168
COIPASA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,3,3
COLCAPIRHUA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,129,129
"COLCHA ""K""",micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,26,26
COLLANA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,4,4
COLOMI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,104,104
COLPA BELGICA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,98,98
COLQUECHACA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,253,253
COLQUENCHA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,38,38
COLQUIRI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,82,82
COMANCHE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,14,14
COMARAPA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,135,135
COMBAYA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,18,18
CONCEPCION,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,26,26
COPACABANA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,60,60
CORIPATA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,27,27
CORO CORO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,19,19
COROICO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,66,66
CORQUE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,9,9
COTAGAITA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,50,50
COTOCA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,362,362
CUATRO CAÑADAS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,149,149
CUCHUMUELA (V. G. VILLARROEL),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,20,20
CUEVO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,43,43
CULPINA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,163,163
CURAHUARA DE CARANGAS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,32,32
CURVA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,9,9
DESAGUADERO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,8,8
EL ALTO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,1992,1992
EL CHORO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,19,19
EL PUENTE(STC),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,102,102
EL PUENTE(TJA),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,79,79
EL TORNO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,372,372
EL VILLAR,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,39,39
ENTRE RIOS TRJ,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,124,124
ENTRE RIOS CBBA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,101,101
ESCOMA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,29,29
ESMERALDA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,2,2
EUCALIPTUS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,27,27
EXALTACION,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,6,6
FERNANDEZ ALONSO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,177,177
FILADELFIA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,10,10
GENERAL SAAVEDRA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,145,145
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,31,31
GUANAY,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,47,47
GUAQUI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,23,23
GUAYARAMERIN,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,280,280
GUTIERREZ,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,770,770
HUACARETA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,197,197
HUACAYA (VILLA DE HUACAYA),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,72,72
HUACHACALLA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,5,5
HUANUNI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,98,98
HUARACAJE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,30,30
HUARINA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,45,45
HUAYLLAMARCA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,18,18
HUMANATA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,22,22
ICHOCA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,36,36
ICLA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,196,196
INCAHUASI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,188,188
INGAVI (HUMAITA),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,15,15
INQUISIVI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,60,60
IRUPANA (VILLA DE LANZA),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,42,42
IXIAMAS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,30,30
JESUS DE MACHACA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,32,32
LA ASUNTA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,113,113
LA GUARDIA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,476,476
LA PAZ,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,2280,2280
LAGUNILLAS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,97,97
LAJA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,85,85
LAS CARRERAS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,23,23
LICOMA PAMPA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,18,18
LLALLAGUA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,134,134
LLICA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,1,1
LORETO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,35,35
LURIBAY,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,50,50
MACHACAMARCA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,23,23
MACHARETI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,115,115
MAGDALENA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,53,53
MAIRANA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,81,81
MALLA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,14,14
MAPIRI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,50,50
MECAPACA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,37,37
MINEROS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,193,193
MIZQUE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,154,154
MOCOMOCO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,81,81
MOJINETE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,3,3
MOJOCOYA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,190,190
MONTEAGUDO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,382,382
MONTERO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,630,630
MORO MORO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,18,18
MOROCHATA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,77,77
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,6,6
NAZACARA DE PACAJES,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,4,4
NUEVO MANOA (NUEVA ESPERANZA),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,15,15
OCURI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,104,104
OKINAWA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,266,266
OMEREQUE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,30,30
ORURO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,831,831
PADCAYA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,96,96
PADILLA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,43,43
PAILON,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,191,191
PALCA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,57,57
PALOS BLANCOS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,133,133
PAMPA AULLAGAS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,15,15
PAMPA GRANDE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,54,54
PAPEL PAMPA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,11,11
PASORAPA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,12,12
PATACAMAYA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,31,31
PAZÑA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,21,21
PELECHUCO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,35,35
POCOATA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,136,136
POCONA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,85,85
POJO (CBBA),micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,14,14
POOPO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,22,22
PORCO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,39,39
POROMA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,234,234
PORONGO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,46,46
PORTACHUELO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,142,142
PORVENIR,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,23,23
POSTRER VALLE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,3,3
POTOSI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,565,565
PRESTO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,287,287
PUCARA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,18,18
PUCARANI,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,119,119
PUERTO ACOSTA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,22,22
PUERTO CARABUCO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,44,44
PUERTO GONZALO MORENO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,21,21
PUERTO PEREZ,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,60,60
PUERTO QUIJARRO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,109,109
PUERTO RICO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,21,21
PUERTO SILES,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,1,1
PUERTO SUAREZ,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,51,51
PUERTO VILLARROEL,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,191,191
PUNA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,127,127
PUNATA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,98,98
QUIABAYA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,17,17
QUILLACOLLO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,172,172
QUIME,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,39,39
QUIRUSILLAS,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,16,16
RAVELO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,85,85
REYES,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,58,58
RIBERALTA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,403,403
ROBORE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,94,94
RURRENABAQUE,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,76,76
SABAYA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,10,10
SACABA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,368,368
SACABAMBA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,20,20
SACACA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,96,96
SAIPINA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,36,36
SALINAS DE GARCI MENDOZA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,50,50
SAMAIPATA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,59,59
SAN ANDRES,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,13,13
SAN ANDRES DE MACHACA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,12,12
SAN ANTONIO DE ESMORUCO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,10,10
SAN ANTONIO DE LOMERIO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,70,70
SAN BENITO,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,57,57
SAN BORJA,micronutrientes,ninos (as) de 1 ano a menores de 5 anos con 1ra dosis vitamina a,2010-01-01,167,167
