municipality,group,variable,month,Mujeres puérperas con dosis única de vitamina A,TOTAL
HUACHACALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,1,1
HUANUNI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,15,15
HUARACAJE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
HUARINA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
HUAYLLAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
HUMANATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
ICHOCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,8,8
ICLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,16,16
INCAHUASI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,18,18
INGAVI (HUMAITA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
INQUISIVI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,4,4
IRUPANA (VILLA DE LANZA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,16,16
IXIAMAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,12,12
JESUS DE MACHACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,14,14
LA ASUNTA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,40,40
LA GUARDIA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,57,57
LA PAZ,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,927,927
LA RIVERA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,1,1
LAGUNILLAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,11,11
LAJA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,20,20
LAS CARRERAS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
LICOMA PAMPA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
LLALLAGUA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,65,65
LLICA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,6,6
LORETO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,5,5
LURIBAY,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,3,3
MACHACAMARCA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,5,5
MACHARETI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
MAGDALENA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,19,19
MAIRANA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,13,13
MALLA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,7,7
MAPIRI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,11,11
MECAPACA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,7,7
MINEROS,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,7,7
MIZQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,41,41
MOCOMOCO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,18,18
MOJINETE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,1,1
MOJOCOYA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,13,13
MONTEAGUDO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,58,58
MONTERO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,42,42
MORO MORO,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,1,1
MOROCHATA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,23,23
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,2,2
OCURI,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,23,23
OKINAWA,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,9,9
OMEREQUE,micronutrientes,mujeres puerperas con dosis unica de vitamina a,2010-01-01,9,9
