,group,variable,month,15. NACIDOS MUERTOS ATENDIDOS POR OTROS SERV/DOM,15. NACIDOS MUERTOS ATENDIDOS POR OTROS SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-01-01,0,2,0,2,2
CORQUE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-02-01,0,1,0,1,1
TACOPAYA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-02-01,0,1,0,1,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-02-01,0,1,0,1,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-03-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-03-01,0,1,0,1,1
POCOATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-03-01,0,1,0,1,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-03-01,0,1,0,1,1
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-03-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-04-01,0,1,0,1,1
CKOCHAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-04-01,0,1,0,1,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-04-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-04-01,0,1,0,1,1
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-04-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-05-01,0,1,0,1,1
CUEVO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-06-01,0,1,0,1,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-06-01,0,1,0,1,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-06-01,0,1,0,1,1
VACAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-06-01,0,1,0,1,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-07-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-07-01,0,1,0,1,1
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-07-01,0,1,0,1,1
OCURI,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-07-01,0,1,0,1,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-07-01,0,1,0,1,1
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-07-01,0,1,0,1,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-07-01,0,1,0,1,1
VILA VILA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-07-01,0,1,0,1,1
MAIRANA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-08-01,0,1,0,1,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-08-01,0,1,0,1,1
CALAMARCA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-09-01,0,1,0,1,1
HUARINA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-09-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-09-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-09-01,0,1,0,1,1
PUNA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-09-01,0,1,0,1,1
ROBORE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-09-01,0,1,0,1,1
SHINAOTA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-09-01,0,2,0,2,2
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-09-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-09-01,0,2,0,2,2
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-10-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-10-01,0,2,0,2,2
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-10-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-10-01,0,1,0,1,1
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-10-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-11-01,0,1,0,1,1
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-11-01,0,1,0,1,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-11-01,0,1,0,1,1
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-12-01,0,1,0,1,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-12-01,0,1,0,1,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos muertos atendidos por otros,2024-12-01,0,1,0,1,1
