,group,variable,month,1. NACIDOS VIVOS SERV/DOM,1. NACIDOS VIVOS SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
ACACIO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,2,0,2,2
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,33,15,33,15,48
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,21,2,21,2,23
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,1,0,1,1
ALCALA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,6,0,6,6
ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,2,1,2,3
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,1,1,1,2
APOLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,13,7,13,7,20
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,1,1,1,2
ARANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,2,2,2,4
ARBIETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,0,7,0,7
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,8,3,8,11
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,54,0,54,0,54
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,8,0,8,0,8
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,5,0,5,5
AYATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,4,3,4,7
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,5,3,5,8
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,12,5,12,5,17
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,2,6,2,8
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,8,6,8,6,14
BAURES,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,35,0,35,0,35
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,17,1,17,1,18
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,5,1,5,6
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,12,0,12,0,12
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,6,1,6,7
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,2,2,2,4
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,2,5,2,7
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,3,1,3,4
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,1,4,1,5
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,19,1,19,1,20
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,35,0,35,0,35
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,16,1,16,1,17
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,6,1,6,7
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,9,4,9,4,13
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,70,2,70,2,72
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,0,7,0,7
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,3,1,3,4
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,8,0,8,0,8
CATACORA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,1,0,1,1
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,1,1,1,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,36,1,36,1,37
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,0,5,0,5
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,36,3,36,3,39
CHARAÑA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,3,0,3,3
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,13,5,13,5,18
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,25,0,25,0,25
CHIPAYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,17,0,17,0,17
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,7,1,7,8
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,10,0,10,0,10
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,17,6,17,23
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,23,0,23,0,23
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,113,0,113,0,113
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,13,7,13,20
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1123,2,1123,2,1125
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,30,0,30,0,30
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,4,5,4,9
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,1,0,1,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,18,0,18,0,18
COLPA BELGICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,0,6,0,6
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,12,16,12,16,28
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,3,0,3,3
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,15,3,15,18
COMANCHE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,1,0,1,1
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,21,0,21,0,21
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,25,1,25,1,26
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,12,1,12,1,13
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,2,1,2,3
COROICO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,18,2,18,2,20
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,8,3,8,3,11
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,61,4,61,4,65
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,22,0,22,0,22
CUCHUMUELA (V. G. VILLARROEL),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,1,4,1,5
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,5,6,5,11
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
CURVA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,1,0,1,1
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1056,43,1056,43,1099
EL CHORO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,2,0,2,2
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,1,3,1,4
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,46,0,46,0,46
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,9,2,9,2,11
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,33,0,33,0,33
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,2,3,2,5
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,1,0,1,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,8,0,8,0,8
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,0,5,0,5
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,4,0,4,4
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,14,0,14,14
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,12,1,12,1,13
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,65,0,65,0,65
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,2,6,2,8
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
HUACHACALLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,0,2,0,2
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,16,0,16,0,16
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,3,1,3,4
HUATAJATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,1,1,1,2
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,4,2,4,6
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,3,0,3,3
ICLA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,5,5,5,10
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,8,5,8,13
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,16,4,16,20
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,4,3,4,7
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,7,0,7,0,7
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,2,2,2,4
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,50,1,50,1,51
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,80,0,80,0,80
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1208,4,1208,4,1212
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
LAJA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,8,2,8,10
LAS CARRERAS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,1,4,1,5
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,58,7,58,7,65
LLICA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,4,0,4,0,4
LORETO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,0,5,0,5
MACHACAMARCA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,3,0,3,0,3
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,1,5,1,6
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,15,2,15,2,17
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,13,0,13,0,13
MECAPACA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,2,1,2,1,3
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,12,1,12,1,13
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,20,1,20,1,21
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,0,5,0,5,5
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,5,0,5,0,5
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,37,0,37,0,37
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,217,0,217,0,217
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,6,6,6,6,12
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos,2024-01-01,1,0,1,0,1
