,group,variable,month,9. NACIDOS MUERTOS SERV/DOM,9. NACIDOS MUERTOS SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
BERMEJO,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,2,0,2,0,2
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,16,0,16,0,16
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,21,1,21,1,22
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,2,0,2,0,2
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,14,0,14,0,14
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,4,0,4,0,4
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,3,0,3,0,3
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,2,0,2,0,2
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,2,0,2,0,2
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,4,0,4,0,4
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,28,0,28,0,28
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,3,0,3,0,3
TAPACARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,5,0,5,0,5
TUPIZA,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos muertos,2024-01-01,2,0,2,0,2
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
APOLO,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,31,0,31,0,31
BERMEJO,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,13,0,13,0,13
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
CORQUE,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,0,1,0,1,1
CULPINA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,12,0,12,0,12
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,2,0,2,0,2
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,13,0,13,0,13
LAJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
MAIRANA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,6,0,6,0,6
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,4,0,4,0,4
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,14,0,14,0,14
SORATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,6,0,6,0,6
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,2,0,2,0,2
TIPUANI,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,0,1,0,1,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,3,0,3,0,3
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,5,0,5,0,5
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,2,0,2,0,2
WARNES,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-02-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,0,1,0,1,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,0,1,0,1,1
CKOCHAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,10,0,10,0,10
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,31,0,31,0,31
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,17,0,17,0,17
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,11,1,11,1,12
POROMA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,6,0,6,0,6
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
PUNA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,2,0,2,0,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,3,0,3,0,3
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,2,0,2,0,2
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,23,0,23,0,23
SHINAOTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,2,0,2,0,2
TARABUCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,2,0,2,0,2
TARVITA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,0,1,0,1,1
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
UYUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,3,0,3,0,3
VIACHA,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,6,0,6,0,6
VILLAZON,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,4,0,4,0,4
WARNES,recien nacidos en servicio y domicilio,nacidos muertos,2024-03-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,2,0,2,0,2
CARANAVI,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,4,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
CKOCHAS,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,12,0,12,0,12
COROICO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
COTOCA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,16,1,16,1,17
EL TORNO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,2,0,2,0,2
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,2,0,2,0,2
HUANUNI,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,17,0,17,0,17
MONTERO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
ORURO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,9,0,9,0,9
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,5,0,5,0,5
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,2,0,2,0,2
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,1,1,1,2
REYES,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,31,0,31,0,31
SUCRE,recien nacidos en servicio y domicilio,nacidos muertos,2024-04-01,3,0,3,0,3
