,group,variable,month,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,19. RN CON ALOJAMIENTO CONJUNTO SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
ACACIO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,1,0,1,1
ACHACACHI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,33,14,33,14,47
AIQUILE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,21,0,21,0,21
ALALAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,1,0,1,1
ALCALA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
ALTO BENI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
ANCORAIMES,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,5,0,5,5
ANDAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,2,1,2,3
ANZALDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,1,1,1,2
ARAMPAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,1,1,1,2
ARANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,2,2,2,4
ARQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,3,3,3,6
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,54,0,54,0,54
ATOCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,8,0,8,0,8
AYO AYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,4,3,4,7
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,12,2,12,2,14
AZURDUY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,2,6,2,8
BATALLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,8,6,8,6,14
BERMEJO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,28,0,28,0,28
BETANZOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,17,0,17,0,17
BOLIVAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,1,1,1,2
BOYUIBE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
BUENA VISTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,1,2,1,3
CABEZAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,12,0,12,0,12
"CAIZA ""D""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,2,2,2,4
CAJUATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,1,4,1,5
CALACOTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,2,1,2,3
CALAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
CAMARGO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,19,0,19,0,19
CAPINOTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,16,1,16,1,17
CAQUIAVIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,4,1,4,5
CARACOLLO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,8,1,8,1,9
CARANAVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,67,2,67,2,69
CARAPARI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,0,6,0,6
CARIPUYO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,3,1,3,4
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,8,0,8,0,8
CHACARILLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,1,1,1,2
CHALLAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,36,1,36,1,37
CHAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,0,5,0,5
CHARAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,2,7,2,9
CHAYANTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,13,2,13,2,15
CHIMORE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
CHIPAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,1,2,1,3
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,12,0,12,0,12
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,10,0,10,0,10
CKOCHAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,17,5,17,22
CLIZA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,23,0,23,0,23
COBIJA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,101,0,101,0,101
COCAPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,10,7,10,17
COCHABAMBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1058,0,1058,0,1058
COLCAPIRHUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,30,0,30,0,30
"COLCHA ""K""",recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,2,5,2,7
COLLANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,1,0,1,1
COLOMI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,16,0,16,0,16
COLQUECHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,12,16,12,16,28
COLQUENCHA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,2,0,2,2
COLQUIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,9,3,9,12
COMARAPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,20,0,20,0,20
CONCEPCION,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,25,1,25,1,26
CORIPATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,0,7,0,7
CORO CORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,1,1,1,2
COROICO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,16,2,16,2,18
CORQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
COTAGAITA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,8,3,8,3,11
COTOCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,61,4,61,4,65
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,21,0,21,0,21
CULPINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,3,6,3,9
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,800,30,800,30,830
EL CHORO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,2,0,2,2
EL PUENTE(STC),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,0,6,0,6
EL PUENTE(TJA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
EL TORNO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,46,0,46,0,46
EL VILLAR,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,0,7,0,7
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,25,0,25,0,25
ESCOMA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
EUCALIPTUS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
FILADELFIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,1,0,1,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,8,0,8,0,8
GIA-TIM,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,4,0,4,4
GUANAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,9,0,9,0,9
GUAQUI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,1,2,1,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,57,0,57,0,57
GUTIERREZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,6,0,6,0,6
HUACARAJE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
HUACHACALLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
HUANUNI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,16,0,16,0,16
HUARINA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,1,0,1,1
HUATAJATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,1,1,1,2
HUMANATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,7,2,7,9
ICHOCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,2,0,2,2
ICLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,5,5,5,10
INCAHUASI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,8,5,8,13
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,1,2,1,3
INQUISIVI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,1,4,1,5
JESUS DE MACHACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
LA ASUNTA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,11,1,11,1,12
LA GUARDIA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,80,0,80,0,80
LA PAZ,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,691,0,691,0,691
LAGUNILLAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,0,4,0,4
LAS CARRERAS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
LICOMA PAMPA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,1,4,1,5
LLALLAGUA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,53,3,53,3,56
LLICA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,1,4,1,5
LORETO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
LURIBAY,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
MACHACAMARCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
MACHARETI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,0,3,0,3
MAGDALENA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,1,5,1,6
MAIRANA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,16,0,16,0,16
MAPIRI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,13,0,13,0,13
MECAPACA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
MINEROS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,12,0,12,0,12
MIZQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,21,0,21,0,21
MOCOMOCO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,0,4,0,4,4
MOJOCOYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,5,0,5,0,5
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,37,0,37,0,37
MONTERO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,30,0,30,0,30
MOROCHATA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,3,4,3,4,7
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,1,4,1,5
OMEREQUE,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,458,7,458,7,465
PADCAYA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,2,7,2,9
PADILLA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,7,0,7,0,7
PAILON,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,35,0,35,0,35
PALCA,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,4,7,4,7,11
PALOS BLANCOS,recien nacidos en servicio y domicilio,rn con alojamiento conjunto,2024-01-01,23,7,23,7,30
