,group,variable,month,7. NACIDOS VIVOS ATENDIDOS POR PARTERA SERV/DOM,7. NACIDOS VIVOS ATENDIDOS POR PARTERA SERV/DOM,TOTALES,TOTALES,TOTALES
,,,,SERVICIO,DOMICILIO,TOTAL SERVICIO,TOTAL DOMICILIO,TOTAL
municipality,,,,,,,,
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-01-01,0,1,0,1,1
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-01-01,0,3,0,3,3
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-01-01,0,2,0,2,2
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-01-01,34,6,34,6,40
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-01-01,0,2,0,2,2
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-01-01,0,1,0,1,1
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-01-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-01-01,0,1,0,1,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-01-01,0,1,0,1,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,17,0,17,0,17
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,1,0,1,1
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,2,0,2,2
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,1,0,1,1
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,4,0,4,4
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,3,0,3,3
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,1,0,1,1
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,1,0,1,1
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,1,0,1,1
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,1,0,1,1
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-02-01,0,1,0,1,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
BOLPEBRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,2,0,2,2
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,2,0,2,2
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
QUIME,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,3,1,3,1,4
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,10,0,10,10
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,2,0,2,2
SAN RAMON BENI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-03-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,8,0,8,8
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,1,0,1,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,2,0,2,2
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,1,0,1,1
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,1,0,1,1
LORETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,1,0,1,1
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,2,0,2,2
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,23,0,23,0,23
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,8,0,8,8
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,2,0,2,2
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,0,2,0,2,2
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-04-01,2,2,2,2,4
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,11,0,11,11
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,2,0,2,2
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,2,0,2,2
LORETO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,3,0,3,3
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,9,0,9,9
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,2,0,2,2
SAN PEDRO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,1,1,1,1,2
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,3,0,3,3
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,3,0,3,3
WARNES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-05-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,13,0,13,13
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,9,0,9,9
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,24,0,24,24
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,2,0,2,2
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-06-01,0,1,0,1,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,6,0,6,6
CHACARILLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,1,2,1,2,3
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,8,0,8,8
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,5,0,5,5
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,1,0,1,0,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,3,0,3,3
TURCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-07-01,0,2,0,2,2
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,7,0,7,7
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,2,0,2,2
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,3,0,3,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,1,0,1,0,1
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,2,0,2,2
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,8,0,8,8
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,4,0,4,4
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
SAN LORENZO(TJA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,1,0,1,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por partera,2024-08-01,0,2,0,2,2
