,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,1,0,1,1
ASCENCION DE GUARAYOS,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,0,0,0,0
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,2,0,2,0,2
CAJUATA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,1,0,1,1
CAMARGO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,3,0,3,3
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,4,1,4,1,5
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,1,1,1,2
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,4,1,4,5
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,31,36,31,36,67
CONCEPCION,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,1,0,1,1
CULPINA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,2,0,2,2
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,6,5,6,5,11
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,2,0,2,2
HUANUNI,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,21,22,21,22,43
LLALLAGUA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
MINEROS,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
MIZQUE,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,0,0,0,0
MOCOMOCO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,3,3,3,3,6
ORURO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,8,9,8,9,17
PADILLA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,2,0,2,0,2
PORTACHUELO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,2,4,2,4,6
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,5,3,5,3,8
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,1,0,1,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,1,1,1,2
QUILLACOLLO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,2,0,2,2
REYES,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,3,4,3,4,7
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
SACABA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,1,1,1,2
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,2,0,2,2
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,0,5,0,5,5
SAN JOAQUIN,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,1,1,1,2
SAN LUCAS,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,0,1,0,1
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2020-01-01,61,56,61,56,117
