,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,contrareferidos,2020-01-01,2,7,2,7,9
AIQUILE,internaciones,contrareferidos,2020-01-01,4,4,4,4,8
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2020-01-01,4,9,4,9,13
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2020-01-01,0,0,0,0,0
BERMEJO,internaciones,contrareferidos,2020-01-01,43,110,43,110,153
CAMARGO,internaciones,contrareferidos,2020-01-01,12,27,12,27,39
CAMIRI,internaciones,contrareferidos,2020-01-01,0,39,0,39,39
CARANAVI,internaciones,contrareferidos,2020-01-01,12,45,12,45,57
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2020-01-01,1,1,1,1,2
COBIJA,internaciones,contrareferidos,2020-01-01,114,229,114,229,343
COCHABAMBA,internaciones,contrareferidos,2020-01-01,103,556,103,556,659
COROICO,internaciones,contrareferidos,2020-01-01,5,17,5,17,22
COTOCA,internaciones,contrareferidos,2020-01-01,3,14,3,14,17
EL ALTO,internaciones,contrareferidos,2020-01-01,39,214,39,214,253
EL TORNO,internaciones,contrareferidos,2020-01-01,5,5,5,5,10
ESCOMA,internaciones,contrareferidos,2020-01-01,2,6,2,6,8
GUAYARAMERIN,internaciones,contrareferidos,2020-01-01,2,48,2,48,50
HUANUNI,internaciones,contrareferidos,2020-01-01,0,1,0,1,1
LA PAZ,internaciones,contrareferidos,2020-01-01,39,353,39,353,392
MIZQUE,internaciones,contrareferidos,2020-01-01,1,3,1,3,4
MONTEAGUDO,internaciones,contrareferidos,2020-01-01,21,31,21,31,52
MONTERO,internaciones,contrareferidos,2020-01-01,208,239,208,239,447
ORURO,internaciones,contrareferidos,2020-01-01,5,13,5,13,18
PADILLA,internaciones,contrareferidos,2020-01-01,18,33,18,33,51
POTOSI,internaciones,contrareferidos,2020-01-01,57,287,57,287,344
PUERTO VILLARROEL,internaciones,contrareferidos,2020-01-01,31,116,31,116,147
PUNATA,internaciones,contrareferidos,2020-01-01,64,143,64,143,207
QUILLACOLLO,internaciones,contrareferidos,2020-01-01,6,8,6,8,14
RIBERALTA,internaciones,contrareferidos,2020-01-01,111,367,111,367,478
RURRENABAQUE,internaciones,contrareferidos,2020-01-01,0,1,0,1,1
SACABA,internaciones,contrareferidos,2020-01-01,11,45,11,45,56
SAN BUENA VENTURA,internaciones,contrareferidos,2020-01-01,8,9,8,9,17
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2020-01-01,11,13,11,13,24
SAN LUCAS,internaciones,contrareferidos,2020-01-01,0,7,0,7,7
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2020-01-01,292,1484,292,1484,1776
SUCRE,internaciones,contrareferidos,2020-01-01,388,821,388,821,1209
TARABUCO,internaciones,contrareferidos,2020-01-01,12,23,12,23,35
TARIJA,internaciones,contrareferidos,2020-01-01,8,13,8,13,21
TIQUIPAYA,internaciones,contrareferidos,2020-01-01,0,0,0,0,0
TRINIDAD,internaciones,contrareferidos,2020-01-01,1,1,1,1,2
TUPIZA,internaciones,contrareferidos,2020-01-01,24,60,24,60,84
VALLEGRANDE,internaciones,contrareferidos,2020-01-01,3,4,3,4,7
VIACHA,internaciones,contrareferidos,2020-01-01,1,2,1,2,3
VILLA MONTES,internaciones,contrareferidos,2020-01-01,6,23,6,23,29
VILLA TUNARI,internaciones,contrareferidos,2020-01-01,17,79,17,79,96
VILLAZON,internaciones,contrareferidos,2020-01-01,4,3,4,3,7
WARNES,internaciones,contrareferidos,2020-01-01,11,94,11,94,105
YACUIBA,internaciones,contrareferidos,2020-01-01,99,141,99,141,240
YAPACANI,internaciones,contrareferidos,2020-01-01,0,1,0,1,1
ACHACACHI,internaciones,contrareferidos,2020-02-01,3,1,3,1,4
AIQUILE,internaciones,contrareferidos,2020-02-01,4,10,4,10,14
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2020-02-01,3,4,3,4,7
AYOPAYA (V. DE INDEPENDENCIA),internaciones,contrareferidos,2020-02-01,1,0,1,0,1
