,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
AIQUILE,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,0,0,0,0
AYOPAYA (V. DE INDEPENDENCIA),internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,0,0,0,0
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,2,1,2,1,3
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,1,0,1,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,3,0,3,3
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,1,1,1,2
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,79,62,79,62,141
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,3,1,3,1,4
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,28,17,28,17,45
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,2,0,2,0,2
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,75,80,75,80,155
LLALLAGUA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,0,1,0,1
MAIRANA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,0,1,0,1
MIZQUE,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,0,0,0,0
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,0,1,0,1
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,7,3,7,3,10
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,14,39,14,39,53
PADILLA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,1,0,1,1
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,2,2,2,2,4
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,16,12,16,12,28
PUERTO SUAREZ,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,1,0,1,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,3,1,3,4
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,2,0,2,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,7,5,7,5,12
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,0,1,0,1
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,2,0,2,0,2
SAN BORJA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,1,1,1,2
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,2,0,2,2
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,104,96,104,96,200
SANTA ROSA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,0,1,0,1
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,17,20,17,20,37
TARABUCO,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,0,0,0,0
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,15,17,15,17,32
TIQUIPAYA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,0,0,0,0
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,8,12,8,12,20
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,3,1,3,4
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,0,2,0,2,2
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,0,1,0,1
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2020-01-01,1,0,1,0,1
