,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
ACHACACHI,internaciones,ingresos espontaneos,2020-01-01,12,52,12,52,64
ACHOCALLA,internaciones,ingresos espontaneos,2020-01-01,0,8,0,8,8
AIQUILE,internaciones,ingresos espontaneos,2020-01-01,20,62,20,62,82
ALALAY,internaciones,ingresos espontaneos,2020-01-01,1,1,1,1,2
ALCALA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
ALTO BENI,internaciones,ingresos espontaneos,2020-01-01,1,4,1,4,5
ANCORAIMES,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
ANZALDO,internaciones,ingresos espontaneos,2020-01-01,11,12,11,12,23
APOLO,internaciones,ingresos espontaneos,2020-01-01,0,27,0,27,27
ARANI,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
ARBIETO,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2020-01-01,43,143,43,143,186
ATOCHA,internaciones,ingresos espontaneos,2020-01-01,54,55,54,55,109
AUCAPATA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
AYATA,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
AYO AYO,internaciones,ingresos espontaneos,2020-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2020-01-01,6,29,6,29,35
AZURDUY,internaciones,ingresos espontaneos,2020-01-01,16,18,16,18,34
BATALLAS,internaciones,ingresos espontaneos,2020-01-01,0,7,0,7,7
BAURES,internaciones,ingresos espontaneos,2020-01-01,12,14,12,14,26
BERMEJO,internaciones,ingresos espontaneos,2020-01-01,76,126,76,126,202
BETANZOS,internaciones,ingresos espontaneos,2020-01-01,0,21,0,21,21
BOYUIBE,internaciones,ingresos espontaneos,2020-01-01,12,21,12,21,33
BUENA VISTA,internaciones,ingresos espontaneos,2020-01-01,25,46,25,46,71
CABEZAS,internaciones,ingresos espontaneos,2020-01-01,18,33,18,33,51
CAIROMA,internaciones,ingresos espontaneos,2020-01-01,1,0,1,0,1
"CAIZA ""D""",internaciones,ingresos espontaneos,2020-01-01,0,7,0,7,7
CAJUATA,internaciones,ingresos espontaneos,2020-01-01,3,15,3,15,18
CALACOTO,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
CALAMARCA,internaciones,ingresos espontaneos,2020-01-01,0,5,0,5,5
CAMARGO,internaciones,ingresos espontaneos,2020-01-01,31,63,31,63,94
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
CAMIRI,internaciones,ingresos espontaneos,2020-01-01,185,291,185,291,476
CAPINOTA,internaciones,ingresos espontaneos,2020-01-01,7,43,7,43,50
CARACOLLO,internaciones,ingresos espontaneos,2020-01-01,1,28,1,28,29
CARANAVI,internaciones,ingresos espontaneos,2020-01-01,12,77,12,77,89
CARAPARI,internaciones,ingresos espontaneos,2020-01-01,2,0,2,0,2
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2020-01-01,9,18,9,18,27
CHALLAPATA,internaciones,ingresos espontaneos,2020-01-01,21,89,21,89,110
CHAQUI,internaciones,ingresos espontaneos,2020-01-01,0,4,0,4,4
CHARAGUA,internaciones,ingresos espontaneos,2020-01-01,41,95,41,95,136
CHARAÑA,internaciones,ingresos espontaneos,2020-01-01,0,1,0,1,1
CHAYANTA,internaciones,ingresos espontaneos,2020-01-01,0,3,0,3,3
CHIMORE,internaciones,ingresos espontaneos,2020-01-01,1,37,1,37,38
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2020-01-01,12,39,12,39,51
CHUMA,internaciones,ingresos espontaneos,2020-01-01,1,5,1,5,6
CKOCHAS,internaciones,ingresos espontaneos,2020-01-01,1,4,1,4,5
CLIZA,internaciones,ingresos espontaneos,2020-01-01,13,44,13,44,57
