,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,egresos,2020-01-01,0,1,0,1,1
ACHACACHI,internaciones,egresos,2020-01-01,11,61,11,61,72
ACHOCALLA,internaciones,egresos,2020-01-01,0,8,0,8,8
AIQUILE,internaciones,egresos,2020-01-01,21,62,21,62,83
ALALAY,internaciones,egresos,2020-01-01,1,1,1,1,2
ALCALA,internaciones,egresos,2020-01-01,0,1,0,1,1
ALTO BENI,internaciones,egresos,2020-01-01,1,4,1,4,5
ANCORAIMES,internaciones,egresos,2020-01-01,0,1,0,1,1
ANZALDO,internaciones,egresos,2020-01-01,9,11,9,11,20
APOLO,internaciones,egresos,2020-01-01,0,27,0,27,27
ARANI,internaciones,egresos,2020-01-01,0,3,0,3,3
ARBIETO,internaciones,egresos,2020-01-01,0,3,0,3,3
ASCENCION DE GUARAYOS,internaciones,egresos,2020-01-01,43,156,43,156,199
ATOCHA,internaciones,egresos,2020-01-01,60,73,60,73,133
AUCAPATA,internaciones,egresos,2020-01-01,0,1,0,1,1
AYATA,internaciones,egresos,2020-01-01,0,3,0,3,3
AYO AYO,internaciones,egresos,2020-01-01,0,2,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2020-01-01,6,39,6,39,45
AZURDUY,internaciones,egresos,2020-01-01,16,18,16,18,34
BATALLAS,internaciones,egresos,2020-01-01,0,7,0,7,7
BAURES,internaciones,egresos,2020-01-01,11,16,11,16,27
BERMEJO,internaciones,egresos,2020-01-01,77,165,77,165,242
BETANZOS,internaciones,egresos,2020-01-01,0,21,0,21,21
BOYUIBE,internaciones,egresos,2020-01-01,12,22,12,22,34
BUENA VISTA,internaciones,egresos,2020-01-01,23,42,23,42,65
CABEZAS,internaciones,egresos,2020-01-01,18,33,18,33,51
CAIROMA,internaciones,egresos,2020-01-01,1,0,1,0,1
"CAIZA ""D""",internaciones,egresos,2020-01-01,0,7,0,7,7
CAJUATA,internaciones,egresos,2020-01-01,3,15,3,15,18
CALACOTO,internaciones,egresos,2020-01-01,0,1,0,1,1
CALAMARCA,internaciones,egresos,2020-01-01,0,5,0,5,5
CAMARGO,internaciones,egresos,2020-01-01,36,66,36,66,102
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2020-01-01,0,3,0,3,3
CAMIRI,internaciones,egresos,2020-01-01,196,337,196,337,533
CAPINOTA,internaciones,egresos,2020-01-01,7,39,7,39,46
CARACOLLO,internaciones,egresos,2020-01-01,1,25,1,25,26
CARANAVI,internaciones,egresos,2020-01-01,20,114,20,114,134
CARAPARI,internaciones,egresos,2020-01-01,2,0,2,0,2
CARMEN RIVERO TORREZ,internaciones,egresos,2020-01-01,10,18,10,18,28
CHALLAPATA,internaciones,egresos,2020-01-01,25,85,25,85,110
CHAQUI,internaciones,egresos,2020-01-01,0,4,0,4,4
CHARAGUA,internaciones,egresos,2020-01-01,55,121,55,121,176
CHARAÑA,internaciones,egresos,2020-01-01,0,1,0,1,1
CHAYANTA,internaciones,egresos,2020-01-01,0,3,0,3,3
CHIMORE,internaciones,egresos,2020-01-01,1,38,1,38,39
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2020-01-01,16,45,16,45,61
CHUMA,internaciones,egresos,2020-01-01,1,5,1,5,6
CKOCHAS,internaciones,egresos,2020-01-01,1,4,1,4,5
CLIZA,internaciones,egresos,2020-01-01,14,60,14,60,74
COBIJA,internaciones,egresos,2020-01-01,239,440,239,440,679
COCAPATA,internaciones,egresos,2020-01-01,0,13,0,13,13
COCHABAMBA,internaciones,egresos,2020-01-01,3379,5904,3379,5904,9283
COLCAPIRHUA,internaciones,egresos,2020-01-01,29,122,29,122,151
"COLCHA ""K""",internaciones,egresos,2020-01-01,2,3,2,3,5
COLLANA,internaciones,egresos,2020-01-01,0,2,0,2,2
COLOMI,internaciones,egresos,2020-01-01,0,15,0,15,15
COLPA BELGICA,internaciones,egresos,2020-01-01,15,27,15,27,42
COLQUECHACA,internaciones,egresos,2020-01-01,0,21,0,21,21
COLQUENCHA,internaciones,egresos,2020-01-01,0,4,0,4,4
