municipality,group,variable,month,Viviendas Roceadas,TOTAL
AIQUILE,chagas viviendas,viviendas roceadas,2010-01-01,7,7
ARQUE,chagas viviendas,viviendas roceadas,2010-01-01,3,3
CAPINOTA,chagas viviendas,viviendas roceadas,2010-01-01,41,41
CLIZA,chagas viviendas,viviendas roceadas,2010-01-01,12,12
COCHABAMBA,chagas viviendas,viviendas roceadas,2010-01-01,84,84
EL TORNO,chagas viviendas,viviendas roceadas,2010-01-01,86,86
MAIRANA,chagas viviendas,viviendas roceadas,2010-01-01,41,41
MIZQUE,chagas viviendas,viviendas roceadas,2010-01-01,33,33
MOJOCOYA,chagas viviendas,viviendas roceadas,2010-01-01,12,12
OMEREQUE,chagas viviendas,viviendas roceadas,2010-01-01,92,92
PADCAYA,chagas viviendas,viviendas roceadas,2010-01-01,7,7
POCONA,chagas viviendas,viviendas roceadas,2010-01-01,6,6
POJO (CBBA),chagas viviendas,viviendas roceadas,2010-01-01,130,130
PUNATA,chagas viviendas,viviendas roceadas,2010-01-01,9,9
SACABA,chagas viviendas,viviendas roceadas,2010-01-01,9,9
SAIPINA,chagas viviendas,viviendas roceadas,2010-01-01,70,70
SAN BENITO,chagas viviendas,viviendas roceadas,2010-01-01,3,3
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas roceadas,2010-01-01,2,2
SICAYA,chagas viviendas,viviendas roceadas,2010-01-01,13,13
SIPE SIPE,chagas viviendas,viviendas roceadas,2010-01-01,15,15
TARATA,chagas viviendas,viviendas roceadas,2010-01-01,7,7
TARIJA,chagas viviendas,viviendas roceadas,2010-01-01,69,69
TIQUIPAYA,chagas viviendas,viviendas roceadas,2010-01-01,4,4
TOTORA(CBBA),chagas viviendas,viviendas roceadas,2010-01-01,59,59
URIONDO (A. CONCEPCION),chagas viviendas,viviendas roceadas,2010-01-01,12,12
VILA VILA,chagas viviendas,viviendas roceadas,2010-01-01,23,23
VILLA RIVERO,chagas viviendas,viviendas roceadas,2010-01-01,4,4
VINTO,chagas viviendas,viviendas roceadas,2010-01-01,7,7
ZUDAÑEZ,chagas viviendas,viviendas roceadas,2010-01-01,36,36
AIQUILE,chagas viviendas,viviendas roceadas,2010-02-01,6,6
ALCALA,chagas viviendas,viviendas roceadas,2010-02-01,4,4
ANZALDO,chagas viviendas,viviendas roceadas,2010-02-01,5,5
ARANI,chagas viviendas,viviendas roceadas,2010-02-01,2,2
ARQUE,chagas viviendas,viviendas roceadas,2010-02-01,2,2
CAPINOTA,chagas viviendas,viviendas roceadas,2010-02-01,18,18
CLIZA,chagas viviendas,viviendas roceadas,2010-02-01,3,3
COCHABAMBA,chagas viviendas,viviendas roceadas,2010-02-01,246,246
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2010-02-01,6,6
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2010-02-01,3,3
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2010-02-01,9,9
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas roceadas,2010-02-01,5,5
MAIRANA,chagas viviendas,viviendas roceadas,2010-02-01,32,32
