municipality,group,variable,month,Viviendas Evaluadas,TOTAL
ALALAY,chagas viviendas,viviendas evaluadas,2010-01-01,171,171
ALCALA,chagas viviendas,viviendas evaluadas,2010-01-01,28,28
ARANI,chagas viviendas,viviendas evaluadas,2010-01-01,185,185
ARQUE,chagas viviendas,viviendas evaluadas,2010-01-01,79,79
CAPINOTA,chagas viviendas,viviendas evaluadas,2010-01-01,116,116
CLIZA,chagas viviendas,viviendas evaluadas,2010-01-01,396,396
COCHABAMBA,chagas viviendas,viviendas evaluadas,2010-01-01,321,321
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2010-01-01,215,215
CULPINA,chagas viviendas,viviendas evaluadas,2010-01-01,3,3
EL TORNO,chagas viviendas,viviendas evaluadas,2010-01-01,86,86
FERNANDEZ ALONSO,chagas viviendas,viviendas evaluadas,2010-01-01,10,10
MAIRANA,chagas viviendas,viviendas evaluadas,2010-01-01,104,104
MIZQUE,chagas viviendas,viviendas evaluadas,2010-01-01,148,148
MOJOCOYA,chagas viviendas,viviendas evaluadas,2010-01-01,175,175
OMEREQUE,chagas viviendas,viviendas evaluadas,2010-01-01,185,185
POCONA,chagas viviendas,viviendas evaluadas,2010-01-01,451,451
POJO (CBBA),chagas viviendas,viviendas evaluadas,2010-01-01,3454,3454
PUCARA,chagas viviendas,viviendas evaluadas,2010-01-01,24,24
PUNATA,chagas viviendas,viviendas evaluadas,2010-01-01,288,288
SACABA,chagas viviendas,viviendas evaluadas,2010-01-01,213,213
SACABAMBA,chagas viviendas,viviendas evaluadas,2010-01-01,285,285
SAIPINA,chagas viviendas,viviendas evaluadas,2010-01-01,70,70
SAN BENITO,chagas viviendas,viviendas evaluadas,2010-01-01,204,204
SAN LUCAS,chagas viviendas,viviendas evaluadas,2010-01-01,1,1
SICAYA,chagas viviendas,viviendas evaluadas,2010-01-01,156,156
SIPE SIPE,chagas viviendas,viviendas evaluadas,2010-01-01,535,535
TAPACARI,chagas viviendas,viviendas evaluadas,2010-01-01,167,167
TARATA,chagas viviendas,viviendas evaluadas,2010-01-01,242,242
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2010-01-01,211,211
TOCO,chagas viviendas,viviendas evaluadas,2010-01-01,184,184
TOMAVE,chagas viviendas,viviendas evaluadas,2010-01-01,1,1
TOMINA,chagas viviendas,viviendas evaluadas,2010-01-01,399,399
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2010-01-01,6795,6795
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2010-01-01,194,194
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2010-01-01,204,204
VINTO,chagas viviendas,viviendas evaluadas,2010-01-01,155,155
VITICHI,chagas viviendas,viviendas evaluadas,2010-01-01,481,481
WARNES,chagas viviendas,viviendas evaluadas,2010-01-01,3,3
ZUDAÑEZ,chagas viviendas,viviendas evaluadas,2010-01-01,106,106
ALALAY,chagas viviendas,viviendas evaluadas,2010-02-01,141,141
ALCALA,chagas viviendas,viviendas evaluadas,2010-02-01,106,106
ANZALDO,chagas viviendas,viviendas evaluadas,2010-02-01,101,101
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2010-02-01,267,267
ARANI,chagas viviendas,viviendas evaluadas,2010-02-01,259,259
ARQUE,chagas viviendas,viviendas evaluadas,2010-02-01,58,58
CAPINOTA,chagas viviendas,viviendas evaluadas,2010-02-01,99,99
CLIZA,chagas viviendas,viviendas evaluadas,2010-02-01,312,312
COCHABAMBA,chagas viviendas,viviendas evaluadas,2010-02-01,864,864
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2010-02-01,172,172
COTAGAITA,chagas viviendas,viviendas evaluadas,2010-02-01,1154,1154
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2010-02-01,112,112
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2010-02-01,76,76
ENTRE RIOS TRJ,chagas viviendas,viviendas evaluadas,2010-02-01,141,141
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas evaluadas,2010-02-01,15,15
LAS CARRERAS,chagas viviendas,viviendas evaluadas,2010-02-01,349,349
MAIRANA,chagas viviendas,viviendas evaluadas,2010-02-01,90,90
MIZQUE,chagas viviendas,viviendas evaluadas,2010-02-01,111,111
PADCAYA,chagas viviendas,viviendas evaluadas,2010-02-01,150,150
PAILON,chagas viviendas,viviendas evaluadas,2010-02-01,2,2
POCOATA,chagas viviendas,viviendas evaluadas,2010-02-01,52,52
POCONA,chagas viviendas,viviendas evaluadas,2010-02-01,117,117
POJO (CBBA),chagas viviendas,viviendas evaluadas,2010-02-01,304,304
PORONGO,chagas viviendas,viviendas evaluadas,2010-02-01,53,53
PUCARA,chagas viviendas,viviendas evaluadas,2010-02-01,25,25
PUNATA,chagas viviendas,viviendas evaluadas,2010-02-01,226,226
QUIRUSILLAS,chagas viviendas,viviendas evaluadas,2010-02-01,3,3
SACABA,chagas viviendas,viviendas evaluadas,2010-02-01,427,427
SACABAMBA,chagas viviendas,viviendas evaluadas,2010-02-01,290,290
SAN BENITO,chagas viviendas,viviendas evaluadas,2010-02-01,168,168
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2010-02-01,209,209
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas evaluadas,2010-02-01,384,384
SICAYA,chagas viviendas,viviendas evaluadas,2010-02-01,118,118
SIPE SIPE,chagas viviendas,viviendas evaluadas,2010-02-01,478,478
TACACHI,chagas viviendas,viviendas evaluadas,2010-02-01,14,14
TACOPAYA,chagas viviendas,viviendas evaluadas,2010-02-01,78,78
TAPACARI,chagas viviendas,viviendas evaluadas,2010-02-01,163,163
TARATA,chagas viviendas,viviendas evaluadas,2010-02-01,198,198
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2010-02-01,19,19
TOCO,chagas viviendas,viviendas evaluadas,2010-02-01,179,179
TOLATA,chagas viviendas,viviendas evaluadas,2010-02-01,43,43
TOMAVE,chagas viviendas,viviendas evaluadas,2010-02-01,2,2
TOMINA,chagas viviendas,viviendas evaluadas,2010-02-01,484,484
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2010-02-01,446,446
TUPIZA,chagas viviendas,viviendas evaluadas,2010-02-01,277,277
VILA VILA,chagas viviendas,viviendas evaluadas,2010-02-01,167,167
VILLA MONTES,chagas viviendas,viviendas evaluadas,2010-02-01,220,220
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2010-02-01,204,204
VINTO,chagas viviendas,viviendas evaluadas,2010-02-01,146,146
VITICHI,chagas viviendas,viviendas evaluadas,2010-02-01,268,268
WARNES,chagas viviendas,viviendas evaluadas,2010-02-01,3,3
ACACIO,chagas viviendas,viviendas evaluadas,2010-03-01,109,109
AIQUILE,chagas viviendas,viviendas evaluadas,2010-03-01,144,144
ALALAY,chagas viviendas,viviendas evaluadas,2010-03-01,146,146
ALCALA,chagas viviendas,viviendas evaluadas,2010-03-01,422,422
ANZALDO,chagas viviendas,viviendas evaluadas,2010-03-01,102,102
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2010-03-01,181,181
ARANI,chagas viviendas,viviendas evaluadas,2010-03-01,532,532
ARBIETO,chagas viviendas,viviendas evaluadas,2010-03-01,161,161
ARQUE,chagas viviendas,viviendas evaluadas,2010-03-01,104,104
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2010-03-01,22,22
CAPINOTA,chagas viviendas,viviendas evaluadas,2010-03-01,138,138
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas evaluadas,2010-03-01,1107,1107
CLIZA,chagas viviendas,viviendas evaluadas,2010-03-01,319,319
COCHABAMBA,chagas viviendas,viviendas evaluadas,2010-03-01,960,960
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2010-03-01,203,203
CORIPATA,chagas viviendas,viviendas evaluadas,2010-03-01,2144,2144
COROICO,chagas viviendas,viviendas evaluadas,2010-03-01,4,4
COTAGAITA,chagas viviendas,viviendas evaluadas,2010-03-01,1296,1296
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2010-03-01,98,98
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2010-03-01,101,101
ENTRE RIOS TRJ,chagas viviendas,viviendas evaluadas,2010-03-01,352,352
GUTIERREZ,chagas viviendas,viviendas evaluadas,2010-03-01,79,79
INCAHUASI,chagas viviendas,viviendas evaluadas,2010-03-01,5,5
IRUPANA (VILLA DE LANZA),chagas viviendas,viviendas evaluadas,2010-03-01,266,266
MACHARETI,chagas viviendas,viviendas evaluadas,2010-03-01,74,74
MAIRANA,chagas viviendas,viviendas evaluadas,2010-03-01,90,90
MIZQUE,chagas viviendas,viviendas evaluadas,2010-03-01,205,205
MOJOCOYA,chagas viviendas,viviendas evaluadas,2010-03-01,53,53
MOROCHATA,chagas viviendas,viviendas evaluadas,2010-03-01,36,36
OCURI,chagas viviendas,viviendas evaluadas,2010-03-01,5,5
OMEREQUE,chagas viviendas,viviendas evaluadas,2010-03-01,156,156
PADCAYA,chagas viviendas,viviendas evaluadas,2010-03-01,146,146
POCOATA,chagas viviendas,viviendas evaluadas,2010-03-01,737,737
POCONA,chagas viviendas,viviendas evaluadas,2010-03-01,532,532
POJO (CBBA),chagas viviendas,viviendas evaluadas,2010-03-01,93,93
PUCARA,chagas viviendas,viviendas evaluadas,2010-03-01,18,18
PUNATA,chagas viviendas,viviendas evaluadas,2010-03-01,731,731
RAVELO,chagas viviendas,viviendas evaluadas,2010-03-01,573,573
SACABA,chagas viviendas,viviendas evaluadas,2010-03-01,520,520
SACABAMBA,chagas viviendas,viviendas evaluadas,2010-03-01,306,306
SAN BENITO,chagas viviendas,viviendas evaluadas,2010-03-01,172,172
SAN LORENZO(TJA),chagas viviendas,viviendas evaluadas,2010-03-01,488,488
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas evaluadas,2010-03-01,0,0
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2010-03-01,60,60
SAPAHAQUI,chagas viviendas,viviendas evaluadas,2010-03-01,339,339
SICAYA,chagas viviendas,viviendas evaluadas,2010-03-01,192,192
SIPE SIPE,chagas viviendas,viviendas evaluadas,2010-03-01,369,369
SOPACHUY,chagas viviendas,viviendas evaluadas,2010-03-01,142,142
TACACHI,chagas viviendas,viviendas evaluadas,2010-03-01,71,71
TACOPAYA,chagas viviendas,viviendas evaluadas,2010-03-01,128,128
TAPACARI,chagas viviendas,viviendas evaluadas,2010-03-01,226,226
TARATA,chagas viviendas,viviendas evaluadas,2010-03-01,139,139
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2010-03-01,255,255
TOCO,chagas viviendas,viviendas evaluadas,2010-03-01,114,114
TOLATA,chagas viviendas,viviendas evaluadas,2010-03-01,73,73
TOMAVE,chagas viviendas,viviendas evaluadas,2010-03-01,453,453
TOMINA,chagas viviendas,viviendas evaluadas,2010-03-01,656,656
TORO TORO,chagas viviendas,viviendas evaluadas,2010-03-01,294,294
TOTORA(CBBA),chagas viviendas,viviendas evaluadas,2010-03-01,1724,1724
TUPIZA,chagas viviendas,viviendas evaluadas,2010-03-01,802,802
URIONDO (A. CONCEPCION),chagas viviendas,viviendas evaluadas,2010-03-01,322,322
VILA VILA,chagas viviendas,viviendas evaluadas,2010-03-01,132,132
VILLA CHARCAS,chagas viviendas,viviendas evaluadas,2010-03-01,5,5
VILLA MONTES,chagas viviendas,viviendas evaluadas,2010-03-01,153,153
VILLA RIVERO,chagas viviendas,viviendas evaluadas,2010-03-01,270,270
VILLAZON,chagas viviendas,viviendas evaluadas,2010-03-01,88,88
VINTO,chagas viviendas,viviendas evaluadas,2010-03-01,143,143
VITICHI,chagas viviendas,viviendas evaluadas,2010-03-01,659,659
WARNES,chagas viviendas,viviendas evaluadas,2010-03-01,25,25
YACUIBA,chagas viviendas,viviendas evaluadas,2010-03-01,123,123
AIQUILE,chagas viviendas,viviendas evaluadas,2010-04-01,183,183
ALALAY,chagas viviendas,viviendas evaluadas,2010-04-01,112,112
ALCALA,chagas viviendas,viviendas evaluadas,2010-04-01,416,416
ANZALDO,chagas viviendas,viviendas evaluadas,2010-04-01,182,182
ARAMPAMPA,chagas viviendas,viviendas evaluadas,2010-04-01,210,210
ARANI,chagas viviendas,viviendas evaluadas,2010-04-01,484,484
ARBIETO,chagas viviendas,viviendas evaluadas,2010-04-01,230,230
ARQUE,chagas viviendas,viviendas evaluadas,2010-04-01,260,260
CABEZAS,chagas viviendas,viviendas evaluadas,2010-04-01,34,34
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2010-04-01,315,315
CAPINOTA,chagas viviendas,viviendas evaluadas,2010-04-01,139,139
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas evaluadas,2010-04-01,836,836
CLIZA,chagas viviendas,viviendas evaluadas,2010-04-01,289,289
COCHABAMBA,chagas viviendas,viviendas evaluadas,2010-04-01,403,403
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2010-04-01,123,123
COLQUECHACA,chagas viviendas,viviendas evaluadas,2010-04-01,3,3
COTAGAITA,chagas viviendas,viviendas evaluadas,2010-04-01,412,412
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2010-04-01,84,84
CULPINA,chagas viviendas,viviendas evaluadas,2010-04-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas evaluadas,2010-04-01,142,142
EL TORNO,chagas viviendas,viviendas evaluadas,2010-04-01,278,278
GUTIERREZ,chagas viviendas,viviendas evaluadas,2010-04-01,164,164
ICLA,chagas viviendas,viviendas evaluadas,2010-04-01,1,1
INCAHUASI,chagas viviendas,viviendas evaluadas,2010-04-01,5,5
LURIBAY,chagas viviendas,viviendas evaluadas,2010-04-01,483,483
MAIRANA,chagas viviendas,viviendas evaluadas,2010-04-01,107,107
MIZQUE,chagas viviendas,viviendas evaluadas,2010-04-01,1151,1151
MOJOCOYA,chagas viviendas,viviendas evaluadas,2010-04-01,6,6
MONTEAGUDO,chagas viviendas,viviendas evaluadas,2010-04-01,2347,2347
MOROCHATA,chagas viviendas,viviendas evaluadas,2010-04-01,205,205
OCURI,chagas viviendas,viviendas evaluadas,2010-04-01,147,147
OMEREQUE,chagas viviendas,viviendas evaluadas,2010-04-01,57,57
PADCAYA,chagas viviendas,viviendas evaluadas,2010-04-01,145,145
PAILON,chagas viviendas,viviendas evaluadas,2010-04-01,3,3
PASORAPA,chagas viviendas,viviendas evaluadas,2010-04-01,437,437
POCOATA,chagas viviendas,viviendas evaluadas,2010-04-01,168,168
POCONA,chagas viviendas,viviendas evaluadas,2010-04-01,138,138
