municipality,group,variable,month,Viviendas Positivas,TOTAL
ALCALA,chagas viviendas,viviendas positivas,2010-01-01,4,4
ARQUE,chagas viviendas,viviendas positivas,2010-01-01,1,1
CAPINOTA,chagas viviendas,viviendas positivas,2010-01-01,6,6
CLIZA,chagas viviendas,viviendas positivas,2010-01-01,6,6
COCHABAMBA,chagas viviendas,viviendas positivas,2010-01-01,93,93
CULPINA,chagas viviendas,viviendas positivas,2010-01-01,3,3
EL TORNO,chagas viviendas,viviendas positivas,2010-01-01,7,7
MAIRANA,chagas viviendas,viviendas positivas,2010-01-01,2,2
MIZQUE,chagas viviendas,viviendas positivas,2010-01-01,22,22
MOJOCOYA,chagas viviendas,viviendas positivas,2010-01-01,12,12
OMEREQUE,chagas viviendas,viviendas positivas,2010-01-01,29,29
POCONA,chagas viviendas,viviendas positivas,2010-01-01,1,1
POJO (CBBA),chagas viviendas,viviendas positivas,2010-01-01,102,102
PUNATA,chagas viviendas,viviendas positivas,2010-01-01,7,7
SACABA,chagas viviendas,viviendas positivas,2010-01-01,2,2
SAIPINA,chagas viviendas,viviendas positivas,2010-01-01,2,2
SAN BENITO,chagas viviendas,viviendas positivas,2010-01-01,2,2
SAN LUCAS,chagas viviendas,viviendas positivas,2010-01-01,1,1
SICAYA,chagas viviendas,viviendas positivas,2010-01-01,2,2
SIPE SIPE,chagas viviendas,viviendas positivas,2010-01-01,1,1
TAPACARI,chagas viviendas,viviendas positivas,2010-01-01,6,6
TARATA,chagas viviendas,viviendas positivas,2010-01-01,3,3
TIQUIPAYA,chagas viviendas,viviendas positivas,2010-01-01,1,1
TOMAVE,chagas viviendas,viviendas positivas,2010-01-01,1,1
TOMINA,chagas viviendas,viviendas positivas,2010-01-01,38,38
TOTORA(CBBA),chagas viviendas,viviendas positivas,2010-01-01,108,108
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2010-01-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2010-01-01,5,5
WARNES,chagas viviendas,viviendas positivas,2010-01-01,3,3
ZUDAÑEZ,chagas viviendas,viviendas positivas,2010-01-01,17,17
ALCALA,chagas viviendas,viviendas positivas,2010-02-01,15,15
ANZALDO,chagas viviendas,viviendas positivas,2010-02-01,4,4
ARAMPAMPA,chagas viviendas,viviendas positivas,2010-02-01,1,1
ARANI,chagas viviendas,viviendas positivas,2010-02-01,2,2
ARQUE,chagas viviendas,viviendas positivas,2010-02-01,2,2
CAPINOTA,chagas viviendas,viviendas positivas,2010-02-01,4,4
CLIZA,chagas viviendas,viviendas positivas,2010-02-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2010-02-01,151,151
COLCAPIRHUA,chagas viviendas,viviendas positivas,2010-02-01,2,2
COTAGAITA,chagas viviendas,viviendas positivas,2010-02-01,7,7
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2010-02-01,68,68
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2010-02-01,5,5
LA GUARDIA,chagas viviendas,viviendas positivas,2010-02-01,1,1
LAS CARRERAS,chagas viviendas,viviendas positivas,2010-02-01,38,38
MAIRANA,chagas viviendas,viviendas positivas,2010-02-01,1,1
MIZQUE,chagas viviendas,viviendas positivas,2010-02-01,11,11
PADCAYA,chagas viviendas,viviendas positivas,2010-02-01,2,2
PAILON,chagas viviendas,viviendas positivas,2010-02-01,2,2
POJO (CBBA),chagas viviendas,viviendas positivas,2010-02-01,2,2
PORONGO,chagas viviendas,viviendas positivas,2010-02-01,25,25
PUNATA,chagas viviendas,viviendas positivas,2010-02-01,2,2
SACABA,chagas viviendas,viviendas positivas,2010-02-01,6,6
SAN BENITO,chagas viviendas,viviendas positivas,2010-02-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2010-02-01,11,11
SAN PEDRO DE BUENA VISTA,chagas viviendas,viviendas positivas,2010-02-01,8,8
SICAYA,chagas viviendas,viviendas positivas,2010-02-01,1,1
SIPE SIPE,chagas viviendas,viviendas positivas,2010-02-01,3,3
TACOPAYA,chagas viviendas,viviendas positivas,2010-02-01,1,1
TAPACARI,chagas viviendas,viviendas positivas,2010-02-01,3,3
TOMAVE,chagas viviendas,viviendas positivas,2010-02-01,2,2
TOMINA,chagas viviendas,viviendas positivas,2010-02-01,27,27
TOTORA(CBBA),chagas viviendas,viviendas positivas,2010-02-01,2,2
TUPIZA,chagas viviendas,viviendas positivas,2010-02-01,1,1
VILA VILA,chagas viviendas,viviendas positivas,2010-02-01,5,5
VILLA MONTES,chagas viviendas,viviendas positivas,2010-02-01,51,51
VINTO,chagas viviendas,viviendas positivas,2010-02-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2010-02-01,5,5
WARNES,chagas viviendas,viviendas positivas,2010-02-01,1,1
AIQUILE,chagas viviendas,viviendas positivas,2010-03-01,17,17
ALALAY,chagas viviendas,viviendas positivas,2010-03-01,3,3
ALCALA,chagas viviendas,viviendas positivas,2010-03-01,5,5
ANZALDO,chagas viviendas,viviendas positivas,2010-03-01,7,7
ARAMPAMPA,chagas viviendas,viviendas positivas,2010-03-01,2,2
ARANI,chagas viviendas,viviendas positivas,2010-03-01,13,13
ARQUE,chagas viviendas,viviendas positivas,2010-03-01,2,2
"CAIZA ""D""",chagas viviendas,viviendas positivas,2010-03-01,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas positivas,2010-03-01,14,14
CLIZA,chagas viviendas,viviendas positivas,2010-03-01,8,8
COCHABAMBA,chagas viviendas,viviendas positivas,2010-03-01,122,122
CORIPATA,chagas viviendas,viviendas positivas,2010-03-01,26,26
COROICO,chagas viviendas,viviendas positivas,2010-03-01,1,1
COTAGAITA,chagas viviendas,viviendas positivas,2010-03-01,24,24
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2010-03-01,3,3
ENTRE RIOS TRJ,chagas viviendas,viviendas positivas,2010-03-01,42,42
GUTIERREZ,chagas viviendas,viviendas positivas,2010-03-01,13,13
LAS CARRERAS,chagas viviendas,viviendas positivas,2010-03-01,3,3
MACHARETI,chagas viviendas,viviendas positivas,2010-03-01,53,53
MAIRANA,chagas viviendas,viviendas positivas,2010-03-01,2,2
MIZQUE,chagas viviendas,viviendas positivas,2010-03-01,11,11
MOJOCOYA,chagas viviendas,viviendas positivas,2010-03-01,8,8
OMEREQUE,chagas viviendas,viviendas positivas,2010-03-01,6,6
POCONA,chagas viviendas,viviendas positivas,2010-03-01,2,2
POJO (CBBA),chagas viviendas,viviendas positivas,2010-03-01,3,3
PUNATA,chagas viviendas,viviendas positivas,2010-03-01,16,16
RAVELO,chagas viviendas,viviendas positivas,2010-03-01,2,2
SACABA,chagas viviendas,viviendas positivas,2010-03-01,2,2
SAN LORENZO(TJA),chagas viviendas,viviendas positivas,2010-03-01,2,2
SANTA CRUZ DE LA SIERRA,chagas viviendas,viviendas positivas,2010-03-01,0,0
SANTIVAÑES,chagas viviendas,viviendas positivas,2010-03-01,2,2
SAPAHAQUI,chagas viviendas,viviendas positivas,2010-03-01,1,1
SICAYA,chagas viviendas,viviendas positivas,2010-03-01,3,3
SIPE SIPE,chagas viviendas,viviendas positivas,2010-03-01,6,6
TACACHI,chagas viviendas,viviendas positivas,2010-03-01,1,1
TACOPAYA,chagas viviendas,viviendas positivas,2010-03-01,1,1
TAPACARI,chagas viviendas,viviendas positivas,2010-03-01,3,3
TOCO,chagas viviendas,viviendas positivas,2010-03-01,1,1
TOMAVE,chagas viviendas,viviendas positivas,2010-03-01,3,3
TOMINA,chagas viviendas,viviendas positivas,2010-03-01,64,64
TOTORA(CBBA),chagas viviendas,viviendas positivas,2010-03-01,13,13
TUPIZA,chagas viviendas,viviendas positivas,2010-03-01,9,9
URIONDO (A. CONCEPCION),chagas viviendas,viviendas positivas,2010-03-01,5,5
VILA VILA,chagas viviendas,viviendas positivas,2010-03-01,2,2
VILLA MONTES,chagas viviendas,viviendas positivas,2010-03-01,33,33
VILLA RIVERO,chagas viviendas,viviendas positivas,2010-03-01,4,4
VINTO,chagas viviendas,viviendas positivas,2010-03-01,5,5
VITICHI,chagas viviendas,viviendas positivas,2010-03-01,16,16
WARNES,chagas viviendas,viviendas positivas,2010-03-01,3,3
AIQUILE,chagas viviendas,viviendas positivas,2010-04-01,20,20
ALCALA,chagas viviendas,viviendas positivas,2010-04-01,7,7
ANZALDO,chagas viviendas,viviendas positivas,2010-04-01,16,16
ARAMPAMPA,chagas viviendas,viviendas positivas,2010-04-01,3,3
ARANI,chagas viviendas,viviendas positivas,2010-04-01,12,12
ARQUE,chagas viviendas,viviendas positivas,2010-04-01,7,7
CABEZAS,chagas viviendas,viviendas positivas,2010-04-01,7,7
"CAIZA ""D""",chagas viviendas,viviendas positivas,2010-04-01,8,8
CAPINOTA,chagas viviendas,viviendas positivas,2010-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),chagas viviendas,viviendas positivas,2010-04-01,4,4
CLIZA,chagas viviendas,viviendas positivas,2010-04-01,5,5
COCHABAMBA,chagas viviendas,viviendas positivas,2010-04-01,69,69
COLCAPIRHUA,chagas viviendas,viviendas positivas,2010-04-01,1,1
COLQUECHACA,chagas viviendas,viviendas positivas,2010-04-01,2,2
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2010-04-01,1,1
CULPINA,chagas viviendas,viviendas positivas,2010-04-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2010-04-01,1,1
EL TORNO,chagas viviendas,viviendas positivas,2010-04-01,27,27
GUTIERREZ,chagas viviendas,viviendas positivas,2010-04-01,34,34
ICLA,chagas viviendas,viviendas positivas,2010-04-01,1,1
LURIBAY,chagas viviendas,viviendas positivas,2010-04-01,15,15
MACHARETI,chagas viviendas,viviendas positivas,2010-04-01,1,1
MAIRANA,chagas viviendas,viviendas positivas,2010-04-01,4,4
MIZQUE,chagas viviendas,viviendas positivas,2010-04-01,36,36
