municipality,group,variable,month,Viviendas Roceadas,TOTAL
AIQUILE,chagas viviendas,viviendas roceadas,2019-01-01,18,18
ANZALDO,chagas viviendas,viviendas roceadas,2019-01-01,16,16
ARANI,chagas viviendas,viviendas roceadas,2019-01-01,7,7
ARQUE,chagas viviendas,viviendas roceadas,2019-01-01,26,26
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas roceadas,2019-01-01,7,7
BOYUIBE,chagas viviendas,viviendas roceadas,2019-01-01,4,4
"CAIZA ""D""",chagas viviendas,viviendas roceadas,2019-01-01,2,2
CAMARGO,chagas viviendas,viviendas roceadas,2019-01-01,5,5
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2019-01-01,4,4
CAPINOTA,chagas viviendas,viviendas roceadas,2019-01-01,3,3
CLIZA,chagas viviendas,viviendas roceadas,2019-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas roceadas,2019-01-01,8,8
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2019-01-01,18,18
COTAGAITA,chagas viviendas,viviendas roceadas,2019-01-01,5,5
CUATRO CAÑADAS,chagas viviendas,viviendas roceadas,2019-01-01,6,6
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas roceadas,2019-01-01,4,4
EL PUENTE(TJA),chagas viviendas,viviendas roceadas,2019-01-01,1,1
HUACARETA,chagas viviendas,viviendas roceadas,2019-01-01,18,18
ICLA,chagas viviendas,viviendas roceadas,2019-01-01,3,3
MIZQUE,chagas viviendas,viviendas roceadas,2019-01-01,15,15
PADCAYA,chagas viviendas,viviendas roceadas,2019-01-01,10,10
PUNA,chagas viviendas,viviendas roceadas,2019-01-01,3,3
QUILLACOLLO,chagas viviendas,viviendas roceadas,2019-01-01,3,3
SACABA,chagas viviendas,viviendas roceadas,2019-01-01,3,3
SAN BENITO,chagas viviendas,viviendas roceadas,2019-01-01,3,3
SICAYA,chagas viviendas,viviendas roceadas,2019-01-01,2,2
SIPE SIPE,chagas viviendas,viviendas roceadas,2019-01-01,32,32
TAPACARI,chagas viviendas,viviendas roceadas,2019-01-01,5,5
TARIJA,chagas viviendas,viviendas roceadas,2019-01-01,28,28
TIQUIPAYA,chagas viviendas,viviendas roceadas,2019-01-01,5,5
TOMAVE,chagas viviendas,viviendas roceadas,2019-01-01,2,2
VILLA RIVERO,chagas viviendas,viviendas roceadas,2019-01-01,2,2
VINTO,chagas viviendas,viviendas roceadas,2019-01-01,2,2
AIQUILE,chagas viviendas,viviendas roceadas,2019-02-01,46,46
ANZALDO,chagas viviendas,viviendas roceadas,2019-02-01,55,55
ARANI,chagas viviendas,viviendas roceadas,2019-02-01,7,7
ARBIETO,chagas viviendas,viviendas roceadas,2019-02-01,11,11
ARQUE,chagas viviendas,viviendas roceadas,2019-02-01,10,10
BOYUIBE,chagas viviendas,viviendas roceadas,2019-02-01,2,2
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas roceadas,2019-02-01,7,7
CLIZA,chagas viviendas,viviendas roceadas,2019-02-01,2,2
COCHABAMBA,chagas viviendas,viviendas roceadas,2019-02-01,35,35
COLCAPIRHUA,chagas viviendas,viviendas roceadas,2019-02-01,27,27
COTAGAITA,chagas viviendas,viviendas roceadas,2019-02-01,2,2
CUATRO CAÑADAS,chagas viviendas,viviendas roceadas,2019-02-01,7,7
HUACARETA,chagas viviendas,viviendas roceadas,2019-02-01,2,2
ICLA,chagas viviendas,viviendas roceadas,2019-02-01,7,7
