municipality,group,variable,month,Viviendas Positivas,TOTAL
ANZALDO,chagas viviendas,viviendas positivas,2019-01-01,1,1
ARANI,chagas viviendas,viviendas positivas,2019-01-01,4,4
ARQUE,chagas viviendas,viviendas positivas,2019-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas positivas,2019-01-01,7,7
BOYUIBE,chagas viviendas,viviendas positivas,2019-01-01,4,4
"CAIZA ""D""",chagas viviendas,viviendas positivas,2019-01-01,1,1
CAMARGO,chagas viviendas,viviendas positivas,2019-01-01,5,5
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2019-01-01,4,4
CAPINOTA,chagas viviendas,viviendas positivas,2019-01-01,4,4
CLIZA,chagas viviendas,viviendas positivas,2019-01-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2019-01-01,3,3
COTAGAITA,chagas viviendas,viviendas positivas,2019-01-01,4,4
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas positivas,2019-01-01,1,1
HUACARETA,chagas viviendas,viviendas positivas,2019-01-01,13,13
ICLA,chagas viviendas,viviendas positivas,2019-01-01,1,1
MIZQUE,chagas viviendas,viviendas positivas,2019-01-01,14,14
PUNA,chagas viviendas,viviendas positivas,2019-01-01,2,2
SAN BENITO,chagas viviendas,viviendas positivas,2019-01-01,2,2
SANTIVAÑES,chagas viviendas,viviendas positivas,2019-01-01,2,2
SIPE SIPE,chagas viviendas,viviendas positivas,2019-01-01,10,10
TAPACARI,chagas viviendas,viviendas positivas,2019-01-01,3,3
TIQUIPAYA,chagas viviendas,viviendas positivas,2019-01-01,1,1
TOMAVE,chagas viviendas,viviendas positivas,2019-01-01,1,1
VILLA RIVERO,chagas viviendas,viviendas positivas,2019-01-01,1,1
VITICHI,chagas viviendas,viviendas positivas,2019-01-01,4,4
YAMPARAEZ,chagas viviendas,viviendas positivas,2019-01-01,25,25
AIQUILE,chagas viviendas,viviendas positivas,2019-02-01,1,1
ARANI,chagas viviendas,viviendas positivas,2019-02-01,5,5
ARBIETO,chagas viviendas,viviendas positivas,2019-02-01,1,1
ARQUE,chagas viviendas,viviendas positivas,2019-02-01,7,7
BOYUIBE,chagas viviendas,viviendas positivas,2019-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas positivas,2019-02-01,7,7
CAPINOTA,chagas viviendas,viviendas positivas,2019-02-01,7,7
CARAPARI,chagas viviendas,viviendas positivas,2019-02-01,1,1
CLIZA,chagas viviendas,viviendas positivas,2019-02-01,1,1
COCHABAMBA,chagas viviendas,viviendas positivas,2019-02-01,13,13
COTAGAITA,chagas viviendas,viviendas positivas,2019-02-01,1,1
EL PUENTE(TJA),chagas viviendas,viviendas positivas,2019-02-01,1,1
HUACARETA,chagas viviendas,viviendas positivas,2019-02-01,2,2
HUACAYA (VILLA DE HUACAYA),chagas viviendas,viviendas positivas,2019-02-01,4,4
LAS CARRERAS,chagas viviendas,viviendas positivas,2019-02-01,3,3
MIZQUE,chagas viviendas,viviendas positivas,2019-02-01,5,5
MOJOCOYA,chagas viviendas,viviendas positivas,2019-02-01,7,7
OMEREQUE,chagas viviendas,viviendas positivas,2019-02-01,1,1
PRESTO,chagas viviendas,viviendas positivas,2019-02-01,16,16
QUILLACOLLO,chagas viviendas,viviendas positivas,2019-02-01,1,1
SAN BENITO,chagas viviendas,viviendas positivas,2019-02-01,2,2
