municipality,group,variable,month,Viviendas Evaluadas,TOTAL
ACACIO,chagas viviendas,viviendas evaluadas,2019-01-01,90,90
AIQUILE,chagas viviendas,viviendas evaluadas,2019-01-01,698,698
ANZALDO,chagas viviendas,viviendas evaluadas,2019-01-01,543,543
ARANI,chagas viviendas,viviendas evaluadas,2019-01-01,267,267
ARQUE,chagas viviendas,viviendas evaluadas,2019-01-01,70,70
AYOPAYA (V. DE INDEPENDENCIA),chagas viviendas,viviendas evaluadas,2019-01-01,7,7
BOYUIBE,chagas viviendas,viviendas evaluadas,2019-01-01,4,4
"CAIZA ""D""",chagas viviendas,viviendas evaluadas,2019-01-01,160,160
CAMARGO,chagas viviendas,viviendas evaluadas,2019-01-01,255,255
CAMATAQUI (C. VILLA ABECIA),chagas viviendas,viviendas evaluadas,2019-01-01,55,55
CAPINOTA,chagas viviendas,viviendas evaluadas,2019-01-01,578,578
CLIZA,chagas viviendas,viviendas evaluadas,2019-01-01,262,262
COCHABAMBA,chagas viviendas,viviendas evaluadas,2019-01-01,894,894
COLCAPIRHUA,chagas viviendas,viviendas evaluadas,2019-01-01,173,173
COLQUECHACA,chagas viviendas,viviendas evaluadas,2019-01-01,174,174
COTAGAITA,chagas viviendas,viviendas evaluadas,2019-01-01,443,443
CUATRO CAÑADAS,chagas viviendas,viviendas evaluadas,2019-01-01,220,220
CUCHUMUELA (V. G. VILLARROEL),chagas viviendas,viviendas evaluadas,2019-01-01,115,115
HUACARETA,chagas viviendas,viviendas evaluadas,2019-01-01,181,181
ICLA,chagas viviendas,viviendas evaluadas,2019-01-01,82,82
MIZQUE,chagas viviendas,viviendas evaluadas,2019-01-01,300,300
OMEREQUE,chagas viviendas,viviendas evaluadas,2019-01-01,70,70
PUNA,chagas viviendas,viviendas evaluadas,2019-01-01,256,256
PUNATA,chagas viviendas,viviendas evaluadas,2019-01-01,56,56
QUILLACOLLO,chagas viviendas,viviendas evaluadas,2019-01-01,580,580
SACABA,chagas viviendas,viviendas evaluadas,2019-01-01,770,770
SAN BENITO,chagas viviendas,viviendas evaluadas,2019-01-01,272,272
SANTIVAÑES,chagas viviendas,viviendas evaluadas,2019-01-01,49,49
SICAYA,chagas viviendas,viviendas evaluadas,2019-01-01,80,80
SIPE SIPE,chagas viviendas,viviendas evaluadas,2019-01-01,287,287
TACACHI,chagas viviendas,viviendas evaluadas,2019-01-01,138,138
TACOPAYA,chagas viviendas,viviendas evaluadas,2019-01-01,200,200
TAPACARI,chagas viviendas,viviendas evaluadas,2019-01-01,187,187
TIQUIPAYA,chagas viviendas,viviendas evaluadas,2019-01-01,315,315
TOLATA,chagas viviendas,viviendas evaluadas,2019-01-01,135,135
TOMAVE,chagas viviendas,viviendas evaluadas,2019-01-01,135,135
TUPIZA,chagas viviendas,viviendas evaluadas,2019-01-01,128,128
VALLEGRANDE,chagas viviendas,viviendas evaluadas,2019-01-01,120,120
