municipality,group,variable,month,Viviendas positivas,TOTAL
ARANI,chagas,viviendas  positivas,2009-01-01,1,1
CAPINOTA,chagas,viviendas  positivas,2009-01-01,5,5
COCHABAMBA,chagas,viviendas  positivas,2009-01-01,33,33
COLQUECHACA,chagas,viviendas  positivas,2009-01-01,1,1
COMARAPA,chagas,viviendas  positivas,2009-01-01,8,8
COTAGAITA,chagas,viviendas  positivas,2009-01-01,13,13
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas  positivas,2009-01-01,3,3
EL PUENTE(TJA),chagas,viviendas  positivas,2009-01-01,2,2
HUACARETA,chagas,viviendas  positivas,2009-01-01,13,13
LAS CARRERAS,chagas,viviendas  positivas,2009-01-01,12,12
MOJOCOYA,chagas,viviendas  positivas,2009-01-01,15,15
OMEREQUE,chagas,viviendas  positivas,2009-01-01,7,7
PAILON,chagas,viviendas  positivas,2009-01-01,35,35
PASORAPA,chagas,viviendas  positivas,2009-01-01,1,1
POJO (CBBA),chagas,viviendas  positivas,2009-01-01,26,26
QUIRUSILLAS,chagas,viviendas  positivas,2009-01-01,1,1
SACABA,chagas,viviendas  positivas,2009-01-01,6,6
SAIPINA,chagas,viviendas  positivas,2009-01-01,2,2
SAN LORENZO(TJA),chagas,viviendas  positivas,2009-01-01,3,3
SANTA CRUZ DE LA SIERRA,chagas,viviendas  positivas,2009-01-01,0,0
SANTIVAÑES,chagas,viviendas  positivas,2009-01-01,3,3
SICAYA,chagas,viviendas  positivas,2009-01-01,17,17
SIPE SIPE,chagas,viviendas  positivas,2009-01-01,7,7
TACOPAYA,chagas,viviendas  positivas,2009-01-01,3,3
TIQUIPAYA,chagas,viviendas  positivas,2009-01-01,6,6
TOTORA(CBBA),chagas,viviendas  positivas,2009-01-01,4,4
TUPIZA,chagas,viviendas  positivas,2009-01-01,1,1
URIONDO (A. CONCEPCION),chagas,viviendas  positivas,2009-01-01,4,4
VILLA RIVERO,chagas,viviendas  positivas,2009-01-01,7,7
VITICHI,chagas,viviendas  positivas,2009-01-01,4,4
YUNCHARA,chagas,viviendas  positivas,2009-01-01,3,3
ACACIO,chagas,viviendas  positivas,2009-02-01,1,1
ALALAY,chagas,viviendas  positivas,2009-02-01,3,3
ANZALDO,chagas,viviendas  positivas,2009-02-01,13,13
ARAMPAMPA,chagas,viviendas  positivas,2009-02-01,1,1
ARANI,chagas,viviendas  positivas,2009-02-01,1,1
ARQUE,chagas,viviendas  positivas,2009-02-01,6,6
CAMATAQUI (C. VILLA ABECIA),chagas,viviendas  positivas,2009-02-01,2,2
CLIZA,chagas,viviendas  positivas,2009-02-01,2,2
COCHABAMBA,chagas,viviendas  positivas,2009-02-01,13,13
COLCAPIRHUA,chagas,viviendas  positivas,2009-02-01,2,2
COTAGAITA,chagas,viviendas  positivas,2009-02-01,2,2
GUTIERREZ,chagas,viviendas  positivas,2009-02-01,2,2
LA ASUNTA,chagas,viviendas  positivas,2009-02-01,4,4
LAGUNILLAS,chagas,viviendas  positivas,2009-02-01,1,1
LURIBAY,chagas,viviendas  positivas,2009-02-01,2,2
MAIRANA,chagas,viviendas  positivas,2009-02-01,4,4
MONTEAGUDO,chagas,viviendas  positivas,2009-02-01,1,1
OMEREQUE,chagas,viviendas  positivas,2009-02-01,8,8
PASORAPA,chagas,viviendas  positivas,2009-02-01,14,14
POCONA,chagas,viviendas  positivas,2009-02-01,2,2
POJO (CBBA),chagas,viviendas  positivas,2009-02-01,11,11
QUIRUSILLAS,chagas,viviendas  positivas,2009-02-01,4,4
SACABA,chagas,viviendas  positivas,2009-02-01,3,3
SAIPINA,chagas,viviendas  positivas,2009-02-01,4,4
SAN BENITO,chagas,viviendas  positivas,2009-02-01,15,15
SAN LORENZO(TJA),chagas,viviendas  positivas,2009-02-01,2,2
SANTA CRUZ DE LA SIERRA,chagas,viviendas  positivas,2009-02-01,0,0
SIPE SIPE,chagas,viviendas  positivas,2009-02-01,1,1
TAPACARI,chagas,viviendas  positivas,2009-02-01,3,3
TIQUIPAYA,chagas,viviendas  positivas,2009-02-01,1,1
TOTORA(CBBA),chagas,viviendas  positivas,2009-02-01,5,5
URIONDO (A. CONCEPCION),chagas,viviendas  positivas,2009-02-01,1,1
VALLEGRANDE,chagas,viviendas  positivas,2009-02-01,1,1
VILA VILA,chagas,viviendas  positivas,2009-02-01,15,15
VILLA RIVERO,chagas,viviendas  positivas,2009-02-01,7,7
VINTO,chagas,viviendas  positivas,2009-02-01,1,1
AIQUILE,chagas,viviendas  positivas,2009-03-01,14,14
ANZALDO,chagas,viviendas  positivas,2009-03-01,10,10
ARAMPAMPA,chagas,viviendas  positivas,2009-03-01,3,3
ARBIETO,chagas,viviendas  positivas,2009-03-01,2,2
