municipality,group,variable,month,Viviendas evaluadas,TOTAL
ARANI,chagas,viviendas evaluadas,2009-01-01,437,437
CAPINOTA,chagas,viviendas evaluadas,2009-01-01,40,40
CLIZA,chagas,viviendas evaluadas,2009-01-01,225,225
COCHABAMBA,chagas,viviendas evaluadas,2009-01-01,106,106
COLQUECHACA,chagas,viviendas evaluadas,2009-01-01,5,5
COMARAPA,chagas,viviendas evaluadas,2009-01-01,134,134
COTAGAITA,chagas,viviendas evaluadas,2009-01-01,937,937
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas evaluadas,2009-01-01,97,97
EL PUENTE(TJA),chagas,viviendas evaluadas,2009-01-01,82,82
GUTIERREZ,chagas,viviendas evaluadas,2009-01-01,12,12
HUACARETA,chagas,viviendas evaluadas,2009-01-01,15,15
LAS CARRERAS,chagas,viviendas evaluadas,2009-01-01,150,150
MOJOCOYA,chagas,viviendas evaluadas,2009-01-01,61,61
OMEREQUE,chagas,viviendas evaluadas,2009-01-01,255,255
PADCAYA,chagas,viviendas evaluadas,2009-01-01,55,55
PADILLA,chagas,viviendas evaluadas,2009-01-01,234,234
PAILON,chagas,viviendas evaluadas,2009-01-01,225,225
PASORAPA,chagas,viviendas evaluadas,2009-01-01,23,23
POCONA,chagas,viviendas evaluadas,2009-01-01,174,174
POJO (CBBA),chagas,viviendas evaluadas,2009-01-01,784,784
PORONGO,chagas,viviendas evaluadas,2009-01-01,85,85
POSTRER VALLE,chagas,viviendas evaluadas,2009-01-01,219,219
PUCARA,chagas,viviendas evaluadas,2009-01-01,13,13
QUIRUSILLAS,chagas,viviendas evaluadas,2009-01-01,88,88
SACABA,chagas,viviendas evaluadas,2009-01-01,495,495
SACABAMBA,chagas,viviendas evaluadas,2009-01-01,307,307
SAIPINA,chagas,viviendas evaluadas,2009-01-01,74,74
SAN LORENZO(TJA),chagas,viviendas evaluadas,2009-01-01,234,234
SANTA CRUZ DE LA SIERRA,chagas,viviendas evaluadas,2009-01-01,0,0
SANTIVAÑES,chagas,viviendas evaluadas,2009-01-01,171,171
SICAYA,chagas,viviendas evaluadas,2009-01-01,17,17
SIPE SIPE,chagas,viviendas evaluadas,2009-01-01,262,262
SUCRE,chagas,viviendas evaluadas,2009-01-01,190,190
TACOPAYA,chagas,viviendas evaluadas,2009-01-01,3,3
TAPACARI,chagas,viviendas evaluadas,2009-01-01,138,138
TARATA,chagas,viviendas evaluadas,2009-01-01,215,215
TIQUIPAYA,chagas,viviendas evaluadas,2009-01-01,116,116
TOCO,chagas,viviendas evaluadas,2009-01-01,194,194
TOLATA,chagas,viviendas evaluadas,2009-01-01,88,88
TOTORA(CBBA),chagas,viviendas evaluadas,2009-01-01,404,404
URIONDO (A. CONCEPCION),chagas,viviendas evaluadas,2009-01-01,276,276
VILLA RIVERO,chagas,viviendas evaluadas,2009-01-01,261,261
VINTO,chagas,viviendas evaluadas,2009-01-01,199,199
VITICHI,chagas,viviendas evaluadas,2009-01-01,205,205
YACUIBA,chagas,viviendas evaluadas,2009-01-01,24,24
YUNCHARA,chagas,viviendas evaluadas,2009-01-01,44,44
ACACIO,chagas,viviendas evaluadas,2009-02-01,180,180
AIQUILE,chagas,viviendas evaluadas,2009-02-01,1,1
ALALAY,chagas,viviendas evaluadas,2009-02-01,131,131
ANZALDO,chagas,viviendas evaluadas,2009-02-01,217,217
ARAMPAMPA,chagas,viviendas evaluadas,2009-02-01,266,266
ARANI,chagas,viviendas evaluadas,2009-02-01,403,403
ARQUE,chagas,viviendas evaluadas,2009-02-01,30,30
CABEZAS,chagas,viviendas evaluadas,2009-02-01,200,200
CLIZA,chagas,viviendas evaluadas,2009-02-01,161,161
COCHABAMBA,chagas,viviendas evaluadas,2009-02-01,55,55
COLCAPIRHUA,chagas,viviendas evaluadas,2009-02-01,251,251
COTAGAITA,chagas,viviendas evaluadas,2009-02-01,269,269
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas evaluadas,2009-02-01,110,110
EL PUENTE(TJA),chagas,viviendas evaluadas,2009-02-01,185,185
GUTIERREZ,chagas,viviendas evaluadas,2009-02-01,16,16
HUACAYA (VILLA DE HUACAYA),chagas,viviendas evaluadas,2009-02-01,12,12
LA ASUNTA,chagas,viviendas evaluadas,2009-02-01,2,2
LAGUNILLAS,chagas,viviendas evaluadas,2009-02-01,57,57
LURIBAY,chagas,viviendas evaluadas,2009-02-01,125,125
MAIRANA,chagas,viviendas evaluadas,2009-02-01,97,97
OMEREQUE,chagas,viviendas evaluadas,2009-02-01,45,45
PADCAYA,chagas,viviendas evaluadas,2009-02-01,48,48
PASORAPA,chagas,viviendas evaluadas,2009-02-01,99,99
POCONA,chagas,viviendas evaluadas,2009-02-01,369,369
POJO (CBBA),chagas,viviendas evaluadas,2009-02-01,234,234
POSTRER VALLE,chagas,viviendas evaluadas,2009-02-01,18,18
PUCARA,chagas,viviendas evaluadas,2009-02-01,24,24
QUIRUSILLAS,chagas,viviendas evaluadas,2009-02-01,29,29
SACABA,chagas,viviendas evaluadas,2009-02-01,271,271
SACABAMBA,chagas,viviendas evaluadas,2009-02-01,253,253
SAIPINA,chagas,viviendas evaluadas,2009-02-01,100,100
SAMAIPATA,chagas,viviendas evaluadas,2009-02-01,81,81
SAN BENITO,chagas,viviendas evaluadas,2009-02-01,71,71
SAN LORENZO(TJA),chagas,viviendas evaluadas,2009-02-01,128,128
SANTA CRUZ DE LA SIERRA,chagas,viviendas evaluadas,2009-02-01,0,0
SIPE SIPE,chagas,viviendas evaluadas,2009-02-01,145,145
TACOPAYA,chagas,viviendas evaluadas,2009-02-01,134,134
TAPACARI,chagas,viviendas evaluadas,2009-02-01,154,154
TARATA,chagas,viviendas evaluadas,2009-02-01,273,273
TIQUIPAYA,chagas,viviendas evaluadas,2009-02-01,165,165
TOCO,chagas,viviendas evaluadas,2009-02-01,346,346
TORO TORO,chagas,viviendas evaluadas,2009-02-01,70,70
TOTORA(CBBA),chagas,viviendas evaluadas,2009-02-01,873,873
URIONDO (A. CONCEPCION),chagas,viviendas evaluadas,2009-02-01,139,139
VALLEGRANDE,chagas,viviendas evaluadas,2009-02-01,51,51
VILA VILA,chagas,viviendas evaluadas,2009-02-01,105,105
VILLA RIVERO,chagas,viviendas evaluadas,2009-02-01,223,223
VINTO,chagas,viviendas evaluadas,2009-02-01,159,159
VITICHI,chagas,viviendas evaluadas,2009-02-01,477,477
YUNCHARA,chagas,viviendas evaluadas,2009-02-01,122,122
ACACIO,chagas,viviendas evaluadas,2009-03-01,163,163
AIQUILE,chagas,viviendas evaluadas,2009-03-01,120,120
ANZALDO,chagas,viviendas evaluadas,2009-03-01,48,48
ARAMPAMPA,chagas,viviendas evaluadas,2009-03-01,188,188
ARBIETO,chagas,viviendas evaluadas,2009-03-01,105,105
ARQUE,chagas,viviendas evaluadas,2009-03-01,14,14
CAPINOTA,chagas,viviendas evaluadas,2009-03-01,80,80
CLIZA,chagas,viviendas evaluadas,2009-03-01,217,217
COCHABAMBA,chagas,viviendas evaluadas,2009-03-01,38,38
COLCAPIRHUA,chagas,viviendas evaluadas,2009-03-01,164,164
COTAGAITA,chagas,viviendas evaluadas,2009-03-01,1189,1189
CUCHUMUELA (V. G. VILLARROEL),chagas,viviendas evaluadas,2009-03-01,126,126
EL PUENTE(TJA),chagas,viviendas evaluadas,2009-03-01,327,327
HUACAYA (VILLA DE HUACAYA),chagas,viviendas evaluadas,2009-03-01,63,63
IRUPANA (VILLA DE LANZA),chagas,viviendas evaluadas,2009-03-01,126,126
LAGUNILLAS,chagas,viviendas evaluadas,2009-03-01,44,44
LURIBAY,chagas,viviendas evaluadas,2009-03-01,190,190
MAIRANA,chagas,viviendas evaluadas,2009-03-01,79,79
MOJOCOYA,chagas,viviendas evaluadas,2009-03-01,109,109
OCURI,chagas,viviendas evaluadas,2009-03-01,590,590
PADCAYA,chagas,viviendas evaluadas,2009-03-01,73,73
PASORAPA,chagas,viviendas evaluadas,2009-03-01,116,116
POCONA,chagas,viviendas evaluadas,2009-03-01,253,253
POJO (CBBA),chagas,viviendas evaluadas,2009-03-01,310,310
POSTRER VALLE,chagas,viviendas evaluadas,2009-03-01,52,52
PUCARA,chagas,viviendas evaluadas,2009-03-01,30,30
QUILLACOLLO,chagas,viviendas evaluadas,2009-03-01,526,526
QUIRUSILLAS,chagas,viviendas evaluadas,2009-03-01,57,57
RAVELO,chagas,viviendas evaluadas,2009-03-01,160,160
SACABA,chagas,viviendas evaluadas,2009-03-01,579,579
SACABAMBA,chagas,viviendas evaluadas,2009-03-01,296,296
SAIPINA,chagas,viviendas evaluadas,2009-03-01,997,997
SAN CARLOS,chagas,viviendas evaluadas,2009-03-01,2,2
SAN LORENZO(TJA),chagas,viviendas evaluadas,2009-03-01,490,490
SAN MATIAS,chagas,viviendas evaluadas,2009-03-01,200,200
SANTA CRUZ DE LA SIERRA,chagas,viviendas evaluadas,2009-03-01,0,0
SANTIVAÑES,chagas,viviendas evaluadas,2009-03-01,102,102
SICAYA,chagas,viviendas evaluadas,2009-03-01,236,236
SIPE SIPE,chagas,viviendas evaluadas,2009-03-01,316,316
TACOPAYA,chagas,viviendas evaluadas,2009-03-01,125,125
TAPACARI,chagas,viviendas evaluadas,2009-03-01,170,170
TIQUIPAYA,chagas,viviendas evaluadas,2009-03-01,117,117
TOCO,chagas,viviendas evaluadas,2009-03-01,188,188
TOLATA,chagas,viviendas evaluadas,2009-03-01,124,124
TOMINA,chagas,viviendas evaluadas,2009-03-01,1754,1754
TORO TORO,chagas,viviendas evaluadas,2009-03-01,260,260
TOTORA(CBBA),chagas,viviendas evaluadas,2009-03-01,74,74
URIONDO (A. CONCEPCION),chagas,viviendas evaluadas,2009-03-01,289,289
VILA VILA,chagas,viviendas evaluadas,2009-03-01,116,116
VILLA RIVERO,chagas,viviendas evaluadas,2009-03-01,263,263
VINTO,chagas,viviendas evaluadas,2009-03-01,166,166
VITICHI,chagas,viviendas evaluadas,2009-03-01,602,602
YUNCHARA,chagas,viviendas evaluadas,2009-03-01,69,69
ZUDAÑEZ,chagas,viviendas evaluadas,2009-03-01,134,134
ACACIO,chagas,viviendas evaluadas,2009-04-01,152,152
AIQUILE,chagas,viviendas evaluadas,2009-04-01,252,252
