,group,variable,month,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TRATAMIENTOS EN MUJERES POST PARTO 25.5 TRATAMIENTOS EN MUJERES POST PARTO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
CARAPARI,chagas,tratamientos en mujeres post parto,2018-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
COCHABAMBA,chagas,tratamientos en mujeres post parto,2018-02-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CUATRO CAÑADAS,chagas,tratamientos en mujeres post parto,2018-12-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
