municipality,group,variable,month,10.6. N° de beneficiarios(as) (niños/as) nuevos(as) del bono Juana Azurduy,TOTAL
PALCA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,36.0,36.0
PAMPA GRANDE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,21.0,21.0
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
PASORAPA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1.0,1.0
PATACAMAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,39.0,39.0
PAZÑA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1.0,1.0
POCONA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,25.0,25.0
POJO (CBBA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,15.0,15.0
POOPO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,4.0,4.0
POROMA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
PORTACHUELO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,29.0,29.0
PORVENIR,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,16.0,16.0
POTOSI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,272.0,272.0
PRESTO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
PUCARANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,40.0,40.0
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
PUERTO RICO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,13.0,13.0
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,61.0,61.0
PUNA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,10.0,10.0
PUNATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,50.0,50.0
QUILLACOLLO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,170.0,170.0
QUIME,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,7.0,7.0
QUIRUSILLAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,4.0,4.0
RAVELO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,9.0,9.0
REYES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,23.0,23.0
RIBERALTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,4.0,4.0
ROBORE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,21.0,21.0
RURRENABAQUE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,10.0,10.0
SABAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,2.0,2.0
SACABA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,211.0,211.0
SACABAMBA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
SACACA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1.0,1.0
SAIPINA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,10.0,10.0
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,14.0,14.0
SAMAIPATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,9.0,9.0
SAN AGUSTIN,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1.0,1.0
SAN ANDRES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,4.0,4.0
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,5.0,5.0
SAN BENITO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,15.0,15.0
SAN BORJA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,28.0,28.0
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,7.0,7.0
SAN CARLOS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,23.0,23.0
SAN IGNACIO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,12.0,12.0
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,86.0,86.0
SAN JOAQUIN,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,10.0,10.0
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,27.0,27.0
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,12.0,12.0
SAN JULIAN,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,30.0,30.0
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,21.0,21.0
SAN LUCAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,85.0,85.0
SAN MATIAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,13.0,13.0
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,13.0,13.0
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
SAN PEDRO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1.0,1.0
SAN PEDRO DE QUEMES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1.0,1.0
SAN RAFAEL,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,8.0,8.0
SANTA ANA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,5.0,5.0
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,715.0,715.0
SANTA ROSA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,9.0,9.0
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,15.0,15.0
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,5.0,5.0
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,19.0,19.0
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,2.0,2.0
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
SANTIVAÑES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
SAPAHAQUI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,11.0,11.0
SENA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,4.0,4.0
SHINAOTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,2.0,2.0
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,35.0,35.0
SICAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,7.0,7.0
SIPE SIPE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,41.0,41.0
SOPACHUY,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
SORACACHI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,7.0,7.0
SORATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,20.0,20.0
SUCRE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1067.0,1067.0
TACACHI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1.0,1.0
TACOBAMBA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
TACOPAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,11.0,11.0
TAPACARI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,16.0,16.0
TARABUCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,13.0,13.0
TARACO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
TARATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,12.0,12.0
TARIJA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,90.0,90.0
TARVITA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,26.0,26.0
TINGUIPAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,17.0,17.0
TIQUIPAYA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,102.0,102.0
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,17.0,17.0
TOCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,8.0,8.0
TOLATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,7.0,7.0
TOLEDO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,2.0,2.0
TOMAVE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
TOMINA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,4.0,4.0
TORO TORO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
TOTORA(CBBA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,5.0,5.0
TOTORA(ORR),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
TRINIDAD,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,45.0,45.0
TUPIZA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,104.0,104.0
TURCO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1.0,1.0
UMALA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
UNCIA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,13.0,13.0
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
URUBICHA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,4.0,4.0
UYUNI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,33.0,33.0
VACAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,6.0,6.0
VALLEGRANDE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,18.0,18.0
VILLA MONTES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,44.0,44.0
VILLA RIVERO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,10.0,10.0
VILLA SERRANO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,12.0,12.0
VILLA TUNARI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,65.0,65.0
VILLAZON,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,83.0,83.0
VINTO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,63.0,63.0
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,1.0,1.0
WARNES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,105.0,105.0
YACUIBA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,35.0,35.0
YAMPARAEZ,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,34.0,34.0
YANACACHI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,5.0,5.0
YAPACANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,49.0,49.0
YOTALA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,13.0,13.0
YUNCHARA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,3.0,3.0
ZUDAÑEZ,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-02-01,14.0,14.0
ACHACACHI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,10.0,10.0
ACHOCALLA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,13.0,13.0
AIQUILE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,33.0,33.0
ALALAY,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,4.0,4.0
ANCORAIMES,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,13.0,13.0
ANDAMARCA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,2.0,2.0
ANTEQUERA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,9.0,9.0
ANZALDO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,11.0,11.0
APOLO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,20.0,20.0
ARANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,15.0,15.0
ARBIETO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,26.0,26.0
ARQUE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,16.0,16.0
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,48.0,48.0
ATOCHA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,15.0,15.0
AYATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,2.0,2.0
AYO AYO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,18.0,18.0
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,19.0,19.0
AZURDUY,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,7.0,7.0
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,5.0,5.0
BELLA FLOR,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,9.0,9.0
BERMEJO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,36.0,36.0
BETANZOS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,35.0,35.0
BOLIVAR,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,5.0,5.0
BOYUIBE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,13.0,13.0
BUENA VISTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,12.0,12.0
CABEZAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,24.0,24.0
"CAIZA ""D""",actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,3.0,3.0
CAJUATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,16.0,16.0
CALAMARCA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,11.0,11.0
CAMARGO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,38.0,38.0
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,1.0,1.0
CAMIRI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,8.0,8.0
CAPINOTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,34.0,34.0
CAQUIAVIRI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,2.0,2.0
CARACOLLO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,24.0,24.0
CARANAVI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,1.0,1.0
CARAPARI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,29.0,29.0
CARIPUYO,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,17.0,17.0
CATACORA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,4.0,4.0
CHALLAPATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,32.0,32.0
CHAQUI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,12.0,12.0
CHAYANTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,8.0,8.0
CHIMORE,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,6.0,6.0
CHOQUE COTA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,3.0,3.0
CHUA COCANI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,4.0,4.0
CHUMA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,11.0,11.0
CKOCHAS,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,2.0,2.0
CLIZA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,17.0,17.0
COBIJA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,71.0,71.0
COCAPATA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,4.0,4.0
COCHABAMBA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,695.0,695.0
COLCAPIRHUA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,62.0,62.0
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,10.0,10.0
COLOMI,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,29.0,29.0
COLPA BELGICA,actividades del establecimiento y con la comunidad,     n de beneficiarios(as) (ninos/as) nuevos(as) del bono juana azurduy,2014-03-01,5.0,5.0
