,group,variable,month,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,FALLECIDOS ANTES DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ALTO BENI,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,0,1,0,1,1
BAURES,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,2,0,2,0,2
BERMEJO,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,2,3,2,3,5
CAMIRI,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,2,6,2,6,8
CARANAVI,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
CHARAGUA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos antes de las 48 hrs.,2016-01-01,2,2,2,2,4
COBIJA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,6,2,6,2,8
COCHABAMBA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,16,19,16,19,35
CUATRO CAÑADAS,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
CUEVO,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,7,3,7,3,10
EL TORNO,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,0,1,0,1,1
GUANAY,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,2,1,2,3
GUAYARAMERIN,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,5,4,5,4,9
LA PAZ,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,52,58,52,58,110
MAPIRI,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
MONTEAGUDO,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
MONTERO,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,6,1,6,1,7
ORURO,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,10,4,10,4,14
PALOS BLANCOS,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
POTOSI,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,12,8,12,8,20
PUERTO VILLARROEL,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
PUNATA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
REYES,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,9,3,9,3,12
ROBORE,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,1,1,1,2
RURRENABAQUE,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
SAN BORJA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,2,3,2,3,5
SAN IGNACIO,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,3,1,3,4
SAN IGNACIO DE VELASCO,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,3,1,3,1,4
SAN JAVIER(BNI),internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
SAN JAVIER(STC),internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,3,0,3,0,3
SANTA ANA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,33,27,33,27,60
SENA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,1,0,1,0,1
SUCRE,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,14,10,14,10,24
TARIJA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,15,10,15,10,25
TRINIDAD,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,14,11,14,11,25
TUPIZA,internaciones,fallecidos antes de las 48 hrs.,2016-01-01,0,1,0,1,1
