,group,variable,month,CONTRAREFERIDOS CANTIDAD,CONTRAREFERIDOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,contrareferidos,2016-01-01,5,0,5,0,5
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2016-01-01,6,14,6,14,20
BERMEJO,internaciones,contrareferidos,2016-01-01,13,9,13,9,22
CAMARGO,internaciones,contrareferidos,2016-01-01,9,14,9,14,23
CARANAVI,internaciones,contrareferidos,2016-01-01,4,4,4,4,8
CHALLAPATA,internaciones,contrareferidos,2016-01-01,6,0,6,0,6
CHAQUI,internaciones,contrareferidos,2016-01-01,1,0,1,0,1
CHAYANTA,internaciones,contrareferidos,2016-01-01,0,10,0,10,10
CHULUMANI (V. DE LA LIBERTAD),internaciones,contrareferidos,2016-01-01,14,0,14,0,14
CLIZA,internaciones,contrareferidos,2016-01-01,0,1,0,1,1
COBIJA,internaciones,contrareferidos,2016-01-01,47,226,47,226,273
COCHABAMBA,internaciones,contrareferidos,2016-01-01,11,304,11,304,315
COTOCA,internaciones,contrareferidos,2016-01-01,4,2,4,2,6
CUATRO CAÑADAS,internaciones,contrareferidos,2016-01-01,5,5,5,5,10
EL ALTO,internaciones,contrareferidos,2016-01-01,42,163,42,163,205
HUACARETA,internaciones,contrareferidos,2016-01-01,1,0,1,0,1
LA PAZ,internaciones,contrareferidos,2016-01-01,227,177,227,177,404
LLALLAGUA,internaciones,contrareferidos,2016-01-01,8,0,8,0,8
MAPIRI,internaciones,contrareferidos,2016-01-01,0,2,0,2,2
MONTEAGUDO,internaciones,contrareferidos,2016-01-01,4,8,4,8,12
MONTERO,internaciones,contrareferidos,2016-01-01,150,0,150,0,150
OCURI,internaciones,contrareferidos,2016-01-01,0,1,0,1,1
ORURO,internaciones,contrareferidos,2016-01-01,2,0,2,0,2
PADILLA,internaciones,contrareferidos,2016-01-01,20,24,20,24,44
PORTACHUELO,internaciones,contrareferidos,2016-01-01,5,4,5,4,9
POTOSI,internaciones,contrareferidos,2016-01-01,2,0,2,0,2
PRESTO,internaciones,contrareferidos,2016-01-01,1,1,1,1,2
PUERTO SUAREZ,internaciones,contrareferidos,2016-01-01,0,5,0,5,5
PUNATA,internaciones,contrareferidos,2016-01-01,16,47,16,47,63
RIBERALTA,internaciones,contrareferidos,2016-01-01,5,83,5,83,88
ROBORE,internaciones,contrareferidos,2016-01-01,1,1,1,1,2
SACABA,internaciones,contrareferidos,2016-01-01,0,3,0,3,3
SAN BORJA,internaciones,contrareferidos,2016-01-01,2,2,2,2,4
SAN IGNACIO DE VELASCO,internaciones,contrareferidos,2016-01-01,4,20,4,20,24
SAN JOSE DE CHIQUITOS,internaciones,contrareferidos,2016-01-01,1,1,1,1,2
SAN LUCAS,internaciones,contrareferidos,2016-01-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,internaciones,contrareferidos,2016-01-01,1219,17,1219,17,1236
SUCRE,internaciones,contrareferidos,2016-01-01,209,392,209,392,601
TARABUCO,internaciones,contrareferidos,2016-01-01,1,9,1,9,10
TARVITA,internaciones,contrareferidos,2016-01-01,4,13,4,13,17
TOMINA,internaciones,contrareferidos,2016-01-01,0,1,0,1,1
TUPIZA,internaciones,contrareferidos,2016-01-01,0,55,0,55,55
VALLEGRANDE,internaciones,contrareferidos,2016-01-01,2,5,2,5,7
VILLAZON,internaciones,contrareferidos,2016-01-01,9,7,9,7,16
YACUIBA,internaciones,contrareferidos,2016-01-01,33,0,33,0,33
YOTALA,internaciones,contrareferidos,2016-01-01,0,1,0,1,1
ZUDAÑEZ,internaciones,contrareferidos,2016-01-01,0,3,0,3,3
ACHACACHI,internaciones,contrareferidos,2016-02-01,7,0,7,0,7
ASCENCION DE GUARAYOS,internaciones,contrareferidos,2016-02-01,5,14,5,14,19
BERMEJO,internaciones,contrareferidos,2016-02-01,15,4,15,4,19
CAMARGO,internaciones,contrareferidos,2016-02-01,5,15,5,15,20
CARANAVI,internaciones,contrareferidos,2016-02-01,7,5,7,5,12
CHAYANTA,internaciones,contrareferidos,2016-02-01,0,1,0,1,1
CLIZA,internaciones,contrareferidos,2016-02-01,0,7,0,7,7
