,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
APOLO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,0,1,0,1
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,0,1,0,1
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,2,1,2,1,3
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,1,1,1,2
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,0,1,0,1,1
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,2,1,2,1,3
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,67,55,67,55,122
COTOCA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,0,1,0,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,6,3,6,3,9
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,2,1,2,1,3
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,0,1,0,1
GUTIERREZ,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,0,1,0,1,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,3,0,3,0,3
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,48,48,48,48,96
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,2,1,2,1,3
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,0,0,0,0,0
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,23,27,23,27,50
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,7,11,7,11,18
PUERTO VILLARROEL,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,0,1,0,1
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,4,3,4,3,7
ROBORE,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,2,1,2,3
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,3,0,3,0,3
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,2,0,2,0,2
SAN MATIAS,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,2,1,2,1,3
SANTA ANA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,0,2,0,2,2
SANTA CRUZ DE LA SIERRA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,93,75,93,75,168
SUCRE,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,25,24,25,24,49
TARIJA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,26,17,26,17,43
TRINIDAD,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,9,7,9,7,16
TUPIZA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,2,2,2,2,4
VALLEGRANDE,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,0,1,0,1,1
VIACHA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,0,1,0,1
VILLA MONTES,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,1,1,1,2
VILLA TUNARI,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,3,1,3,1,4
VINTO,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,0,1,0,1
YACUIBA,internaciones,fallecidos a partir de las 48 hrs.,2016-01-01,1,3,1,3,4
ASCENCION DE GUARAYOS,internaciones,fallecidos a partir de las 48 hrs.,2016-02-01,1,0,1,0,1
