,group,variable,month,EGRESOS CANTIDAD,EGRESOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,egresos,2016-01-01,27,66,27,66,93
ACHOCALLA,internaciones,egresos,2016-01-01,0,4,0,4,4
AIQUILE,internaciones,egresos,2016-01-01,30,76,30,76,106
ALCALA,internaciones,egresos,2016-01-01,0,5,0,5,5
ALTO BENI,internaciones,egresos,2016-01-01,0,7,0,7,7
ANCORAIMES,internaciones,egresos,2016-01-01,0,4,0,4,4
ANTEQUERA,internaciones,egresos,2016-01-01,0,1,0,1,1
ANZALDO,internaciones,egresos,2016-01-01,8,21,8,21,29
APOLO,internaciones,egresos,2016-01-01,2,14,2,14,16
ARANI,internaciones,egresos,2016-01-01,0,1,0,1,1
ARBIETO,internaciones,egresos,2016-01-01,0,13,0,13,13
ARQUE,internaciones,egresos,2016-01-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,egresos,2016-01-01,48,124,48,124,172
ATOCHA,internaciones,egresos,2016-01-01,11,9,11,9,20
AYATA,internaciones,egresos,2016-01-01,0,2,0,2,2
AYO AYO,internaciones,egresos,2016-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,egresos,2016-01-01,12,36,12,36,48
AZURDUY,internaciones,egresos,2016-01-01,8,16,8,16,24
BAURES,internaciones,egresos,2016-01-01,12,19,12,19,31
BELLA FLOR,internaciones,egresos,2016-01-01,0,1,0,1,1
BERMEJO,internaciones,egresos,2016-01-01,87,146,87,146,233
BETANZOS,internaciones,egresos,2016-01-01,3,31,3,31,34
BOLIVAR,internaciones,egresos,2016-01-01,1,1,1,1,2
BOYUIBE,internaciones,egresos,2016-01-01,7,37,7,37,44
BUENA VISTA,internaciones,egresos,2016-01-01,36,28,36,28,64
CABEZAS,internaciones,egresos,2016-01-01,9,16,9,16,25
CAIROMA,internaciones,egresos,2016-01-01,0,1,0,1,1
"CAIZA ""D""",internaciones,egresos,2016-01-01,0,6,0,6,6
CAJUATA,internaciones,egresos,2016-01-01,0,7,0,7,7
CALACOTO,internaciones,egresos,2016-01-01,0,1,0,1,1
CALAMARCA,internaciones,egresos,2016-01-01,3,9,3,9,12
CAMARGO,internaciones,egresos,2016-01-01,53,0,53,0,53
CAMATAQUI (C. VILLA ABECIA),internaciones,egresos,2016-01-01,0,1,0,1,1
CAMIRI,internaciones,egresos,2016-01-01,221,422,221,422,643
CAPINOTA,internaciones,egresos,2016-01-01,1,34,1,34,35
CARACOLLO,internaciones,egresos,2016-01-01,0,14,0,14,14
CARANAVI,internaciones,egresos,2016-01-01,36,167,36,167,203
CARAPARI,internaciones,egresos,2016-01-01,2,10,2,10,12
CARIPUYO,internaciones,egresos,2016-01-01,0,4,0,4,4
CARMEN RIVERO TORREZ,internaciones,egresos,2016-01-01,17,27,17,27,44
CHALLAPATA,internaciones,egresos,2016-01-01,21,88,21,88,109
CHAQUI,internaciones,egresos,2016-01-01,0,4,0,4,4
CHARAGUA,internaciones,egresos,2016-01-01,44,103,44,103,147
CHAYANTA,internaciones,egresos,2016-01-01,2,7,2,7,9
CHIMORE,internaciones,egresos,2016-01-01,0,13,0,13,13
CHUA COCANI,internaciones,egresos,2016-01-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,egresos,2016-01-01,50,79,50,79,129
CHUMA,internaciones,egresos,2016-01-01,3,7,3,7,10
CLIZA,internaciones,egresos,2016-01-01,11,58,11,58,69
COBIJA,internaciones,egresos,2016-01-01,171,445,171,445,616
COCAPATA,internaciones,egresos,2016-01-01,0,3,0,3,3
COCHABAMBA,internaciones,egresos,2016-01-01,2980,5672,2980,5672,8652
COLCAPIRHUA,internaciones,egresos,2016-01-01,0,31,0,31,31
"COLCHA ""K""",internaciones,egresos,2016-01-01,2,5,2,5,7
COLLANA,internaciones,egresos,2016-01-01,0,1,0,1,1
COLOMI,internaciones,egresos,2016-01-01,0,25,0,25,25
COLPA BELGICA,internaciones,egresos,2016-01-01,10,15,10,15,25
COLQUECHACA,internaciones,egresos,2016-01-01,1,2,1,2,3
