,group,variable,month,INGRESOS ESPONTÁNEOS CANTIDAD,INGRESOS ESPONTÁNEOS CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,internaciones,ingresos espontaneos,2016-01-01,1,2,1,2,3
ACHACACHI,internaciones,ingresos espontaneos,2016-01-01,25,52,25,52,77
ACHOCALLA,internaciones,ingresos espontaneos,2016-01-01,0,4,0,4,4
AIQUILE,internaciones,ingresos espontaneos,2016-01-01,30,77,30,77,107
ALCALA,internaciones,ingresos espontaneos,2016-01-01,0,5,0,5,5
ALTO BENI,internaciones,ingresos espontaneos,2016-01-01,0,7,0,7,7
ANCORAIMES,internaciones,ingresos espontaneos,2016-01-01,0,4,0,4,4
ANTEQUERA,internaciones,ingresos espontaneos,2016-01-01,0,1,0,1,1
ANZALDO,internaciones,ingresos espontaneos,2016-01-01,10,21,10,21,31
APOLO,internaciones,ingresos espontaneos,2016-01-01,3,14,3,14,17
ARANI,internaciones,ingresos espontaneos,2016-01-01,0,1,0,1,1
ARBIETO,internaciones,ingresos espontaneos,2016-01-01,0,13,0,13,13
ARQUE,internaciones,ingresos espontaneos,2016-01-01,0,2,0,2,2
ASCENCION DE GUARAYOS,internaciones,ingresos espontaneos,2016-01-01,47,117,47,117,164
ATOCHA,internaciones,ingresos espontaneos,2016-01-01,15,11,15,11,26
AYATA,internaciones,ingresos espontaneos,2016-01-01,0,2,0,2,2
AYO AYO,internaciones,ingresos espontaneos,2016-01-01,0,4,0,4,4
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos espontaneos,2016-01-01,10,28,10,28,38
AZURDUY,internaciones,ingresos espontaneos,2016-01-01,9,18,9,18,27
BAURES,internaciones,ingresos espontaneos,2016-01-01,11,21,11,21,32
BELLA FLOR,internaciones,ingresos espontaneos,2016-01-01,0,1,0,1,1
BERMEJO,internaciones,ingresos espontaneos,2016-01-01,86,144,86,144,230
BETANZOS,internaciones,ingresos espontaneos,2016-01-01,3,30,3,30,33
BOLIVAR,internaciones,ingresos espontaneos,2016-01-01,1,1,1,1,2
BOYUIBE,internaciones,ingresos espontaneos,2016-01-01,7,38,7,38,45
BUENA VISTA,internaciones,ingresos espontaneos,2016-01-01,36,30,36,30,66
CABEZAS,internaciones,ingresos espontaneos,2016-01-01,9,16,9,16,25
CAIROMA,internaciones,ingresos espontaneos,2016-01-01,0,1,0,1,1
"CAIZA ""D""",internaciones,ingresos espontaneos,2016-01-01,0,6,0,6,6
CAJUATA,internaciones,ingresos espontaneos,2016-01-01,0,9,0,9,9
CALACOTO,internaciones,ingresos espontaneos,2016-01-01,0,1,0,1,1
CALAMARCA,internaciones,ingresos espontaneos,2016-01-01,3,9,3,9,12
CAMARGO,internaciones,ingresos espontaneos,2016-01-01,59,0,59,0,59
CAMATAQUI (C. VILLA ABECIA),internaciones,ingresos espontaneos,2016-01-01,0,1,0,1,1
CAMIRI,internaciones,ingresos espontaneos,2016-01-01,227,415,227,415,642
CAPINOTA,internaciones,ingresos espontaneos,2016-01-01,3,32,3,32,35
CARACOLLO,internaciones,ingresos espontaneos,2016-01-01,0,14,0,14,14
CARANAVI,internaciones,ingresos espontaneos,2016-01-01,34,123,34,123,157
CARAPARI,internaciones,ingresos espontaneos,2016-01-01,2,13,2,13,15
CARIPUYO,internaciones,ingresos espontaneos,2016-01-01,0,3,0,3,3
CARMEN RIVERO TORREZ,internaciones,ingresos espontaneos,2016-01-01,17,27,17,27,44
CHALLAPATA,internaciones,ingresos espontaneos,2016-01-01,19,80,19,80,99
CHAQUI,internaciones,ingresos espontaneos,2016-01-01,0,4,0,4,4
CHARAGUA,internaciones,ingresos espontaneos,2016-01-01,38,95,38,95,133
CHAYANTA,internaciones,ingresos espontaneos,2016-01-01,2,7,2,7,9
CHIMORE,internaciones,ingresos espontaneos,2016-01-01,0,15,0,15,15
CHUA COCANI,internaciones,ingresos espontaneos,2016-01-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos espontaneos,2016-01-01,46,80,46,80,126
CHUMA,internaciones,ingresos espontaneos,2016-01-01,3,7,3,7,10
