,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO DENTRO DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,1,18,14,22,15,37
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,17,20,108,87,125,107,232
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,9,9,65,59,74,68,142
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,55,27,142,146,197,173,370
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,3,5,6,6,9,15
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,4,13,12,14,16,30
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,10,82,108,86,118,204
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,10,6,58,39,68,45,113
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,0,30,23,31,23,54
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,1,1,19,25,20,26,46
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,7,9,42,36,49,45,94
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,73,72,72,68,145,140,285
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano dentro del establecimiento,2015-01-01,4,0,9,11,13,11,24
