,group,variable,month,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO NUEVO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,CONTROL DEL NIÑO(A) MENOR DE 1 AÑO FUERA DEL ESTABLECIMIENTO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,20,15,21,17,38
ACHACACHI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,8,9,23,28,31,37,68
ACHOCALLA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,2,1,63,70,65,71,136
AIQUILE,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,5,5,22,25,27,30,57
ALALAY,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,3,0,3,1,6,1,7
ALCALA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,18,12,19,13,32
ALTO BENI,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,2,1,2,1,3
ANCORAIMES,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,4,7,11,9,15,16,31
ANDAMARCA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,1,8,10,8,11,19
ANTEQUERA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,0,0,2,0,2,0,2
ANZALDO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,2,8,2,9,4,13
APOLO,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,8,9,4,10,12,19,31
ARAMPAMPA,control de crecimiento infantil,control del nino(a) menor de 1 ano fuera del establecimiento,2015-01-01,1,1,20,17,21,18,39
