,group,variable,month,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,FALLECIDOS A PARTIR DE LAS 48 HRS. CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,0,0,0,0
AIQUILE,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,0,0,0,0
BERMEJO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,1,1,1,2
CAMARGO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,0,1,0,1
CAMIRI,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,2,2,2,2,4
CARANAVI,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,1,0,1,1
CARAPARI,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,0,0,0,0
CARMEN RIVERO TORREZ,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,0,1,0,1
CHALLAPATA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,1,1,1,2
COBIJA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,17,8,17,8,25
COCHABAMBA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,149,70,149,70,219
COLCAPIRHUA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,1,0,1,1
EL ALTO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,96,47,96,47,143
EL TORNO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,6,1,6,1,7
GUTIERREZ,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,1,0,1,1
HUANUNI,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,0,1,0,1
LA ASUNTA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,0,1,0,1
LA GUARDIA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,7,2,7,2,9
LA PAZ,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,224,124,224,124,348
LLALLAGUA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,2,0,2,0,2
MAPIRI,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,1,0,1,1
MIZQUE,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,0,0,0,0
MONTEAGUDO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,3,1,3,1,4
MONTERO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,11,14,11,14,25
ORURO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,65,30,65,30,95
PORTACHUELO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,0,1,0,1
POTOSI,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,43,29,43,29,72
PUERTO QUIJARRO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,0,1,0,1
PUNATA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,0,1,0,1
QUILLACOLLO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,2,2,2,2,4
REYES,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,2,0,2,0,2
RIBERALTA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,11,6,11,6,17
RURRENABAQUE,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,2,0,2,0,2
SACABA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,5,2,5,2,7
SAN BUENA VENTURA,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,3,2,3,2,5
SAN JOAQUIN,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,2,1,2,1,3
SAN LUCAS,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,0,1,0,1
SAN PEDRO,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,0,1,0,1,1
SAN RAMON BENI,internaciones,fallecidos a partir de las 48 hrs.,2021-01-01,1,0,1,0,1
